onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
72.7312	3.823	P_O	1.0	n/a	n/a	2.0	2.539	Phon/Phon_run-02/PC023.wav	2.0	0	2.289
76.5674	4.323	P_C	1.0	n/a	n/a	1.0	0.22	Phon/Phon_run-02/ContS24.wav	1.0	1	0.97
80.9038	3.865	P_U	2.0	n/a	n/a	2.0	1.062	Phon/Phon_run-02/PM004.wav	2.0	1	0.812
84.7733	3.875	P_O	1.0	n/a	n/a	2.0	1.5319999999999998	Phon/Phon_run-02/PC007.wav	2.0	0	1.2819999999999998
88.6594	4.25	P_U	2.0	n/a	n/a	2.0	1.8359999999999999	Phon/Phon_run-02/PM011.wav	2.0	1	1.586
92.9126	4.362	P_C	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/ContS30.wav	n/a	0	n/a
97.2825	3.875	P_O	1.0	n/a	n/a	2.0	1.9180000000000001	Phon/Phon_run-02/PC030.wav	2.0	0	1.668
101.1687	3.3360000000000003	P_R	1.0	n/a	n/a	2.0	0.7709999999999999	Phon/Phon_run-02/stereo_PR05.wav	2.0	0	0.5209999999999999
104.5077	4.113	P_U	2.0	n/a	n/a	2.0	2.174	Phon/Phon_run-02/stereo_PU01.wav	2.0	1	1.924
108.6273	4.1739999999999995	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PM029.wav	n/a	0	n/a
112.8137	3.4539999999999997	P_C	1.0	n/a	n/a	1.0	0.9990000000000001	Phon/Phon_run-02/ContS08.wav	1.0	1	1.749
116.2828	3.446	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR30.wav	n/a	0	n/a
119.7352	3.85	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR07.wav	n/a	0	n/a
123.588	3.438	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PU02.wav	n/a	0	n/a
127.0406	3.915	P_C	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/ContS20.wav	n/a	0	n/a
130.9601	3.487	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PM021.wav	n/a	0	n/a
134.46200000000002	3.965	P_C	1.0	n/a	n/a	1.0	1.609	Phon/Phon_run-02/ContS26.wav	1.0	1	2.359
138.4315	3.792	P_R	1.0	n/a	n/a	2.0	2.01	Phon/Phon_run-02/stereo_PR31.wav	2.0	0	1.7599999999999998
142.2343	4.135	P_O	1.0	n/a	n/a	2.0	2.012	Phon/Phon_run-02/PC024.wav	2.0	0	1.762
146.3717	3.875	P_U	2.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PM010.wav	n/a	0	n/a
150.2579	3.875	P_O	1.0	n/a	n/a	2.0	0.506	Phon/Phon_run-02/PC015.wav	2.0	0	0.256
154.144	4.245	P_C	1.0	n/a	n/a	1.0	1.6969999999999998	Phon/Phon_run-02/ContS14.wav	1.0	1	2.447
158.3971	3.854	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR14.wav	n/a	0	n/a
162.2662	4.239	P_O	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PC008.wav	n/a	0	n/a
166.5192	4.25	P_U	2.0	n/a	n/a	2.0	2.853	Phon/Phon_run-02/stereo_PU11.wav	2.0	1	2.603
170.7726	3.523	P_C	1.0	n/a	n/a	1.0	0.36700000000000005	Phon/Phon_run-02/ContS18.wav	1.0	1	1.117
174.3085	3.429	P_O	1.0	n/a	n/a	2.0	1.3840000000000001	Phon/Phon_run-02/PC006.wav	2.0	0	1.134
177.7443	4.18	P_R	1.0	n/a	n/a	1.0	1.091	Phon/Phon_run-02/stereo_PR32.wav	1.0	1	0.841
181.9307	4.104	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR24.wav	n/a	0	n/a
