onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
318,378	4	01OD	45	307	### ############# ##### ### ######## #########	3	318378	keine	0	keine	99	99	99	99	99	41	6	99	99	99	99	99	99	99	99	99	99
324,413	4	01OD	46	260	Ursula wollte alles vergessen und reiste nach Japan.	2	324413	keine	0	keine	3,89	5,25	-2,1	4,58	2,53	45	8	4,368421	1	0	0	0	1	0	0	0	0
334,447	4	01OD	47	208	Der Gesang des Opernstars ist wunderschšn.	2	334447	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
340,494	4	01OD	48	119	Die kleine Familie wollte ihren Hausbau vorausschauend planen.	1	340494	keine	0	keine	3,22	3,45	0,6	3,63	4,89	55	8	5,833333	0	0	0	1	1	1	0	1	0
345,528	4	01OD	49	159	Linda war nervšs, aber die PrŠsentation lief absolut glatt.	1	345528	keine	0	keine	4,22	3,65	1,5	5,16	4,74	51	9	5,947368	1	0	0	0	1	1	0	0	0
355,568	4	01OD	50	360	##### ###### ##### ##### ######### ### ###### #### #####	3	355568	keine	0	keine	99	99	99	99	99	48	9	99	99	99	99	99	99	99	99	99	99
361,614	6	01OD	51	405	Hast du gerade einen Satz gelesen?	4	361614	Nein	2446	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
374,654	4	01OD	52	113	Der vorbestrafte Mann war diesmal sauber.	1	374654	keine	0	keine	2,83	5	1,8	4	4,63	36	6	6,052632	0	0	0	1	1	1	0	0	0
384,696	4	01OD	53	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	384696	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
390,742	4	01OD	54	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	390742	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
397,776	4	01OD	55	249	Seine empfindliche Seele konnte den Streit nicht lŠnger aushalten.	2	397776	keine	0	keine	4,5	2,65	1,3	4,21	1,79	58	9	5,842105	0	0	0	0	1	1	0	1	0
