onset	duration	object	trial_type	map	stayswitch	distance	value	counterfactual_value	value_diff	choicetype	object1	object2	chosen_distance	unchosen_distance	chosen_value	unchosen_value	counterfactual_chosen_value	counterfactual_unchosen_value	button	response_time	cr
607.698404739058	2.01615388898063	8	object_onset	1	stay	1.26	44	16	28	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
612.580479845477	8.09808973166218	8	choice	1	n/a	NaN	NaN	NaN	NaN	d	4	1	1.26	1.27914033631967	29.5679244665883	42.8345172613902	14.4890326431482	28.3236873757602	620.666762239809	8.08628239433165	1
625.893701324094	2.01628092872852	7	object_onset	1	stay	0.524785670536077	90	2	88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
630.242598574201	7.96488838741789	7	choice	1	n/a	NaN	NaN	NaN	NaN	v	9	4	0.458911756223351	1.08747413762351	19.4955359903515	76.3446034913719	17.1151618366732	0.216144997429269	638.196460102787	7.95386152858555	1
642.439619315919	2.01618972892174	12	object_onset	2	switch	0.9	72	18	54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
648.338126710791	2.01620284888486	5	object_onset	2	stay	0.9	3	71	-68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
652.887007256941	7.84825437134714	5	choice	2	n/a	NaN	NaN	NaN	NaN	d	10	6	0.36	1.27914033631967	10.5872433333912	47.6207587871056	27.2811430344322	65.9816111558298	660.691453072403	7.8044458154618	1
665.867080255208	2.01613436901243	2	object_onset	2	stay	0.853814968245462	16	5	11	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
671.932075970413	2.01629084871092	7	object_onset	2	stay	1.27914033631967	2	90	-88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
676.814314916512	2.01616636896506	12	object_onset	2	stay	0.9	72	18	54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
681.879686311004	2.01618300892005	3	object_onset	1	switch	0.458911756223351	11	50	-39	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
688.42804845814	2.01615612898604	5	object_onset	2	switch	0.814984662432368	3	71	-68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
693.393470924537	2.01614876899112	6	object_onset	2	stay	0.36	13	44	-31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
