onset	duration	value	response	rt	good	a	bias	p	pv	ronda
151.1183	1	10	2	2080.7	1	0.5	0.82642	0.3	0.42642	2
153.2161	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
157.2951	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
161.3075	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.322	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.3376	1	10	2	2063.4	1	0.4	0.92704	0.2	0.28469	3
166.4188	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.9994	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.0118	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.0232	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.0388	1	10	2	2003.9	1	0.8	0.47889	0.7	0.9375	4
181.0533	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.9825	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
188.9949	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
191.0094	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
192.025	1	10	1	1705.2	1	0	0	0.4	0.4	1
193.7399	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.6535	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
200.6659	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
201.6815	1	10	2	773.2	1	0	0	0.1	0.1	2
202.464	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
205.6606	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
209.673	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
210.6886	1	10	2	1887.3	1	0	0	0.3	0.3	3
212.5866	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.5324	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
220.5449	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
221.5605	1	10	1	1053.9	1	0	0	0.6	0.6	4
222.626	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
226.6551	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
233.6643	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
234.6799	1	10	2	1086.4	1	0.5	0.58791	0.5	0.58791	1
235.7788	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
238.6091	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
242.6215	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
244.6361	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
245.6517	1	10	2	1451.2	1	0.6	0.61705	0.6	0.92558	2
247.1168	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
251.0127	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
255.0251	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
257.0396	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
258.0552	1	10	2	1600.1	1	0.4	0.95756	0.1	0.13838	3
259.6702	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
262.8501	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
266.8626	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
268.8771	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
269.8927	1	10	2	1621.8	1	0.8	0.67795	0.4	0.7118	4
271.5243	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
275.4701	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
279.4826	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
281.4971	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
282.5127	1	10	2	1568.2	1	0	0	0.7	0.7	1
284.0944	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
287.4908	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
294.5167	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
295.5323	1	10	1	1258.9	1	0	0	0.4	0.4	2
296.7976	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
299.8444	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
303.8568	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
304.8724	1	10	1	1259.4	1	0	0	0.7	0.7	3
306.1377	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
310.3832	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
314.3957	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
315.4112	1	10	1	2189.4	1	0	0	0.9	0.9	4
317.6089	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
321.7046	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
325.717	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
326.7326	1	10	2	953.2	1	0.8	0.082996	0.9	0.83198	1
327.6982	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
331.7606	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
335.773	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
337.7876	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
338.8032	1	10	1	1243.4	1	0.8	0.77962	0.8	0.9375	2
340.0519	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
344.5138	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
348.5262	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
353.5376	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
354.5532	1	10	1	2244.2	1	0.8	0.1331	0.1	0.0625	3
356.8008	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
361.0796	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
365.092	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
367.1066	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
368.1222	1	10	1	994.1	1	0.8	0.97475	0.1	0.39899	4
369.1211	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
371.9681	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
375.9805	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
377.9951	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
379.0107	1	10	1	1479.2	1	0	0	0.3	0.3	1
380.4924	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
384.2052	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
388.2176	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
389.2332	1	10	1	1325	1	0	0	0.7	0.7	2
390.5651	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
393.795	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
397.8074	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
398.8231	1	10	1	1106.4	1	0	0	0.5	0.5	3
399.9385	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
403.1685	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
410.1944	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
411.2099	1	10	2	1600.3	1	0	0	0.6	0.6	4
412.8249	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
415.8051	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
419.8342	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
420.8498	1	10	2	1636.9	1	0.7	0.179	0.9	0.95833	1
422.498	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
425.2451	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
429.2575	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
431.2721	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
432.2877	1	10	2	1980.6	1	0.5	0.391	0.1	0.025	2
434.2856	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
438.3646	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
442.377	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
444.3915	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
445.4071	1	10	1	1732	1	0.4	0.24835	0.8	0.83223	3
447.1553	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
450.918	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
454.9304	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
456.9449	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
457.9605	1	10	2	897.4	1	0.5	0.96274	0.1	0.16274	4
458.8596	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
462.3725	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
466.385	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
