onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
176.6826171875	0	stim-thr	10	180923	n/a	n/a	1.06	1.2519	n/a	n/a
179.9189453125	0	stim-thr	10	184237	n/a	n/a	1.08	1.3219	n/a	n/a
183.22265625	0	stim-thr	10	187620	n/a	n/a	1.1	1.4595	n/a	n/a
186.669921875	0	stim-thr	10	191150	n/a	n/a	1.12	1.7815	n/a	n/a
190.0048828125	0	stim-thr	10	194565	n/a	n/a	1.14	1.9646	n/a	n/a
192.7333984375	0	stim-thr	10	197359	n/a	n/a	1.16	1.5381	n/a	n/a
195.5263671875	0	stim-thr	10	200219	n/a	n/a	1.18	1.1629	n/a	n/a
199.37890625	0	stim-thr	10	204164	n/a	n/a	1.2	1.8566	n/a	n/a
201.81640625	0	stim-thr	10	206660	n/a	n/a	1.22	1.1602	n/a	n/a
203.8564453125	0	stim-thr	10	208749	n/a	n/a	1.24	0.033966	n/a	n/a
207.1962890625	0	stim-thr	10	212169	n/a	n/a	1.26	0.24172	n/a	n/a
211.83203125	0	stim-thr	10	216916	n/a	n/a	1.28	1.7254	n/a	n/a
214.21484375	0	stim-thr	10	219356	n/a	n/a	1.3	0.96859	n/a	n/a
218.0869140625	0	stim-thr	10	223321	n/a	n/a	1.32	1.6897	n/a	n/a
219.9833984375	0	stim-thr	10	225263	n/a	n/a	1.34	0.41881	n/a	n/a
223.8271484375	0	stim-thr	10	229199	n/a	n/a	1.36	1.1046	n/a	n/a
227.1533203125	0	stim-thr	10	232605	n/a	n/a	1.38	1.2598	n/a	n/a
229.1025390625	0	stim-thr	10	234601	n/a	n/a	1.4	0.063982	n/a	n/a
233.41015625	0	stim-thr	10	239012	n/a	n/a	1.42	1.2294	n/a	n/a
236.046875	0	stim-thr	10	241712	n/a	n/a	1.44	0.72482	n/a	n/a
238.5693359375	0	stim-thr	10	244295	n/a	n/a	1.46	0.099065	n/a	n/a
242.5869140625	0	stim-thr	10	248409	n/a	n/a	1.48	0.97914	n/a	n/a
245.1220703125	0	stim-thr	10	251005	n/a	n/a	1.5	0.38502	n/a	n/a
248.134765625	0	stim-thr	10	254090	n/a	n/a	1.52	0.24617	n/a	n/a
251.4482421875	0	stim-thr	10	257483	n/a	n/a	1.54	0.41099	n/a	n/a
254.4638671875	0	stim-thr	10	260571	n/a	n/a	1.56	0.29303	n/a	n/a
257.7001953125	0	stim-thr	10	263885	n/a	n/a	1.58	0.37814	n/a	n/a
260.556640625	0	stim-thr	10	266810	n/a	n/a	1.6	0.085305	n/a	n/a
264.8974609375	0	stim-thr	10	271255	n/a	n/a	1.62	1.2704	n/a	n/a
267.333984375	0	stim-thr	10	273750	n/a	n/a	1.64	0.56373	n/a	n/a
271.0078125	0	stim-thr	10	277512	n/a	n/a	1.66	1.0772	n/a	n/a
274.4609375	0	stim-thr	10	281048	n/a	n/a	1.68	1.3903	n/a	n/a
277.2197265625	0	stim-thr	10	283873	n/a	n/a	1.7	0.99823	n/a	n/a
280.4658203125	0	stim-thr	10	287197	n/a	n/a	1.72	1.0716	n/a	n/a
283.427734375	0	stim-thr	10	290230	n/a	n/a	1.74	0.89037	n/a	n/a
285.9189453125	0	stim-thr	10	292781	n/a	n/a	1.76	0.24786	n/a	n/a
289.8251953125	0	stim-thr	10	296781	n/a	n/a	1.78	0.98071	n/a	n/a
293.6845703125	0	stim-thr	10	300733	n/a	n/a	1.8	1.706	n/a	n/a
296.8916015625	0	stim-thr	10	304017	n/a	n/a	1.82	1.7479	n/a	n/a
298.84765625	0	stim-thr	10	306020	n/a	n/a	1.84	0.54059	n/a	n/a
301.8876953125	0	stim-thr	10	309133	n/a	n/a	1.86	0.41692	n/a	n/a
305.740234375	0	stim-thr	10	313078	n/a	n/a	1.88	1.13	n/a	n/a
309.037109375	0	stim-thr	10	316454	n/a	n/a	1.9	1.2806	n/a	n/a
311.7451171875	0	stim-thr	10	319227	n/a	n/a	1.92	0.83406	n/a	n/a
314.4814453125	0	stim-thr	10	322029	n/a	n/a	1.94	0.41195	n/a	n/a
