onset	duration	trial_type	sample	value
19.20953815291767	0.0	Legal_Correct_7	39082	584
23.108265357997833	0.0	Legal_Incorrect_7	47014	588
26.90770576335205	0.0	Illegal_Correct_7	54744	586
31.104784886420575	0.0	Legal_Incorrect_7	63283	588
35.2074923978684	0.0	Illegal_Incorrect_7	71630	590
39.30331864596888	0.0	Legal_Correct_7	79963	584
43.406517676227224	0.0	Illegal_Correct_7	88311	586
47.60802046859047	0.0	Legal_Incorrect_7	96859	588
51.30571648016612	0.0	Legal_Incorrect_7	104382	588
55.20739279810943	0.0	Legal_Correct_7	112320	584
58.90263121563246	0.0	Legal_Incorrect_7	119838	588
63.1021679327536	0.0	Legal_Correct_7	128382	584
67.10755471971758	0.0	Legal_Correct_7	136531	584
71.20780463711277	0.0	Legal_Incorrect_7	144873	588
74.90107697939371	0.0	Illegal_Incorrect_7	152387	590
78.70297497880055	0.0	Legal_Correct_7	160122	584
82.70688720933295	0.0	Illegal_Incorrect_7	168268	590
86.9064239264541	0.0	Legal_Correct_7	176812	584
90.60166234397713	0.0	Legal_Incorrect_7	184330	588
94.50628777478359	0.0	Illegal_Correct_7	192274	586
98.50577633602127	0.0	Legal_Correct_7	200411	584
102.60700929103751	0.0	Legal_Incorrect_7	208755	588
106.50377042087558	0.0	Legal_Incorrect_7	216683	588
110.20244947007228	0.0	Legal_Correct_7	224208	584
