onset	duration	trial_type	response	response_time	stim	sub
3.083	6	5_inacc	4	3.810186	c24.jpg	115
13.015	6	1_acc	1	1.523549	c17.jpg	115
24.008	6	1_inacc	1	1.791189	c11.jpg	115
33.909	6	5_acc	3	2.772585	c22.jpg	115
43.075	6	5_acc	1	2.557721	c3.jpg	115
54.449	6	1_acc	3	2.257146	c2.jpg	115
65.105	6	1_inacc	3	2.676796	c19.jpg	115
76.845	6	1_acc	3	2.723967	c1.jpg	115
88.182	6	5_acc	1	1.991926	c23.jpg	115
99.894	6	5_acc	3	2.492934	c7.jpg	115
107.974	6	5_acc	4	2.706945	c15.jpg	115
116.773	6	5_inacc	4	2.640201	c12.jpg	115
127.77	6	5_acc	4	2.783773	c20.jpg	115
137.307	6	1_inacc	2	3.004661	c18.jpg	115
145.38	6	1_acc	4	2.390907	c16.jpg	115
157.444	6	5_inacc	1	2.851463	c4.jpg	115
168.068	6	5_acc	3	2.425408	c5.jpg	115
178.341	6	1_acc	1	1.576304	c6.jpg	115
187.129	6	1_acc	1	3.140431	c21.jpg	115
196.647	6	5_acc	2	2.031567	c14.jpg	115
208.718	6	5_acc	2	1.308289	c9.jpg	115
217.147	6	1_acc	1	1.960708	c8.jpg	115
226.3	6	1_inacc	1	3.421327	c10.jpg	115
234.741	6	1_acc	4	2.193078	c13.jpg	115
3	6	1_acc	4	4.484661	c10.jpg	118
14.7	6	1_inacc	3	5.286209	c13.jpg	118
25.7	6	1_inacc	1	3.181608	c17.jpg	118
37.8	6	1_acc	4	5.050971	c11.jpg	118
45.9	6	5_acc	3	2.699802	c24.jpg	118
54.7	6	1_inacc	3	3.356542	c18.jpg	118
63.9	6	1_inacc	4	2.759042	c1.jpg	118
72.3	6	5_acc	3	2.179774	c7.jpg	118
82.6	6	5_inacc	1	3.172204	c23.jpg	118
92.1	6	1_acc	4	3.148361	c6.jpg	118
102	6	5_acc	2	3.21823	c5.jpg	118
114	6	5_acc	2	4.092548	c22.jpg	118
122.1	6	5_acc	4	3.701069	c3.jpg	118
133.1	6	1_inacc	2	4.856351	c8.jpg	118
143.3	6	1_acc	2	4.340113	c16.jpg	118
152.1	6	5_inacc	2	4.082317	c4.jpg	118
161.2	6	5_acc	4	2.606998	c12.jpg	118
172.6	6	5_acc	3	3.388111	c20.jpg	118
182.5	6	1_inacc	4	4.088904	c19.jpg	118
192	6	1_acc	3	1.807604	c2.jpg	118
203.3	6	5_acc	2	2.746301	c15.jpg	118
214	6	5_inacc	2	4.170401	c14.jpg	118
222.4	6	5_acc	1	3.517687	c9.jpg	118
234.1	6	1_inacc	1	4.08688	c21.jpg	118
3.1	6	5_acc	2	3.386098	c5.jpg	121
12.6	6	5_miss	NA	NA	c24.jpg	121
21.8	6	1_acc	1	2.647453	c13.jpg	121
31	6	1_acc	4	5.311292	c19.jpg	121
40.5	6	5_acc	1	4.718759	c4.jpg	121
51.5	6	1_acc	1	5.240641	c6.jpg	121
61.7	6	1_acc	3	4.722528	c16.jpg	121
72.7	6	1_inacc	2	4.148199	c8.jpg	121
84	6	5_miss	NA	NA	c14.jpg	121
94.3	6	1_inacc	3	2.880649	c2.jpg	121
106	6	1_inacc	3	4.195849	c21.jpg	121
114	6	1_inacc	3	5.010502	c10.jpg	121
123.9	6	5_acc	2	3.12039	c9.jpg	121
135.3	6	5_acc	2	2.792142	c20.jpg	121
143.3	6	5_acc	4	2.532017	c23.jpg	121
152.1	6	5_inacc	1	3.815482	c7.jpg	121
162	6	5_acc	4	3.549622	c12.jpg	121
174.1	6	5_inacc	1	4.215922	c3.jpg	121
