onset	duration	trial_type	response_time
335.6304	0.2133	target	0.2002
336.1602	0.9868	feedback_positive_reward	n/a
339.1478	0.7489	cue_neutral	n/a
339.1478	2.749	anticipation_neutral	n/a
339.8969	2.0001	isi_neutral	n/a
341.8972	0.1967	target	n/a
342.4279	0.9859	feedback_negative_neutral	n/a
346.9144	0.7485	cue_reward	n/a
346.9144	2.749	anticipation_reward	n/a
347.6632	2.0005	isi_reward	n/a
349.6637	0.2133	target	n/a
350.1763	0.9882	feedback_negative_reward	n/a
353.6641	0.7489	cue_neutral	n/a
353.6641	2.2496	anticipation_neutral	n/a
354.4132	1.5007	isi_neutral	n/a
355.914	0.23	target	0.2172
356.4408	0.9895	feedback_positive_neutral	n/a
362.4307	0.7493	cue_neutral	n/a
362.4307	3.7495	anticipation_neutral	n/a
363.1803	3.0002	isi_neutral	n/a
366.1805	0.23	target	0.2165
366.7028	0.9946	feedback_positive_neutral	n/a
372.198	0.749	cue_neutral	n/a
372.198	2.2488	anticipation_neutral	n/a
372.9473	1.4998	isi_neutral	n/a
374.4471	0.2133	target	n/a
374.9555	0.992	feedback_negative_neutral	n/a
382.948	0.7489	cue_neutral	n/a
382.948	2.7491	anticipation_neutral	n/a
383.6972	2.0002	isi_neutral	n/a
385.6975	0.23	target	0.217
386.2326	0.9817	feedback_positive_neutral	n/a
389.7146	0.7489	cue_neutral	n/a
389.7146	3.2494	anticipation_neutral	n/a
390.4638	2.5005	isi_neutral	n/a
392.9644	0.23	target	n/a
393.4903	0.9905	feedback_negative_neutral	n/a
397.4815	0.7492	cue_neutral	n/a
397.4815	2.2493	anticipation_neutral	n/a
398.2309	1.5001	isi_neutral	n/a
399.7311	0.2467	target	0.2339
400.265	0.9828	feedback_positive_neutral	n/a
404.2482	0.7488	cue_reward	n/a
404.2482	3.7494	anticipation_reward	n/a
404.9972	3.0006	isi_reward	n/a
407.9979	0.2467	target	0.2337
408.5279	0.9863	feedback_positive_reward	n/a
413.0148	0.7492	cue_neutral	n/a
413.0148	2.2492	anticipation_neutral	n/a
413.7642	1.5001	isi_neutral	n/a
415.2644	0.23	target	0.2167
415.7935	0.9877	feedback_positive_neutral	n/a
418.7818	0.7491	cue_reward	n/a
418.7818	3.7493	anticipation_reward	n/a
419.5311	3.0003	isi_reward	n/a
422.5315	0.23	target	0.2167
423.0548	0.9931	feedback_positive_reward	n/a
432.5485	0.7492	cue_neutral	n/a
432.5485	3.2494	anticipation_neutral	n/a
433.2979	2.5002	isi_neutral	n/a
435.7982	0.2133	target	0.2003
436.322	0.9929	feedback_positive_neutral	n/a
440.3154	0.749	cue_reward	n/a
440.3154	2.749	anticipation_reward	n/a
441.0646	2	isi_reward	n/a
443.0647	0.2133	target	n/a
443.5731	0.9916	feedback_negative_reward	n/a
