onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
764.349	3.51350913152779	4	rotation+90	erasing	leftward	0
773.886	3.51534294642598	4	rotation+90	erasing	downward	1
783.427	3.51026262209077	4	rotation+90	erasing	rightward	2
792.962	3.50009173341161	4	rotation+90	erasing	leftward	2
802.476	3.50238592203599	4	rotation+90	erasing	upward	0
822.019	4	4	rotation+90	score	n/a	n/a
826.019	8	4	rotation+90	end_session	n/a	n/a
844.053	8	5	rotation-90	start_session	n/a	n/a
858.06	3.51211862367456	5	rotation-90	erasing	downward	0
867.596	3.5125034773363	5	rotation-90	erasing	rightward	0
877.135	3.50003242669434	5	rotation-90	erasing	rightward	1
886.648	3.50392960335326	5	rotation-90	erasing	leftward	3
896.178	3.51097856936838	5	rotation-90	erasing	upward	5
905.712	3.51258625074027	5	rotation-90	erasing	upward	6
915.249	3.51449643903696	5	rotation-90	erasing	downward	5
924.788	3.50000640000546	5	rotation-90	erasing	downward	6
934.31	3.51279915758861	5	rotation-90	erasing	leftward	3
943.846	3.51418198543529	5	rotation-90	erasing	leftward	4
953.385	1.94556240687992	5	rotation-90	erasing	downward	7
962.892	2.226305473114	5	rotation-90	erasing	upward	7
972.401	3.50001194667686	5	rotation-90	erasing	rightward	3
981.912	3.41492174073322	5	rotation-90	erasing	upward	7
991.421	3.5109427293378	5	rotation-90	erasing	leftward	5
1000.958	3.50002901335809	5	rotation-90	erasing	rightward	5
1010.469	1.95346300028843	5	rotation-90	erasing	downward	7
1030.001	4	5	rotation-90	score	n/a	n/a
1034.001	8	5	rotation-90	end_session	n/a	n/a
1052.022	8	6	rotation-90	start_session	n/a	n/a
1066.029	3.50311765599373	6	rotation-90	erasing	rightward	3
1075.556	3.50005034670963	6	rotation-90	erasing	leftward	4
1085.077	3.51318913125473	6	rotation-90	erasing	leftward	5
1094.617	3.02741847673043	6	rotation-90	erasing	upward	7
1104.125	2.75686293918971	6	rotation-90	erasing	downward	7
1113.632	2.03690072482195	6	rotation-90	erasing	downward	7
1123.142	3.5164211340127	6	rotation-90	erasing	rightward	5
1132.682	3.5000166400142	6	rotation-90	erasing	rightward	5
1142.203	2.86323017662308	6	rotation-90	erasing	upward	7
1151.713	2.39081164015927	6	rotation-90	erasing	upward	7
1161.221	2.8863866763833	6	rotation-90	erasing	rightward	7
1170.73	2.64923490068045	6	rotation-90	erasing	downward	7
1180.238	3.51223809044317	6	rotation-90	erasing	leftward	5
1189.777	2.44376059200904	6	rotation-90	erasing	downward	7
1199.285	1.90650360021641	6	rotation-90	erasing	upward	7
1208.794	3.50001322667795	6	rotation-90	erasing	leftward	5
1218.308	2.44533286001737	6	rotation-90	erasing	rightward	7
1237.829	4	6	rotation-90	score	n/a	n/a
1241.829	8	6	rotation-90	end_session	n/a	n/a
1259.847	8	7	rotation-90	start_session	n/a	n/a
1273.855	2.42143779962692	7	rotation-90	erasing	upward	7
1283.365	3.50002005335045	7	rotation-90	erasing	rightward	6
1292.877	3.50403712344501	7	rotation-90	erasing	rightward	5
1302.411	3.51154390318413	7	rotation-90	erasing	leftward	5
1311.947	2.64508044380198	7	rotation-90	erasing	downward	7
1321.456	2.15821709501192	7	rotation-90	erasing	downward	7
1330.964	2.51984556360155	7	rotation-90	erasing	upward	7
1340.473	2.16588814155788	7	rotation-90	erasing	upward	7
1349.983	3.50008704007427	7	rotation-90	erasing	leftward	6
1359.494	3.15488482550172	7	rotation-90	erasing	leftward	7
1369.002	1.7166832782364	7	rotation-90	erasing	upward	7
1378.51	2.34627528215491	7	rotation-90	erasing	downward	7
1388.017	3.5000332800284	7	rotation-90	erasing	rightward	6
1397.534	1.81372784104776	7	rotation-90	erasing	downward	7
1407.042	3.06087685194825	7	rotation-90	erasing	leftward	7
1416.551	2.67400462848395	7	rotation-90	erasing	rightward	7
1426.058	2.5531102319874	7	rotation-90	erasing	upward	7
1445.58	4	7	rotation-90	score	n/a	n/a
1449.58	8	7	rotation-90	end_session	n/a	n/a
1467.599	8	8	mirror	start_session	n/a	n/a
1481.608	3.51250774400661	8	mirror	erasing	leftward	1
1491.145	3.50220501521495	8	mirror	erasing	upward	0
1500.667	3.50010794675878	8	mirror	erasing	upward	1
1510.186	3.50004010670089	8	mirror	erasing	downward	2
1519.712	3.50004778670744	8	mirror	erasing	rightward	4
1529.225	3.14936034078749	8	mirror	erasing	rightward	7
1538.734	3.51199531690267	8	mirror	erasing	leftward	2
1548.267	3.50002261335263	8	mirror	erasing	leftward	6
1557.778	3.50930859461	8	mirror	erasing	downward	0
1567.314	3.51196331687536	8	mirror	erasing	downward	2
1576.85	2.92963833995805	8	mirror	erasing	leftward	7
1586.358	2.34466930745114	8	mirror	erasing	rightward	7
1595.867	3.50008277340397	8	mirror	erasing	upward	0
1605.379	2.04690350669099	8	mirror	erasing	rightward	7
1614.889	3.50992982180678	8	mirror	erasing	downward	2
1624.423	3.5141209720499	8	mirror	erasing	upward	0
1633.962	3.51190401015809	8	mirror	erasing	leftward	6
1653.51	4	8	mirror	score	n/a	n/a
1657.51	8	8	mirror	end_session	n/a	n/a
1675.529	8	9	rotation+90	start_session	n/a	n/a
1689.536	3.51203371693544	9	rotation+90	erasing	upward	5
1699.073	3.51372331837723	9	rotation+90	erasing	downward	0
1708.611	3.51217579705668	9	rotation+90	erasing	downward	0
1718.147	3.5131763312438	9	rotation+90	erasing	rightward	0
1727.685	3.5134080114415	9	rotation+90	erasing	leftward	0
1737.224	3.51286955764869	9	rotation+90	erasing	leftward	1
1746.762	3.51190017015481	9	rotation+90	erasing	upward	0
1756.301	3.50006314672055	9	rotation+90	erasing	upward	1
1765.809	3.50643627215895	9	rotation+90	erasing	rightward	0
1775.341	3.51272065085496	9	rotation+90	erasing	rightward	2
1784.878	3.51315201122305	9	rotation+90	erasing	upward	0
1794.415	3.50005504004697	9	rotation+90	erasing	leftward	1
1803.93	3.50403371010877	9	rotation+90	erasing	downward	0
1813.459	3.51228758381874	9	rotation+90	erasing	leftward	0
1822.996	3.50000469333734	9	rotation+90	erasing	rightward	1
1832.508	3.50005802671618	9	rotation+90	erasing	downward	1
1842.02	3.50003584003058	9	rotation+90	erasing	upward	0
1861.545	4	9	rotation+90	score	n/a	n/a
1865.545	8	9	rotation+90	end_session	n/a	n/a
1883.566	8	10	rotation-90	start_session	n/a	n/a
1897.573	3.50239317537551	10	rotation-90	erasing	upward	4
1907.1	3.51252139735159	10	rotation-90	erasing	downward	6
1916.638	1.96553639725773	10	rotation-90	erasing	downward	7
1926.146	3.50970368828048	10	rotation-90	erasing	leftward	2
1935.681	3.2609303559939	10	rotation-90	erasing	rightward	7
1945.19	3.50783062001546	10	rotation-90	erasing	rightward	6
1954.722	2.86418548410495	10	rotation-90	erasing	upward	7
1964.231	2.77494252795096	10	rotation-90	erasing	upward	7
1973.739	3.50003157336028	10	rotation-90	erasing	leftward	3
1983.249	3.48196862461323	10	rotation-90	erasing	leftward	7
1992.758	1.71091559331464	10	rotation-90	erasing	upward	7
2002.266	1.85685065117922	10	rotation-90	erasing	rightward	7
2011.774	3.03683203143	10	rotation-90	erasing	downward	7
2021.283	3.03206872069864	10	rotation-90	erasing	rightward	7
2030.791	3.01050752896642	10	rotation-90	erasing	leftward	7
2040.301	2.02148439166668	10	rotation-90	erasing	downward	7
2049.808	3.11935967518692	10	rotation-90	erasing	upward	7
2069.328	4	10	rotation-90	score	n/a	n/a
2073.328	8	10	rotation-90	end_session	n/a	n/a
2091.348	8	11	rotation+90	start_session	n/a	n/a
2105.356	3.51576236011721	11	rotation+90	erasing	downward	0
2114.896	3.51249494399569	11	rotation+90	erasing	leftward	0
2124.433	3.50001536001311	11	rotation+90	erasing	leftward	2
2133.947	3.50004394670417	11	rotation+90	erasing	rightward	0
2143.46	3.50002133335154	11	rotation+90	erasing	upward	3
2152.972	3.50006784005789	11	rotation+90	erasing	upward	6
2162.484	3.51213739702391	11	rotation+90	erasing	downward	0
2172.022	3.50006485338867	11	rotation+90	erasing	downward	2
2181.536	3.50003285336137	11	rotation+90	erasing	rightward	2
2191.05	3.50010837342581	11	rotation+90	erasing	rightward	0
2200.564	3.13406262106677	11	rotation+90	erasing	downward	7
2210.073	2.29719108026972	11	rotation+90	erasing	upward	7
2219.583	3.50015829346841	11	rotation+90	erasing	leftward	3
2229.096	2.07941468110053	11	rotation+90	erasing	upward	7
2238.605	2.52617260900063	11	rotation+90	erasing	rightward	7
2248.111	3.50890539426594	11	rotation+90	erasing	leftward	2
2257.644	3.5118528101144	11	rotation+90	erasing	downward	2
2277.19	4	11	rotation+90	score	n/a	n/a
2281.19	8	11	rotation+90	end_session	n/a	n/a
2299.208	8	12	rotation+90	start_session	n/a	n/a
2313.213	3.50131242778661	12	rotation+90	erasing	downward	0
2322.739	3.50000341333625	12	rotation+90	erasing	rightward	2
2332.249	3.50677845911762	12	rotation+90	erasing	rightward	3
2341.783	2.51148160979764	12	rotation+90	erasing	leftward	7
2351.293	3.50606037850486	12	rotation+90	erasing	upward	3
2360.823	3.51314177121431	12	rotation+90	erasing	upward	6
2370.361	3.50002261335263	12	rotation+90	erasing	downward	2
2379.872	3.50597589843277	12	rotation+90	erasing	downward	0
2389.404	3.51270273083966	12	rotation+90	erasing	leftward	2
2398.941	2.39681527194903	12	rotation+90	erasing	leftward	7
2408.45	2.05709231538544	12	rotation+90	erasing	downward	7
2417.958	2.97064061494666	12	rotation+90	erasing	upward	7
2427.467	3.50032426694337	12	rotation+90	erasing	rightward	1
2436.991	3.51359745160316	12	rotation+90	erasing	upward	5
2446.529	3.51208534364616	12	rotation+90	erasing	leftward	6
2456.066	3.5000221866856	12	rotation+90	erasing	rightward	2
2465.578	3.50573739156257	12	rotation+90	erasing	downward	3
2485.118	4	12	rotation+90	score	n/a	n/a
2489.118	8	12	rotation+90	end_session	n/a	n/a
2507.138	8	13	mirror	start_session	n/a	n/a
2521.147	3.51200385024329	13	mirror	erasing	upward	3
2530.683	1.99676031723547	13	mirror	erasing	downward	7
2540.192	3.50004394670417	13	mirror	erasing	downward	6
2549.703	3.50156416133475	13	mirror	erasing	rightward	5
2559.23	2.48046931666715	13	mirror	erasing	leftward	7
2568.738	2.00850731392624	13	mirror	erasing	leftward	7
2578.247	3.50001365334498	13	mirror	erasing	upward	3
2587.76	3.5044753104856	13	mirror	erasing	upward	1
2597.28	1.46242130126618	13	mirror	erasing	rightward	7
2606.79	1.5244215675064	13	mirror	erasing	rightward	7
2616.298	3.5044420304572	13	mirror	erasing	upward	2
2625.828	1.6117432420209	13	mirror	erasing	leftward	7
2635.336	2.10620510396169	13	mirror	erasing	downward	7
2644.846	1.65174668949051	13	mirror	erasing	leftward	7
2654.355	1.61589684556531	13	mirror	erasing	rightward	7
2663.863	3.51016192867151	13	mirror	erasing	downward	2
2673.399	3.51253419736252	13	mirror	erasing	upward	3
2692.949	4	13	mirror	score	n/a	n/a
2696.949	8	13	mirror	end_session	n/a	n/a
2714.969	8	14	rotation+90	start_session	n/a	n/a
2728.976	3.51121280956826	14	rotation+90	erasing	leftward	5
2738.513	3.50004224003604	14	rotation+90	erasing	rightward	2
2748.032	3.51362177162391	14	rotation+90	erasing	rightward	4
2757.569	3.5140876920215	14	rotation+90	erasing	upward	2
2767.108	3.50020224017258	14	rotation+90	erasing	downward	0
2776.629	3.50007253339523	14	rotation+90	erasing	downward	2
2786.14	3.50523947113768	14	rotation+90	erasing	leftward	1
2795.67	3.51379798510761	14	rotation+90	erasing	leftward	4
2805.209	3.50003669336464	14	rotation+90	erasing	upward	4
2814.722	3.50331306949382	14	rotation+90	erasing	upward	2
2824.251	3.51243350394326	14	rotation+90	erasing	leftward	2
2833.788	3.51155158319068	14	rotation+90	erasing	downward	0
2843.326	3.50007466673038	14	rotation+90	erasing	rightward	2
2852.839	3.50008618674021	14	rotation+90	erasing	downward	3
2862.353	3.51127424962069	14	rotation+90	erasing	upward	5
2871.89	3.51447723902058	14	rotation+90	erasing	rightward	5
2881.429	3.51040214220983	14	rotation+90	erasing	leftward	5
2900.976	4	14	rotation+90	score	n/a	n/a
2904.976	8	14	rotation+90	end_session	n/a	n/a
2922.996	8	15	mirror	start_session	n/a	n/a
2937.002	3.50008021340178	15	mirror	erasing	upward	3
2946.514	1.77340268663696	15	mirror	erasing	leftward	7
2956.023	1.43234212893195	15	mirror	erasing	leftward	7
2965.533	2.06125957227483	15	mirror	erasing	rightward	7
2975.042	3.50641451214038	15	mirror	erasing	downward	4
2984.573	3.5000499200426	15	mirror	erasing	downward	2
2994.086	3.50008149340287	15	mirror	erasing	upward	1
3003.598	3.50003072002621	15	mirror	erasing	upward	2
3013.12	1.22866195512487	15	mirror	erasing	rightward	7
3022.628	1.24277695383633	15	mirror	erasing	rightward	7
3032.138	3.50331776283116	15	mirror	erasing	upward	1
3041.665	3.500055466714	15	mirror	erasing	downward	3
3051.187	1.57994161488351	15	mirror	erasing	leftward	7
3060.695	3.50827691372963	15	mirror	erasing	downward	3
3070.23	1.67769359163186	15	mirror	erasing	rightward	7
3079.739	1.47314344374907	15	mirror	erasing	leftward	7
3089.247	3.50327040279074	15	mirror	erasing	upward	3
3108.785	4	15	mirror	score	n/a	n/a
3112.785	8	15	mirror	end_session	n/a	n/a
