onset	duration	condition	stim	resp	RT
304	0.8	n/a	5	n/a	n/a
305.6	0.8	n/a	5	n/a	n/a
307.2	0.8	n/a	5	n/a	n/a
308.8	0.8	n/a	7	n/a	n/a
310.4	0.8	n/a	7	n/a	n/a
312	0.8	n/a	7	n/a	n/a
313.6	0.8	n/a	5	n/a	n/a
315.2	0.8	n/a	7	n/a	n/a
316.8	0.8	n/a	7	n/a	n/a
318.4	0.8	n/a	7	n/a	n/a
320	0.8	n/a	5	n/a	n/a
321.6	0.8	n/a	7	n/a	n/a
323.2	0.8	n/a	7	n/a	n/a
324.8	0.8	n/a	7	n/a	n/a
326.4	0.8	n/a	5	n/a	n/a
328	0.8	n/a	7	n/a	n/a
329.6	0.8	n/a	7	n/a	n/a
331.2	0.8	n/a	5	n/a	n/a
332.8	0.8	n/a	5	n/a	n/a
334.4	0.8	n/a	5	n/a	n/a
336	0.8	n/a	7	n/a	n/a
337.6	0.8	n/a	7	n/a	n/a
339.2	0.8	n/a	5	n/a	n/a
340.8	0.8	n/a	7	n/a	n/a
342.4	0.8	n/a	5	n/a	n/a
344	0.8	n/a	7	n/a	n/a
345.6	0.8	n/a	7	n/a	n/a
347.2	0.8	n/a	7	n/a	n/a
348.8	0.8	n/a	5	n/a	n/a
350.4	0.8	n/a	5	n/a	n/a
352	0.8	n/a	5	n/a	n/a
0.709	0	n/a	n/a	50	0.709
1.994	0	n/a	n/a	51	0.394
3.788	0	n/a	n/a	51	0.588
5.276	0	n/a	n/a	50	0.475999999999999
6.832	0	n/a	n/a	51	0.432
8.487	0	n/a	n/a	50	0.487
10.114	0	n/a	n/a	51	0.513999999999999
11.727	0	n/a	n/a	50	0.526999999999999
13.454	0	n/a	n/a	51	0.654
15.054	0	n/a	n/a	51	0.654
16.567	0	n/a	n/a	50	0.567
18.179	0	n/a	n/a	51	0.578999999999997
19.93	0	n/a	n/a	50	0.729999999999997
21.406	0	n/a	n/a	50	0.605999999999998
22.821	0	n/a	n/a	51	0.420999999999999
24.526	0	n/a	n/a	51	0.526
26.204	0	n/a	n/a	51	0.603999999999999
27.776	0	n/a	n/a	50	0.575999999999997
29.307	0	n/a	n/a	50	0.506999999999998
30.876	0	n/a	n/a	51	0.475999999999999
32.517	0	n/a	n/a	50	0.517000000000003
34.121	0	n/a	n/a	50	0.521000000000001
36.025	0	n/a	n/a	50	0.824999999999996
37.456	0	n/a	n/a	51	0.655999999999999
39.029	0	n/a	n/a	50	0.628999999999998
40.578	0	n/a	n/a	51	0.578000000000003
42.245	0	n/a	n/a	50	0.644999999999996
43.993	0	n/a	n/a	50	0.792999999999999
45.489	0	n/a	n/a	51	0.688999999999993
47.141	0	n/a	n/a	51	0.740999999999993
48.892	0	n/a	n/a	51	0.892000000000003
50.547	0	n/a	n/a	50	0.946999999999996
52.177	0	n/a	n/a	50	0.976999999999997
53.731	0	n/a	n/a	50	0.930999999999997
55.433	0	n/a	n/a	51	1.03299999999999
56.835	0	n/a	n/a	50	0.835000000000001
58.415	0	n/a	n/a	50	0.814999999999998
60.09	0	n/a	n/a	50	0.890000000000001
61.715	0	n/a	n/a	51	0.914999999999999
63.275	0	n/a	n/a	51	0.874999999999993
65.031	0	n/a	n/a	50	1.03100000000001
66.723	0	n/a	n/a	50	1.12299999999999
68.113	0	n/a	n/a	50	0.912999999999997
69.683	0	n/a	n/a	51	0.88300000000001
71.419	0	n/a	n/a	51	1.01899999999999
73.148	0	n/a	n/a	51	1.148
74.653	0	n/a	n/a	50	1.053
76.262	0	n/a	n/a	50	1.062
77.723	0	n/a	n/a	51	0.922999999999988
79.424	0	n/a	n/a	51	1.024
80.867	0	n/a	n/a	51	0.867000000000004
82.36	0	n/a	n/a	50	0.759999999999991
84.053	0	n/a	n/a	51	0.852999999999994
85.674	0	n/a	n/a	51	0.873999999999995
87.302	0	n/a	n/a	51	0.902000000000001
88.925	0	n/a	n/a	50	0.924999999999997
90.511	0	n/a	n/a	51	0.910999999999987
92.204	0	n/a	n/a	50	1.00399999999999
