onset	duration	run	iti	alt	cong	reward	accuracy	task	choiceRT	targetRT
261	1.5	4	3	Repeat	Inc	0	1	Number	0.374	0.506
268.5	1.5	4	4.5	Switch	Con	0	1	Physical	0.369	0.631
277.5	1.5	4	3	Repeat	Con	10	1	Physical	0.384	0.382
285	1.5	4	3	Repeat	Inc	0	0	Physical	0.315	0.464
292.5	1.5	4	3	Switch	Con	0	1	Number	0.357	0.541
300	1.5	4	4.5	Switch	Con	0	1	Physical	0.328	0.435
309	1.5	4	3	Repeat	Inc	10	1	Physical	0.42	0.382
316.5	1.5	4	3	Switch	Inc	0	1	Number	0.425	0.526
324	1.5	4	3	Switch	Con	0	1	Physical	0.392	0.448
331.5	1.5	4	3	Switch	Con	10	1	Number	0.361	0.397
339	1.5	4	3	Repeat	Con	0	1	Number	0.448	0.347
346.5	1.5	4	6	Repeat	Inc	0	1	Number	0.399	0.798
357	1.5	4	3	Switch	Con	0	1	Physical	0.401	0.409
364.5	1.5	4	3	Repeat	Con	0	1	Physical	0.455	0.434
372	1.5	4	3	Repeat	Inc	0	0	Physical	0.781	0.752
379.5	1.5	4	3	Switch	Inc	0	1	Number	0.368	0.654
387	1.5	4	3	Repeat	Inc	0	1	Number	0.39	0.553
394.5	1.5	4	3	Repeat	Inc	0	1	Number	0.473	0.463
402	1.5	4	3	Repeat	Inc	0	0	Number	0.325	0.396
409.5	1.5	4	3	Switch	Inc	0	0	Physical	0.362	0.839
417	1.5	4	3	Repeat	Inc	0	1	Physical	0.486	0.637
424.5	1.5	4	7.5	Repeat	Inc	0	1	Physical	0.353	0.36
436.5	1.5	4	3	Repeat	Con	0	1	Physical	0.499	0.464
444	1.5	4	3	Repeat	Con	0	1	Physical	0.343	0.394
451.5	1.5	4	3	Repeat	Inc	0	1	Physical	0.606	0.57
459	1.5	4	3	Switch	Con	0	1	Number	0.393	0.465
466.5	1.5	4	3	Repeat	Con	0	1	Number	0.33	0.432
474	1.5	4	3	Repeat	Inc	0	1	Number	0.501	0.488
481.5	1.5	4	3	Repeat	Inc	0	1	Number	0.347	0.632
489	1.5	4	3	Switch	Con	0	1	Physical	0.395	0.411
0	1.5	5	3	Repeat	Inc	0	1	Physical	0.415	0.474
7.5	1.5	5	3	Repeat	Con	10	1	Physical	0.338	0.358
15	1.5	5	3	Repeat	Inc	0	1	Physical	0.359	0.477
22.5	1.5	5	4.5	Repeat	Inc	0	1	Physical	0.317	0.509
31.5	1.5	5	6	Switch	Con	0	1	Number	0.325	0.39
42	1.5	5	3	Repeat	Inc	0	1	Number	0.497	0.821
49.5	1.5	5	3	Repeat	Inc	10	1	Number	0.58	0.427
57	1.5	5	3	Repeat	Con	0	1	Number	0.374	0.382
64.5	1.5	5	3	Repeat	Inc	10	1	Number	0.409	0.475
72	1.5	5	3	Switch	Con	10	1	Physical	0.36	0.353
79.5	1.5	5	4.5	Repeat	Con	0	1	Physical	0.348	0.368
88.5	1.5	5	3	Switch	Con	10	1	Number	0.377	0.476
96	1.5	5	3	Switch	Inc	0	0	Physical	0.44	0.692
103.5	1.5	5	3	Switch	Inc	10	1	Number	0.33	0.476
111	1.5	5	3	Repeat	Con	10	1	Number	0.377	0.418
118.5	1.5	5	3	Switch	Con	0	1	Physical	0.389	0.428
126	1.5	5	3	Repeat	Con	0	1	Physical	0.352	0.335
133.5	1.5	5	3	Repeat	Inc	0	1	Physical	0.361	0.507
141	1.5	5	3	Repeat	Inc	10	1	Physical	0.386	0.348
148.5	1.5	5	3	Switch	Inc	10	1	Number	0.405	0.442
156	1.5	5	3	Repeat	Inc	10	1	Number	0.347	0.389
163.5	1.5	5	3	Repeat	Inc	0	1	Number	0.478	0.461
171	1.5	5	3	Switch	Con	0	1	Physical	0.332	0.348
178.5	1.5	5	3	Repeat	Inc	10	1	Physical	0.303	0.356
186	1.5	5	3	Switch	Con	0	1	Number	0.361	0.515
193.5	1.5	5	3	Repeat	Inc	10	1	Number	0.363	0.394
201	1.5	5	3	Repeat	Inc	0	1	Number	0.459	0.431
208.5	1.5	5	3	Repeat	Inc	0	1	Number	0.486	0.445
216	1.5	5	3	Switch	Inc	0	1	Physical	0.287	0.359
223.5	1.5	5	3	Switch	Inc	0	1	Number	0.37	0.498
231	1.5	5	3	Switch	Con	0	1	Physical	0.419	0.399
238.5	1.5	5	3	Switch	Con	0	1	Number	0.337	0.431
246	1.5	5	3	Repeat	Con	0	1	Number	0.333	0.402
253.5	1.5	5	3	Switch	Con	0	1	Physical	0.348	0.38
261	1.5	5	3	Repeat	Con	10	1	Physical	0.313	0.487
268.5	1.5	5	3	Repeat	Inc	0	1	Physical	0.495	0.392
276	1.5	5	3	Repeat	Con	0	1	Physical	0.413	0.413
283.5	1.5	5	3	Switch	Con	0	1	Number	0.319	0.469
291	1.5	5	3	Repeat	Con	0	1	Number	0.384	0.431
298.5	1.5	5	3	Repeat	Inc	0	1	Number	0.362	0.57
306	1.5	5	6	Switch	Inc	0	1	Physical	0.427	0.626
316.5	1.5	5	3	Repeat	Inc	0	1	Physical	0.319	0.618
324	1.5	5	3	Null	Inc	0	0	NoChoice	0	0.697
331.5	1.5	5	3	Switch	Con	0	1	Number	0.34	0.512
339	1.5	5	3	Repeat	Inc	0	0	Number	0.344	0.376
346.5	1.5	5	3	Repeat	Con	0	1	Number	0.358	0.429
354	1.5	5	3	Repeat	Inc	0	1	Number	0.3	0.414
361.5	1.5	5	3	Repeat	Con	0	1	Number	0.378	0.474
369	1.5	5	3	Repeat	Con	0	1	Number	0.401	0.382
376.5	1.5	5	3	Switch	Con	0	1	Physical	0.376	0.483
384	1.5	5	3	Repeat	Con	10	1	Physical	0.416	0.361
391.5	1.5	5	3	Repeat	Con	0	1	Physical	0.357	0.352
399	1.5	5	3	Repeat	Con	10	1	Physical	0.307	0.419
406.5	1.5	5	7.5	Switch	Inc	0	1	Number	0.34	0.478
418.5	1.5	5	3	Repeat	Inc	0	1	Number	0.328	0.524
426	1.5	5	3	Repeat	Inc	0	0	Number	0.397	0.391
433.5	1.5	5	3	Repeat	Con	0	1	Number	0.334	0.398
441	1.5	5	3	Repeat	Inc	0	1	Number	0.279	0.449
448.5	1.5	5	3	Switch	Inc	0	1	Physical	0.412	0.422
456	1.5	5	3	Repeat	Con	0	1	Physical	0.416	0.4
463.5	1.5	5	4.5	Repeat	Inc	0	1	Physical	0.338	0.509
472.5	1.5	5	3	Null	Con	0	0	NoChoice	0	0
480	1.5	5	4.5	Switch	Con	0	1	Physical	0.409	0.421
489	1.5	5	3	Repeat	Con	0	1	Physical	0.359	0.377
