onset	duration	trial_type	expected_response	given_response	response_time
 323.188	 0.533	fixation_cross	0	0	 0.000
 323.721	 0.798	pres	1	0	 2147483.647
 324.519	 1.529	resp	0	0	 0.000
 326.048	 0.666	jitter	0	0	 0.000
 326.714	 0.531	fixation_cross	0	0	 0.000
 327.245	 0.800	pres	1	0	 2147483.647
 328.045	 1.528	resp	0	0	 0.000
 329.573	 0.731	jitter	0	0	 0.000
 330.304	 0.532	fixation_cross	0	0	 0.000
 330.836	 0.798	pres	1	0	 2147483.647
 331.634	 1.530	resp	0	0	 0.000
 333.164	 0.931	jitter	0	0	 0.000
 334.095	 0.532	fixation_cross	0	0	 0.000
 334.627	 0.797	pres	1	0	 2147483.647
 335.424	 1.530	resp	0	0	 0.000
 336.954	 0.666	jitter	0	0	 0.000
 337.620	 0.531	fixation_cross	0	0	 0.000
 338.151	 0.798	pres	1	0	 2147483.647
 338.949	 1.530	resp	0	0	 0.000
 340.479	 0.931	jitter	0	0	 0.000
 341.410	 0.532	fixation_cross	0	0	 0.000
 341.942	 0.798	pres	1	0	 2147483.647
 342.740	 1.529	resp	0	0	 0.000
 344.269	 0.533	jitter	0	0	 0.000
 344.802	 0.531	fixation_cross	0	0	 0.000
 345.333	 0.798	pres	1	0	 2147483.647
 346.131	 1.530	resp	0	0	 0.000
 347.661	 0.532	jitter	0	0	 0.000
 348.193	 0.532	fixation_cross	0	0	 0.000
 348.725	 0.797	pres	1	0	 2147483.647
 349.522	 1.530	resp	0	0	 0.000
 351.052	 1.065	jitter	0	0	 0.000
 352.117	 0.531	fixation_cross	0	0	 0.000
 352.648	 0.798	pres	1	0	 2147483.647
 353.446	 1.530	resp	0	0	 0.000
 354.976	 1.064	jitter	0	0	 0.000
 356.040	 0.532	fixation_cross	0	0	 0.000
 356.572	 0.797	pres	1	0	 2147483.647
 357.369	 1.530	resp	0	0	 0.000
 358.899	 0.732	jitter	0	0	 0.000
 359.631	 0.532	fixation_cross	0	0	 0.000
 360.163	 0.798	pres	1	0	 2147483.647
 360.961	 1.530	resp	0	0	 0.000
 362.491	 0.531	jitter	0	0	 0.000
 363.022	 0.533	fixation_cross	0	0	 0.000
 363.555	 0.797	pres	1	0	 2147483.647
 364.352	 1.530	resp	0	0	 0.000
 365.882	 0.931	jitter	0	0	 0.000
 366.813	 0.531	fixation_cross	0	0	 0.000
 367.344	 0.799	pres	1	0	 2147483.647
 368.143	 1.530	resp	0	0	 0.000
 369.673	 0.863	jitter	0	0	 0.000
 370.536	 0.533	fixation_cross	0	0	 0.000
 371.069	 0.798	pres	1	0	 2147483.647
 371.867	 1.529	resp	0	0	 0.000
 373.396	 1.064	jitter	0	0	 0.000
 374.460	 0.532	fixation_cross	0	0	 0.000
 374.992	 0.798	pres	1	0	 2147483.647
 375.790	 1.530	resp	0	0	 0.000
 377.320	 0.865	jitter	0	0	 0.000
 378.185	 0.531	fixation_cross	0	0	 0.000
 378.716	 0.798	pres	1	0	 2147483.647
 379.514	 1.530	resp	0	0	 0.000
 381.044	 0.864	jitter	0	0	 0.000
 381.908	 0.533	fixation_cross	0	0	 0.000
 382.441	 0.797	pres	1	0	 2147483.647
 383.238	 1.530	resp	0	0	 0.000
 384.768	 0.731	jitter	0	0	 0.000
 385.499	 0.532	fixation_cross	0	0	 0.000
 386.031	 0.799	pres	1	0	 2147483.647
 386.830	 1.528	resp	0	0	 0.000
 388.358	 0.666	jitter	0	0	 0.000
 389.024	 9.975	jitter	0	0	 0.000
