onset	duration	sample	value	trial_type
593.0420000000	n/a	593042	82	82
595.5085000000	n/a	595508.5	98000	98000
597.8402615480	n/a	597840.2615	79997	79997
601.1435000000	n/a	601143.5	111	111
603.0765000000	n/a	603076.5	161	161
603.6765000000	n/a	603676.5	171	171
604.2090000000	n/a	604209	121	121
604.7930000000	n/a	604793	190	190
605.3765000000	n/a	605376.5	140	140
606.0925000000	n/a	606092.5	150	150
608.9090000000	n/a	608909	151	151
611.3415000000	n/a	611341.5	115	115
615.8410000000	n/a	615841	1500	1500
618.1580000000	n/a	618158	2100	2100
620.5915000000	n/a	620591.5	3800	3800
622.9080000000	n/a	622908	47000	47000
625.1915000000	n/a	625191.5	5400	5400
627.7075000000	n/a	627707.5	66000	66000
630.1580000000	n/a	630158	73	73
632.4580000000	n/a	632458	82	82
634.7918881110	n/a	634791.8881	79997	79997
638.2580000000	n/a	638258	150	150
639.6080000000	n/a	639608	180	180
640.5250000000	n/a	640525	170	170
642.3575000000	n/a	642357.5	131	131
643.0745000000	n/a	643074.5	160	160
643.6080000000	n/a	643608	141	141
645.4240000000	n/a	645424	114	114
649.9565000000	n/a	649956.5	1700	1700
652.4395000000	n/a	652439.5	21	21
654.8060000000	n/a	654806	3900	3900
657.1395000000	n/a	657139.5	4200	4200
659.4730000000	n/a	659473	54000	54000
661.9065000000	n/a	661906.5	65	65
664.3230000000	n/a	664323	7600	7600
666.6560000000	n/a	666656	88000	88000
668.8490589804	n/a	668849.059	79997	79997
671.7235000000	n/a	671723.5	170	170
678.9895000000	n/a	678989.5	110	110
679.5235000000	n/a	679523.5	190	190
680.1560000000	n/a	680156	151	151
683.4730000000	n/a	683473	140	140
684.4230000000	n/a	684423	161	161
685.0895000000	n/a	685089.5	151	151
686.0730000000	n/a	686073	180	180
686.7555000000	n/a	686755.5	114	114
691.2550000000	n/a	691255	12000	12000
693.7380000000	n/a	693738	24000	24000
696.0550000000	n/a	696055	36000	36000
698.3885000000	n/a	698388.5	4700	4700
700.8890000000	n/a	700889	5300	5300
703.2210000000	n/a	703221	6900	6900
705.5885000000	n/a	705588.5	7500	7500
707.9210000000	n/a	707921	8800	8800
710.2009122330	n/a	710200.9122	79997	79997
716.7555000000	n/a	716755.5	161	161
717.9045000000	n/a	717904.5	121	121
719.2880000000	n/a	719288	141	141
720.5895000000	n/a	720589.5	170	170
721.2880000000	n/a	721288	130	130
721.8050000000	n/a	721805	190	190
722.8045000000	n/a	722804.5	150	150
723.3385000000	n/a	723338.5	180	180
724.3035000000	n/a	724303.5	114	114
729.1870000000	n/a	729187	18000	18000
731.5370000000	n/a	731537	23000	23000
734.0030000000	n/a	734003	36000	36000
736.3365000000	n/a	736336.5	47000	47000
738.6535000000	n/a	738653.5	51000	51000
741.0535000000	n/a	741053.5	6500	6500
743.4030000000	n/a	743403	7200	7200
745.6865000000	n/a	745686.5	8900	8900
747.9424800159	n/a	747942.48	79997	79997
750.6875000000	n/a	750687.5	161	161
751.3030000000	n/a	751303	111	111
751.8370000000	n/a	751837	181	181
752.6200000000	n/a	752620	131	131
753.3535000000	n/a	753353.5	171	171
753.8865000000	n/a	753886.5	150	150
754.9530000000	n/a	754953	120	120
755.9705000000	n/a	755970.5	190	190
756.6525000000	n/a	756652.5	114	114
761.1685000000	n/a	761168.5	1400	1400
763.6020000000	n/a	763602	29000	29000
765.8685000000	n/a	765868.5	32000	32000
768.2520000000	n/a	768252	46000	46000
770.5180000000	n/a	770518	55000	55000
772.8185000000	n/a	772818.5	67000	67000
775.1515000000	n/a	775151.5	73000	73000
777.4685000000	n/a	777468.5	88000	88000
779.7998735750	n/a	779799.8736	79997	79997
782.8025000000	n/a	782802.5	140	140
783.3855000000	n/a	783385.5	121	121
783.9020000000	n/a	783902	161	161
784.4355000000	n/a	784435.5	151	151
784.9525000000	n/a	784952.5	171	171
785.8860000000	n/a	785886	191	191
787.5190000000	n/a	787519	181	181
789.2685000000	n/a	789268.5	131	131
790.7180000000	n/a	790718	114	114
795.2675000000	n/a	795267.5	11000	11000
797.6840000000	n/a	797684	24000	24000
800.0845000000	n/a	800084.5	33000	33000
802.5505000000	n/a	802550.5	4200	4200
804.8840000000	n/a	804884	58000	58000
807.1675000000	n/a	807167.5	65000	65000
809.6665000000	n/a	809666.5	7900	7900
812.1510000000	n/a	812151	8700	8700
814.4442315474	n/a	814444.2315	79997	79997
817.2010000000	n/a	817201	141	141
818.8005000000	n/a	818800.5	131	131
819.3670000000	n/a	819367	111	111
819.9000000000	n/a	819900	120	120
820.4335000000	n/a	820433.5	151	151
821.0675000000	n/a	821067.5	181	181
822.2510000000	n/a	822251	190	190
822.7675000000	n/a	822767.5	170	170
823.7835000000	n/a	823783.5	114	114
829.7165000000	n/a	829716.5	205	205
832.0830000000	n/a	832083	202	202
834.5500000000	n/a	834550	206	206
837.0320000000	n/a	837032	203	203
839.5495000000	n/a	839549.5	204	204
841.9990000000	n/a	841999	209	209
844.3990000000	n/a	844399	201	201
846.5825000000	n/a	846582.5	207	207
849.9320000000	n/a	849932	210	210
853.0320000000	n/a	853032	204	204
855.0820000000	n/a	855082	202	202
857.4980000000	n/a	857498	203	203
859.5315000000	n/a	859531.5	201	201
861.9820000000	n/a	861982	207	207
864.4820000000	n/a	864482	209	209
866.6980000000	n/a	866698	206	206
869.1315000000	n/a	869131.5	205	205
872.0805000000	n/a	872080.5	210	210
875.1480000000	n/a	875148	209	209
877.4810000000	n/a	877481	203	203
879.6305000000	n/a	879630.5	207	207
882.1475000000	n/a	882147.5	208	208
884.3140000000	n/a	884314	206	206
886.6140000000	n/a	886614	201	201
888.8630000000	n/a	888863	205	205
891.1805000000	n/a	891180.5	204	204
894.0965000000	n/a	894096.5	210	210
900.8960000000	n/a	900896	1700	1700
903.2135000000	n/a	903213.5	2800	2800
905.5135000000	n/a	905513.5	34000	34000
908.0130000000	n/a	908013	46000	46000
910.4625000000	n/a	910462.5	51000	51000
912.8130000000	n/a	912813	65000	65000
915.1290000000	n/a	915129	7900	7900
917.4130000000	n/a	917413	83	83
919.7431365814	n/a	919743.1366	79997	79997
922.3645000000	n/a	922364.5	170	170
922.8965000000	n/a	922896.5	180	180
924.8965000000	n/a	924896.5	161	161
925.5790000000	n/a	925579	111	111
927.1635000000	n/a	927163.5	191	191
927.9465000000	n/a	927946.5	141	141
928.7795000000	n/a	928779.5	130	130
930.4280000000	n/a	930428	114	114
934.9285000000	n/a	934928.5	1500	1500
937.2950000000	n/a	937295	2200	2200
939.7790000000	n/a	939779	3700	3700
942.1120000000	n/a	942112	4800	4800
944.5455000000	n/a	944545.5	59	59
946.8445000000	n/a	946844.5	63000	63000
949.1275000000	n/a	949127.5	7100	7100
951.6115000000	n/a	951611.5	8400	8400
953.8702024761	n/a	953870.2025	79997	79997
956.3785000000	n/a	956378.5	150	150
957.3115000000	n/a	957311.5	120	120
958.0955000000	n/a	958095.5	170	170
959.4455000000	n/a	959445.5	180	180
965.2775000000	n/a	965277.5	111	111
965.8950000000	n/a	965895	170	170
966.7950000000	n/a	966795	180	180
967.3285000000	n/a	967328.5	190	190
968.0780000000	n/a	968078	130	130
968.6110000000	n/a	968611	121	121
969.7945000000	n/a	969794.5	140	140
970.8605000000	n/a	970860.5	114	114
975.8265000000	n/a	975826.5	1100	1100
978.1935000000	n/a	978193.5	2400	2400
980.6600000000	n/a	980660	3600	3600
982.9265000000	n/a	982926.5	4700	4700
985.2260000000	n/a	985226	5900	5900
987.7430000000	n/a	987743	68000	68000
990.2095000000	n/a	990209.5	75000	75000
992.5770000000	n/a	992577	830000	830000
994.9094408360	n/a	994909.4408	79997	79997
998.1105000000	n/a	998110.5	110	110
999.2930000000	n/a	999293	140	140
999.8100000000	n/a	999810	160	160
1000.4435000000	n/a	1000443.5	170	170
1001.0605000000	n/a	1001060.5	190	190
1001.5765000000	n/a	1001576.5	151	151
1003.0270000000	n/a	1003027	181	181
1003.7930000000	n/a	1003793	122	122
1005.3920000000	n/a	1005392	115	115
1009.8920000000	n/a	1009892	1200	1200
1012.2755000000	n/a	1012275.5	21000	21000
1014.7250000000	n/a	1014725	35000	35000
1017.0425000000	n/a	1017042.5	4900	4900
1019.3580000000	n/a	1019358	5700	5700
1021.6250000000	n/a	1021625	6600	6600
1023.9085000000	n/a	1023908.5	7400	7400
1026.1454353475	n/a	1026145.4353	79997	79997
1028.7750000000	n/a	1028775	120	120
1029.9755000000	n/a	1029975.5	151	151
1031.1585000000	n/a	1031158.5	111	111
1032.0425000000	n/a	1032042.5	190	190
1033.9760000000	n/a	1033976	170	170
1034.6920000000	n/a	1034692	160	160
1035.2085000000	n/a	1035208.5	140	140
1036.3910000000	n/a	1036391	114	114
1040.9080000000	n/a	1040908	1500	1500
1043.1905000000	n/a	1043190.5	2600	2600
1045.7075000000	n/a	1045707.5	3400	3400
1048.1410000000	n/a	1048141	4700	4700
1050.4235000000	n/a	1050423.5	5900	5900
1052.8075000000	n/a	1052807.5	6800	6800
1055.1405000000	n/a	1055140.5	7100	7100
1057.4147829220	n/a	1057414.7829	79997	79997
1060.4905000000	n/a	1060490.5	150	150
1061.5755000000	n/a	1061575.5	160	160
1062.1075000000	n/a	1062107.5	140	140
1063.1580000000	n/a	1063158	170	170
1064.1245000000	n/a	1064124.5	190	190
1065.3080000000	n/a	1065308	180	180
1065.9070000000	n/a	1065907	110	110
1066.9230000000	n/a	1066923	113	113
1071.9230000000	n/a	1071923	18000	18000
1074.3560000000	n/a	1074356	26000	26000
1076.7065000000	n/a	1076706.5	35000	35000
1079.0220000000	n/a	1079022	4300	4300
1081.4060000000	n/a	1081406	52000	52000
1083.8390000000	n/a	1083839	64000	64000
1086.1390000000	n/a	1086139	7900	7900
1088.6220000000	n/a	1088622	8100	8100
1090.8393332633	n/a	1090839.3333	79997	79997
1093.4065000000	n/a	1093406.5	161	161
1094.0730000000	n/a	1094073	151	151
1095.2735000000	n/a	1095273.5	181	181
1096.4225000000	n/a	1096422.5	130	130
1097.0725000000	n/a	1097072.5	141	141
1097.6890000000	n/a	1097689	121	121
1098.2230000000	n/a	1098223	190	190
1098.7390000000	n/a	1098739	110	110
1099.6215000000	n/a	1099621.5	114	114
1104.5545000000	n/a	1104554.5	1100	1100
1107.0060000000	n/a	1107006	2900	2900
1109.5055000000	n/a	1109505.5	36000	36000
1111.8715000000	n/a	1111871.5	42000	42000
1114.3055000000	n/a	1114305.5	58000	58000
1116.7540000000	n/a	1116754	64000	64000
1119.1880000000	n/a	1119188	7300	7300
1121.6875000000	n/a	1121687.5	8500	8500
1124.1230217463	n/a	1124123.0217	79997	79997
1126.8380000000	n/a	1126838	110	110
1127.7555000000	n/a	1127755.5	190	190
1129.3715000000	n/a	1129371.5	121	121
1130.1550000000	n/a	1130155	161	161
1130.9880000000	n/a	1130988	141	141
1132.1050000000	n/a	1132105	181	181
1132.6380000000	n/a	1132638	130	130
1133.1545000000	n/a	1133154.5	150	150
1133.9375000000	n/a	1133937.5	114	114
1138.4710000000	n/a	1138471	1200	1200
1140.9535000000	n/a	1140953.5	2300	2300
1143.3705000000	n/a	1143370.5	3100	3100
1145.8035000000	n/a	1145803.5	4400	4400
1148.3035000000	n/a	1148303.5	5500	5500
1150.6855000000	n/a	1150685.5	6900	6900
1152.9700000000	n/a	1152970	7800	7800
1155.2700000000	n/a	1155270	86	86
1157.4788060790	n/a	1157478.8061	79997	79997
1160.1365000000	n/a	1160136.5	120	120
1160.8365000000	n/a	1160836.5	130	130
1162.5035000000	n/a	1162503.5	140	140
1163.5865000000	n/a	1163586.5	150	150
1164.1035000000	n/a	1164103.5	190	190
1165.2040000000	n/a	1165204	180	180
1166.1705000000	n/a	1166170.5	160	160
1166.9360000000	n/a	1166936	113	113
1171.4520000000	n/a	1171452	1200	1200
1173.8360000000	n/a	1173836	2300	2300
1176.3355000000	n/a	1176335.5	3900	3900
1178.7515000000	n/a	1178751.5	4800	4800
1181.2020000000	n/a	1181202	5400	5400
1183.5020000000	n/a	1183502	6600	6600
1185.8515000000	n/a	1185851.5	7100	7100
1188.3350000000	n/a	1188335	8700	8700
1190.6695000000	n/a	1190669.5	9500	9500
1192.9905239206	n/a	1192990.5239	79997	79997
1195.6520000000	n/a	1195652	120	120
1196.5020000000	n/a	1196502	130	130
1197.0695000000	n/a	1197069.5	190	190
1197.5855000000	n/a	1197585.5	180	180
1198.1185000000	n/a	1198118.5	140	140
1199.0350000000	n/a	1199035	160	160
1199.5680000000	n/a	1199568	110	110
1200.1520000000	n/a	1200152	170	170
1201.3185000000	n/a	1201318.5	150	150
1202.0515000000	n/a	1202051.5	113	113
1206.5505000000	n/a	1206550.5	1200	1200
1208.9005000000	n/a	1208900.5	2300	2300
1211.3840000000	n/a	1211384	38000	38000
1213.8175000000	n/a	1213817.5	49000	49000
1216.2830000000	n/a	1216283	55000	55000
1218.6505000000	n/a	1218650.5	61000	61000
1221.0010000000	n/a	1221001	77000	77000
1223.2830000000	n/a	1223283	84000	84000
1225.6500000000	n/a	1225650	96000	96000
1227.9377902583	n/a	1227937.7903	79997	79997
1230.5840000000	n/a	1230584	120	120
1231.1840000000	n/a	1231184	130	130
1231.7180000000	n/a	1231718	191	191
1233.1340000000	n/a	1233134	151	151
1234.1670000000	n/a	1234167	111	111
1234.9005000000	n/a	1234900.5	171	171
1235.5510000000	n/a	1235551	181	181
1236.7340000000	n/a	1236734	161	161
1237.2680000000	n/a	1237268	141	141
1238.1160000000	n/a	1238116	114	114
1244.1330000000	n/a	1244133	208	208
1246.4155000000	n/a	1246415.5	203	203
1248.5995000000	n/a	1248599.5	209	209
1251.0155000000	n/a	1251015.5	204	204
1253.4990000000	n/a	1253499	202	202
1255.6820000000	n/a	1255682	207	207
1257.7330000000	n/a	1257733	201	201
1260.8320000000	n/a	1260832	210	210
1263.8985000000	n/a	1263898.5	206	206
1266.4320000000	n/a	1266432	209	209
1268.5155000000	n/a	1268515.5	202	202
1270.6980000000	n/a	1270698	207	207
1272.7480000000	n/a	1272748	208	208
1274.9980000000	n/a	1274998	204	204
1277.0480000000	n/a	1277048	201	201
1281.5645000000	n/a	1281564.5	210	210
1285.0315000000	n/a	1285031.5	202	202
1287.2980000000	n/a	1287298	203	203
1289.6980000000	n/a	1289698	207	207
1291.9305000000	n/a	1291930.5	209	209
1294.3470000000	n/a	1294347	206	206
1296.7645000000	n/a	1296764.5	201	201
1298.9140000000	n/a	1298914	204	204
1301.1140000000	n/a	1301114	205	205
1303.8140000000	n/a	1303814	210	210
1309.3640000000	n/a	1309364	1300	1300
1311.7465000000	n/a	1311746.5	29000	29000
1314.1795000000	n/a	1314179.5	37000	37000
1316.5965000000	n/a	1316596.5	42	42
1318.9965000000	n/a	1318996.5	55000	55000
1321.4125000000	n/a	1321412.5	6100	6100
1323.8125000000	n/a	1323812.5	78000	78000
1326.1625000000	n/a	1326162.5	84000	84000
1328.4131044540	n/a	1328413.1045	79997	79997
1331.3470000000	n/a	1331347	130	130
1332.2300000000	n/a	1332230	171	171
1332.7635000000	n/a	1332763.5	181	181
1334.8625000000	n/a	1334862.5	111	111
1335.5140000000	n/a	1335514	150	150
1336.5130000000	n/a	1336513	121	121
1337.8960000000	n/a	1337896	141	141
1338.9285000000	n/a	1338928.5	115	115
1343.9285000000	n/a	1343928.5	1600	1600
1346.2620000000	n/a	1346262	2700	2700
1348.5785000000	n/a	1348578.5	31000	31000
1350.9955000000	n/a	1350995.5	43000	43000
1353.3780000000	n/a	1353378	5400	5400
1355.7450000000	n/a	1355745	6500	6500
1358.1950000000	n/a	1358195	7900	7900
1360.3893559475	n/a	1360389.3559	79997	79997
1363.1620000000	n/a	1363162	160	160
1364.0955000000	n/a	1364095.5	170	170
1365.2115000000	n/a	1365211.5	131	131
1365.8115000000	n/a	1365811.5	111	111
1366.4115000000	n/a	1366411.5	140	140
1366.9285000000	n/a	1366928.5	150	150
1367.5455000000	n/a	1367545.5	190	190
1368.8280000000	n/a	1368828	114	114
1373.8435000000	n/a	1373843.5	1400	1400
1376.1770000000	n/a	1376177	2800	2800
1378.5275000000	n/a	1378527.5	3500	3500
1380.8275000000	n/a	1380827.5	4100	4100
1383.2940000000	n/a	1383294	5600	5600
1385.7765000000	n/a	1385776.5	6900	6900
1388.1270000000	n/a	1388127	7700	7700
1390.3249410029	n/a	1390324.941	79997	79997
1392.9110000000	n/a	1392911	140	140
1393.4780000000	n/a	1393478	180	180
1394.0775000000	n/a	1394077.5	150	150
1395.0940000000	n/a	1395094	110	110
1395.7940000000	n/a	1395794	160	160
1396.8615000000	n/a	1396861.5	190	190
1397.4280000000	n/a	1397428	170	170
1398.0935000000	n/a	1398093.5	113	113
1402.5930000000	n/a	1402593	1100	1100
1404.9760000000	n/a	1404976	2500	2500
1407.3760000000	n/a	1407376	3700	3700
1409.7605000000	n/a	1409760.5	48000	48000
1412.1425000000	n/a	1412142.5	59000	59000
1414.4925000000	n/a	1414492.5	6200	6200
1416.7930000000	n/a	1416793	7400	7400
1419.0925000000	n/a	1419092.5	8600	8600
1421.5024313894	n/a	1421502.4314	79997	79997
1424.2090000000	n/a	1424209	110	110
1424.7595000000	n/a	1424759.5	150	150
1425.8265000000	n/a	1425826.5	170	170
