onset	duration	sample	trial_type	response_time	stim_file	value	HED
1098.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1098.5000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1101.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1102.3000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1105.4000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1112.1000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1116.8180000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1118.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1118.8000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1121.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1122.6000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1125.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1132.4000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1134.7980000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1138.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1139.0000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1142.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1142.8000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1146.0000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1152.6000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1158.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1159.1000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1159.5560000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1162.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1162.9000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1166.1000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1172.7000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1174.1100000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1179.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1179.5000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1182.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1183.3000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
