onset	duration	trial_type	trial	delay	sentence	detected_delay
208.5754	3.9674	random1	13	0.034	The steady drip is worse than a drenching rain.	0
214.2588	2.9628	random1	14	0.21	Green ice frosted the punch bowl.	1
218.7423	3.4701	random1	15	0.057	The gloss on top made it unfit to read.	1
223.459	3.1282	random1	16	0.247	Our troops are set to strike heavy blows.	1
227.7259	3.6441	random1	17	0.053	The stitch will serve but needs to be shortened.	1
233.2759	3.5248	random1	18	0.178	A stuffed chair slipped from the moving van.	1
238.1425	3.7769	random1	19	0.076	Seven seals were stamped on great sheets.	0
243.5926	3.9813	random1	20	0.164	The hail pattered on the burnt brown grass.	1
249.576	3.3966	random1	21	0.139	Cheap clothes are flashy but don't last.	1
254.9928	3.1225	random1	22	0.018	Peep under the tent and see the clowns.	0
259.9595	3.2186	random1	23	0.065	The pencil was cut to be sharp at both ends.	0
264.9763	2.7526	random1	24	0.016	A thing of small note can cause despair.	0
269.1597	3.3361	random1	25	0.122	Even a just cause needs power to win.	1
273.8264	2.8602	random1	26	0.233	A thick coat of black paint covered all.	1
277.9098	3.3277	random1	27	0.231	Hurdle the pit with the aid of a long pole.	1
282.3432	3.1732	random1	28	0.103	A strong bid may scare your partner stiff.	1
286.5766	2.9868	random1	29	0.133	The leaf drifts along with a slow spin.	1
290.7767	3.1296	random1	30	0.111	Flood the mails with requests for this book.	1
295.2267	3.0625	random1	31	0.196	High seats are best for football fans.	1
299.2768	3.2194	random1	32	0.044	Gray paint stretched for miles around.	0
306.1269	3.0156	random1	33	0.181	We are sure that one war is enough.	1
310.9103	2.5831	random1	34	0.222	The rude laugh filled the empty room.	1
314.6437	2.9527	random1	35	0.042	The train brought our hero to the big town.	1
319.8604	3.1667	random1	36	0.189	The dark pot hung in the front closet.	1
326.7105	2.9148	random1	37	0.023	A dash of pepper spoils beef stew.	0
331.0274	3.1968	random1	38	0.046	A zestful food is the hot-cross bun.	1
335.394	3.469	random1	39	0.101	Carry the pail to the wall and spill it there.	1
339.8274	3.3865	random1	40	0.042	Tea served from the brown jug is tasty.	0
344.4281	3.0168	random1	41	0.116	The stale smell of old beer lingers.	1
348.5275	2.9403	random1	42	0.209	The desk was firm on the shaky floor.	1
353.0443	2.3825	random1	43	0.222	It takes heat to bring out the odor.	1
356.261	3.0049	random1	44	0.102	Heave the line over the port side.	1
360.7777	2.935	random1	45	0.041	Beef is scarcer than some lamb.	0
365.4444	2.7872	random1	46	0.168	A cone costs five cents on Mondays.	1
369.9112	3.1993	random1	47	0.247	His hip struck the knee of the next player.	1
374.1613	2.9881	random1	48	0.036	It's a dense crowd in two distinct ways.	0
378.3446	3.0837	random1	49	0.011	Raise the sail and steer the ship northward.	0
382.1781	3.3613	random1	50	0.182	A lathe cuts and trims any wood.	1
386.6948	2.3476	adaption	1	0.204	Read just what the meter says.	1
390.1115	3.2738	adaption	2	0.204	Either mud or dust are found at all times.	1
394.9283	3.2957	adaption	3	0.204	At night the alarm roused him from a deep sleep.	1
399.9616	3.0933	adaption	4	0.204	Down that road is the way to the grain farmer.	1
403.995	3.1469	adaption	5	0.204	The best method is to fix it in place with clips.	1
408.3784	2.9304	adaption	6	0.204	Fill your pack with bright trinkets for the poor.	1
412.4285	3.3592	adaption	7	0.204	He wrote his name boldly at the top of the sheet.	1
416.6953	2.9634	adaption	8	0.204	Those last words were a strong statement.	1
420.812	2.9017	adaption	9	0.204	If you mumble your speech will be lost.	1
425.2621	3.2584	adaption	10	0.204	Dill pickles are sour but taste fine.	1
429.7621	3.0933	adaption	11	0.204	Code is used when secrets are sent.	1
440.1456	2.7553	adaption	12	0.204	The kitten chased the dog down the street.	1
444.1957	2.5682	adaption	13	0.204	Women form less than half of the group.	1
448.429	4.4933	adaption	14	0.204	The zones merge in the central part of town.	1
454.9291	3.0561	adaption	15	0.204	A gem in the rough needs work to polish.	1
463.1625	2.9406	adaption	16	0.204	Nine rows of soldiers stood in a line.	1
467.0293	2.7288	adaption	17	0.204	Pages bound in cloth make a book.	1
470.8127	2.8725	adaption	18	0.204	The idea is to sew both edges straight.	1
474.9961	2.712	adaption	19	0.204	The beach is dry and shallow at low tide.	1
479.9628	2.7681	adaption	20	0.204	Try to trace the fine lines of the painting.	1
484.2463	3.2514	adaption	21	0.204	Slide the tray across the glass top.	1
489.9463	3.014	adaption	22	0.204	The cloud moved in a stately way and was gone.	1
495.4632	2.032	adaption	23	0.204	Dull stories make her laugh.	1
498.6298	2.4325	adaption	24	0.204	Choose between the high road and the low.	1
502.4798	2.7655	adaption	25	0.204	Jerk the cord, and out tumbles the gold.	1
506.7306	2.6416	adaption	26	0.204	Get the trust fund to the bank early.	1
510.3967	2.7426	adaption	27	0.204	Set the piece here and say nothing.	1
515.0134	3.0926	adaption	28	0.204	A stiff cord will do to fasten your shoe.	1
519.3634	3.0455	adaption	29	0.204	Stop whistling and watch the boys march.	1
523.8135	2.8264	adaption	30	0.204	Light maple makes for a swell room.	1
528.0635	2.8953	adaption	31	0.204	A pod is what peas always grow in.	1
532.5469	2.6668	adaption	32	0.204	No hardship seemed to make him sad.	1
536.6136	2.5031	adaption	33	0.204	No cement will hold hard wood.	1
540.2137	2.83	adaption	34	0.204	Grace makes up for lack of beauty.	1
544.3971	4.0132	adaption	35	0.204	The sense of smell is better than that of touch.	1
550.4972	2.704	adaption	36	0.204	A list of names is carved around the base.	1
554.8973	2.8708	adaption	37	0.204	The sheep were led home by a dog.	1
558.9473	3.1076	adaption	38	0.204	Three for a dime, the young peddler cried.	1
563.0308	2.7672	adaption	39	0.204	Jerk that dart from the cork target.	1
566.7975	2.5596	adaption	40	0.204	We now have a new base for shipping.	1
571.4809	3.155	adaption	41	0.204	The nozzle of the fire hose was bright brass.	1
579.0143	2.7237	adaption	42	0.204	Time brings us many changes.	1
583.1811	2.9878	adaption	43	0.204	The store walls were lined with colored frocks.	1
587.367	3.4407	adaption	44	0.204	Screw the round cap on as tight as needed.	1
592.0479	3.2308	adaption	45	0.204	The quick fox jumped on the sleeping cat.	1
596.3312	2.9624	adaption	46	0.204	The rise to fame of a person takes luck.	1
600.3813	3.3112	adaption	47	0.204	The peace league met to discuss their plans.	1
604.8647	2.9147	adaption	48	0.204	Paper is scarce, so write with much care.	1
608.8314	3.515	adaption	49	0.204	Men think and plan and sometimes act.	1
613.4482	2.7133	adaption	50	0.204	The purple tie was ten years old.	1
617.7982	3.042	adaption	51	0.204	The swan dive was far short of perfect.	1
621.9816	2.9696	adaption	52	0.204	The colt reared and threw the tall rider.	1
631.2984	2.9864	adaption	53	0.204	Press the pants and sew a button on the vest.	1
635.1151	2.9128	adaption	54	0.204	The beauty of the view stunned the young boy.	1
638.9986	2.7883	adaption	55	0.204	Her purse was full of useless trash.	1
642.832	2.786	adaption	56	0.204	The small pup gnawed a hole in the sock.	1
646.882	2.663	adaption	57	0.204	Two blue fish swam in the tank.	1
650.6487	2.7433	adaption	58	0.204	Read verse out loud for pleasure.	1
654.4154	3.1836	adaption	59	0.204	The fish twisted and turned on the bent hook.	1
658.5989	2.8951	adaption	60	0.204	It snowed, rained, and hailed the same morning.	1
662.6656	2.7794	adaption	61	0.204	Tuck the sheet under the edge of the mat.	1
666.749	2.1271	adaption	62	0.204	We like to see clear weather.	1
669.8156	3.0675	adaption	63	0.204	Oats are a food eaten by horse and man.	1
675.8499	3.4078	adaption	64	0.204	The work of the tailor is seen on each side.	1
680.5325	2.4921	adaption	65	0.204	Take a chance and win a china doll.	1
684.3492	2.5544	adaption	66	0.204	A man in a blue sweater sat at the desk.	1
694.9827	2.7662	adaption	67	0.204	A force equal to that would move the earth.	1
699.0662	3.2576	adaption	68	0.204	Their eyelids droop for want of sleep.	1
703.2829	2.624	adaption	69	0.204	There are many ways to do these things.	1
707.6829	3.0628	adaption	70	0.204	A sip of tea revives his tired friend.	1
712.1831	2.8176	adaption	71	0.204	Brass rings are sold by these natives.	1
716.3164	2.4992	adaption	72	0.204	A ripe plum is fit for a king's palate.	1
720.2331	2.1976	adaption	73	0.204	Our plans right now are hazy.	1
724.6499	3.7553	adaption	74	0.204	It takes a good trap to capture a bear.	1
729.8666	2.2577	adaption	75	0.204	Just hoist it up and take it away.	1
733.1166	2.9907	adaption	76	0.204	Pour the stew from the pot into the plate.	1
737.5334	2.6848	adaption	77	0.204	The dirt piles were lines along the road.	1
741.2834	3.5977	adaption	78	0.204	The logs fell and tumbled into the clear stream.	1
746.0335	2.7506	adaption	79	0.204	The man went to the woods to gather sticks.	1
750.0002	2.295	adaption	80	0.204	Each penny shone like new.	1
753.2669	3.4752	random2	1	0.093	The sun came up to light the eastern sky.	1
757.8337	2.4675	random2	2	0.239	Smoke poured out of every crack.	1
761.9171	3.3429	random2	3	0.241	A siege will crack the strong defense.	1
767.2838	2.4951	random2	4	0.161	Fake stones shine but cost little.	1
771.0005	2.5694	random2	5	0.178	Serve the hot rum to the tired heroes.	1
774.6172	2.4238	random2	6	0.246	He wrote down a long list of items.	1
778.0006	2.2956	random2	7	0.068	Roads are paved with sticky tar.	1
781.2841	2.6752	random2	8	0.187	The drip of the rain made a pleasant sound.	1
784.7841	2.3504	random2	9	0.231	Much of the story makes good sense.	1
788.0175	2.3961	random2	10	0.059	Grape juice and water mix well.	1
791.7008	2.8479	random2	11	0.054	We tried to replace the coin but failed.	1
796.5842	2.8032	random2	12	0.184	The pirates seized the crew of the lost ship.	1
800.3676	2.179	random2	13	0.23	The pencils have all been used.	1
803.5844	2.4894	random2	14	0.169	He broke a new shoelace that day.	1
807.0678	2.565	random2	15	0.008	A speedy man can beat this track mark.	0
814.8346	2.8842	random2	16	0.033	She sewed the torn coat quite neatly.	1
818.7346	2.9112	random2	17	0.164	The coffee stand is too high for the couch.	1
822.6014	2.5396	random2	18	0.183	The urge to write short stories is rare.	1
826.468	2.9678	random2	19	0.119	The empty flask stood on the tin tray.	1
830.2681	3.7747	random2	20	0.047	The sofa cushion is red and of light weight.	0
835.6348	3.0547	random2	21	0.119	The hilt of the sword was carved with fine designs.	1
839.6516	2.5891	random2	22	0.099	Paint the sockets in the wall dull green.	1
843.3016	3.162	random2	23	0.118	Footprints showed the path he took up the beach.	1
847.7517	3.6947	random2	24	0.062	The child crawled into the dense grass.	1
852.4018	3.0675	random2	25	0.055	A round hole was drilled through the thin board.	0
856.2851	2.5914	random2	26	0.111	She was waiting at my front lawn.	1
859.6518	2.6398	random2	27	0.013	Bribes fail where honest men work.	0
863.2185	2.8642	random2	28	0.162	A vent near the edge brought in fresh air.	1
866.7353	3.6343	random2	29	0.144	Prod the old mule with a crooked stick.	1
871.2854	3.1633	random2	30	0.095	Trample the spark, else the flames will spread.	1
875.1521	3.4795	random2	31	0.057	Tack the strip of carpet to the worn floor.	0
879.3689	3.6775	random2	32	0.141	He used the lathe to make brass objects.	1
890.8023	3.2814	random2	33	0.219	Let it burn, it gives us warmth and comfort.	1
895.1024	3.2363	random2	34	0.185	A castle built from sand fails to endure.	1
899.2525	2.5652	random2	35	0.11	Next Tuesday we must vote.	1
902.9381	2.7986	random2	36	0.018	Most of the news is easy for us to hear.	0
906.7025	2.7613	random2	37	0.128	A child's wit saved the day for us.	1
910.2693	3.0256	random2	38	0.046	The clan gathered on each dull night.	0
915.0193	3.3783	random2	39	0.111	The vane on top of the pole revolved in the wind.	1
919.1694	3.5551	random2	40	0.081	Mince pie is a dish served to children.	1
924.8528	2.9584	random2	41	0.079	The mail comes in three batches per day.	1
928.6029	3.1834	random2	42	0.089	Pick a card and slip it under the pack.	1
932.5037	2.6178	random2	43	0.238	Be sure to set that lamp firmly in the hole.	1
936.353	2.3915	random2	44	0.214	The poor boy missed the boat again.	1
939.6031	2.6605	random2	45	0.068	Hang tinsel from both branches.	1
943.1865	2.5563	random2	46	0.17	Cap the jar with a tight brass cover.	1
946.6031	2.4668	random2	47	0.188	You cannot brew tea in a cold pot.	1
950.0373	3.4876	random2	48	0.08	A good book informs of what we ought to know.	1
954.8033	3.2004	random2	49	0.029	The first part of the plan needs changing.	0
959.02	2.8307	random2	50	0.073	A round mat will cover the dull spot.	1
