onset	duration	trial_type	phase	probe	line_pct	response	RT	RTHold	catch	missed	problem_trial
138.519309486	3.0	Word	marking	of	0.98	0.9823788546255506	2.2780250039995735	0.3968931049994353	0	0	0
147.513808302	3.0	Word	encoding	by	0.85	0.8370044052863436	2.294531528999869	0.43456815500030643	0	0	0
151.019689661	3.0	Word	marking	by	0.85	0.8370044052863436	2.294531528999869	0.43456815500030643	0	0	0
158.509650663	3.0	Word	encoding	be	0.33	0.32158590308370044	2.2920222739994642	0.604537805000291	0	0	0
162.019942191	3.0	Word	marking	be	0.33	0.32158590308370044	2.2920222739994642	0.604537805000291	0	0	0
168.504151894	3.0	Word	encoding	my	0.57	0.579295154185022	1.8532973640003547	0.41536749999977474	0	0	0
175.203701071	3.0	Word	marking	my	0.57	0.579295154185022	1.8532973640003547	0.41536749999977474	0	0	0
181.009271553	3.0	Word	encoding	it	0.36	0.0	NaN	0.48698408500058576	0	0	0
184.027321957	3.0	Word	marking	it	0.36	0.0	NaN	0.48698408500058576	1	0	0
194.010725988	3.0	Word	encoding	we	0.45	0.0	NaN	0.39842499000042153	0	0	0
201.021075865	3.0	Word	marking	we	0.45	0.0	NaN	0.39842499000042153	1	0	0
204.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
213.50725174	3.0	Neg	encoding	70	0.85	0.8171806167400881	2.5956990140002745	0.6460875599996143	0	0	0
220.054928772	3.0	Neg	marking	70	0.85	0.8171806167400881	2.5956990140002745	0.6460875599996143	0	0	0
229.509902898	3.0	Neg	encoding	20	0.6	0.6321585903083701	1.9549298989995805	0.4916665599994303	0	0	0
234.022015476	3.0	Neg	marking	20	0.6	0.6321585903083701	1.9549298989995805	0.4916665599994303	0	0	0
240.515518283	3.0	Neg	encoding	-34	0.33	0.3876651982378855	2.055193354000039	0.7888495900006092	0	0	0
243.522318442	3.0	Neg	marking	-34	0.33	0.3876651982378855	2.055193354000039	0.7888495900006092	0	0	0
251.511436274	3.0	Neg	encoding	14	0.57	0.0	NaN	0.4495059549999496	0	0	0
255.508303307	3.0	Neg	marking	14	0.57	0.0	NaN	0.4495059549999496	1	0	0
264.008036714	3.0	Neg	encoding	80	0.9	0.9096916299559471	2.6548026939999545	0.41822303400022065	0	0	0
268.506404962	3.0	Neg	marking	80	0.9	0.9096916299559471	2.6548026939999545	0.41822303400022065	0	0	0
276.017308679	3.0	Neg	encoding	-10	0.45	0.44713656387665196	1.5064585740001348	0.42127202000028774	0	0	0
279.506566392	3.0	Neg	marking	-10	0.45	0.44713656387665196	1.5064585740001348	0.42127202000028774	0	0	0
285.50858561	3.0	Neg	encoding	-94	0.03	0.037444933920704845	2.4436570640000355	0.48973578500044823	0	0	0
289.023619248	3.0	Neg	marking	-94	0.03	0.037444933920704845	2.4436570640000355	0.48973578500044823	0	0	0
296.020201665	3.0	Neg	encoding	30	0.65	0.0	NaN	0.6404985999997734	0	0	0
300.523945628	3.0	Neg	marking	30	0.65	0.0	NaN	0.6404985999997734	1	0	0
309.504444774	3.0	Neg	encoding	-86	0.07	0.05726872246696035	2.545182912999735	0.3663786790002632	0	0	0
316.524332992	3.0	Neg	marking	-86	0.07	0.05726872246696035	2.545182912999735	0.3663786790002632	0	0	0
323.009652049	3.0	Neg	encoding	-58	0.21	0.2026431718061674	2.3151571939997666	0.4278440150001188	0	0	0
329.007947491	3.0	Neg	marking	-58	0.21	0.2026431718061674	2.3151571939997666	0.4278440150001188	0	0	0
336.509315423	3.0	Neg	encoding	-28	0.36	0.34140969162995594	2.328911220000009	0.47041111500038824	0	0	0
340.524938521	3.0	Neg	marking	-28	0.36	0.34140969162995594	2.328911220000009	0.47041111500038824	0	0	0
347.510002454	3.0	Neg	encoding	96	0.98	1.0	2.1430611890000364	0.43232886000077997	0	0	0
353.025428126	3.0	Neg	marking	96	0.98	1.0	2.1430611890000364	0.43232886000077997	0	0	0
363.006477672	3.0	Neg	encoding	-78	0.11	0.12334801762114538	2.3050075190003554	0.46844994999992196	0	0	0
368.02585247	3.0	Neg	marking	-78	0.11	0.12334801762114538	2.3050075190003554	0.46844994999992196	0	0	0
375.005570332	3.0	Neg	encoding	48	0.74	0.0	NaN	0.7007750889997624	0	0	0
378.509495341	3.0	Neg	marking	48	0.74	0.0	NaN	0.7007750889997624	1	0	0
384.519698168	3.0	Neg	encoding	54	0.77	0.7907488986784141	2.137307433999922	0.4321714099996825	0	0	0
387.510701012	3.0	Neg	marking	54	0.77	0.7907488986784141	2.137307433999922	0.4321714099996825	0	0	0
395.016112624	3.0	Neg	encoding	-44	0.28	0.0	NaN	0.5770719550000649	0	0	0
399.026666162	3.0	Neg	marking	-44	0.28	0.0	NaN	0.5770719550000649	1	0	0
402.0	6.0	break	break	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
411.512211422	3.0	Pos	encoding	60	0.6	0.0	NaN	0.4961616150003465	0	0	0
415.527047155	3.0	Pos	marking	60	0.6	0.0	NaN	0.4961616150003465	1	0	0
423.004953892	3.0	Pos	encoding	77	0.77	0.8568281938325991	1.980480188999536	0.36204042000008485	0	0	0
427.51068732	3.0	Pos	marking	77	0.77	0.8568281938325991	1.980480188999536	0.36204042000008485	0	0	0
436.515053041	3.0	Pos	encoding	11	0.11	0.06387665198237885	1.675605409000127	0.45416671900056826	0	0	0
440.521426265	3.0	Pos	marking	11	0.11	0.06387665198237885	1.675605409000127	0.45416671900056826	0	0	0
448.011002836	3.0	Pos	encoding	21	0.21	0.1828193832599119	1.9687172200001442	0.4566195900006278	0	0	0
455.011482124	3.0	Pos	marking	21	0.21	0.1828193832599119	1.9687172200001442	0.4566195900006278	0	0	0
463.015693465	3.0	Pos	encoding	3	0.03	0.0	1.7698616040006527	0.5055996150003921	0	0	0
466.011804479	3.0	Pos	marking	3	0.03	0.0	1.7698616040006527	0.5055996150003921	0	0	0
473.520583266	3.0	Pos	encoding	33	0.33	0.2621145374449339	2.227523524999924	0.6606602550000389	0	0	0
476.528904914	3.0	Pos	marking	33	0.33	0.2621145374449339	2.227523524999924	0.6606602550000389	0	0	0
482.507758542	3.0	Pos	encoding	57	0.57	0.566079295154185	1.5581867700002476	0.4461297000007107	0	0	0
486.029098156	3.0	Pos	marking	57	0.57	0.566079295154185	1.5581867700002476	0.4461297000007107	0	0	0
493.007378063	3.0	Pos	encoding	45	0.45	0.0	NaN	0.40079923499979486	0	0	0
496.529621571	3.0	Pos	marking	45	0.45	0.0	NaN	0.40079923499979486	1	0	0
503.506144023	3.0	Pos	encoding	28	0.28	0.22246696035242292	2.392542089000017	0.4158351299993228	0	0	0
507.513049732	3.0	Pos	marking	28	0.28	0.22246696035242292	2.392542089000017	0.4158351299993228	0	0	0
514.008360899	3.0	Pos	encoding	7	0.07	0.06387665198237885	2.096618753999792	0.41387243999997736	0	0	0
517.538130247	3.0	Pos	marking	7	0.07	0.06387665198237885	2.096618753999792	0.41387243999997736	0	0	0
523.503273235	3.0	Pos	encoding	74	0.74	0.0	NaN	0.4042650549999962	0	0	0
528.030339043	3.0	Pos	marking	74	0.74	0.0	NaN	0.4042650549999962	1	0	0
536.513310419	3.0	Pos	encoding	90	0.9	0.0	NaN	0.3636385549998522	0	0	0
542.013888112	3.0	Pos	marking	90	0.9	0.0	NaN	0.3636385549998522	1	0	0
549.008590034	3.0	Pos	encoding	65	0.65	0.6519823788546255	2.138294729000336	0.4759639250005421	0	0	0
553.514489277	3.0	Pos	marking	65	0.65	0.6519823788546255	2.138294729000336	0.4759639250005421	0	0	0
560.005413165	3.0	Pos	encoding	85	0.85	0.8502202643171806	2.3648543740000605	0.4975160699996195	0	0	0
566.031222102	3.0	Pos	marking	85	0.85	0.8502202643171806	2.3648543740000605	0.4975160699996195	0	0	0
576.007868333	3.0	Pos	encoding	98	0.98	1.0	2.098408713999561	0.3840044749995286	0	0	0
582.5151634	3.0	Pos	marking	98	0.98	1.0	2.098408713999561	0.3840044749995286	0	0	0
592.005824401	3.0	Pos	encoding	36	0.36	0.22246696035242292	2.255009128999518	0.42316198499975144	0	1	0
597.015546919	3.0	Pos	marking	36	0.36	0.22246696035242292	2.255009128999518	0.42316198499975144	0	1	0
