onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
1011.7493	10	male_mid	4	10117493	19	1	2	male_mid/male_mid_019_regress.hdf5
1021.8189	10	female_mid	7	10218189	79	1	2	female_mid/female_mid_079_regress.hdf5
1031.8885	10	male_high	5	10318885	82	1	2	male_high/male_high_082_regress.hdf5
1041.9581	10	female_high	8	10419581	61	1	2	female_high/female_high_061_regress.hdf5
1052.0277	10	male_mid	4	10520277	101	1	2	male_mid/male_mid_101_regress.hdf5
1062.0973	10	male_low	3	10620973	68	1	2	male_low/male_low_068_regress.hdf5
1072.1669	10	female_low	6	10721669	97	1	2	female_low/female_low_097_regress.hdf5
1082.2365	10	female_mid	7	10822365	48	1	2	female_mid/female_mid_048_regress.hdf5
1092.3061	10	male_mid	4	10923061	18	1	2	male_mid/male_mid_018_regress.hdf5
1102.3757	10	male_high	5	11023757	56	1	2	male_high/male_high_056_regress.hdf5
1112.4452	10	female_low	6	11124452	85	1	2	female_low/female_low_085_regress.hdf5
1122.5148	10	male_low	3	11225148	117	1	2	male_low/male_low_117_regress.hdf5
1132.5844	10	female_high	8	11325844	92	1	2	female_high/female_high_092_regress.hdf5
1142.654	10	female_high	8	11426540	56	1	2	female_high/female_high_056_regress.hdf5
1152.7449	10	male_high	5	11527449	111	1	2	male_high/male_high_111_regress.hdf5
1162.8145	10	female_mid	7	11628145	98	1	2	female_mid/female_mid_098_regress.hdf5
1172.8841	10	female_low	6	11728841	1	1	2	female_low/female_low_001_regress.hdf5
1182.9537	10	male_low	3	11829537	119	1	2	male_low/male_low_119_regress.hdf5
1193.0233	10	male_mid	4	11930233	26	1	2	male_mid/male_mid_026_regress.hdf5
1203.0929	10	male_low	3	12030929	7	1	2	male_low/male_low_007_regress.hdf5
1213.1625	10	male_high	5	12131625	64	1	2	male_high/male_high_064_regress.hdf5
1223.2321	10	male_mid	4	12232321	70	1	2	male_mid/male_mid_070_regress.hdf5
1233.3017	10	female_low	6	12333017	112	1	2	female_low/female_low_112_regress.hdf5
1243.3712	10	female_high	8	12433712	2	1	2	female_high/female_high_002_regress.hdf5
1253.4408	10	female_mid	7	12534408	17	1	2	female_mid/female_mid_017_regress.hdf5
1263.5104	10	female_high	8	12635104	79	1	2	female_high/female_high_079_regress.hdf5
1273.58	10	male_mid	4	12735800	75	1	2	male_mid/male_mid_075_regress.hdf5
1283.6709	10	male_high	5	12836709	8	1	2	male_high/male_high_008_regress.hdf5
1293.7405	10	female_low	6	12937405	89	1	2	female_low/female_low_089_regress.hdf5
1303.8101	10	female_mid	7	13038101	43	1	2	female_mid/female_mid_043_regress.hdf5
1313.8797	10	male_low	3	13138797	64	1	2	male_low/male_low_064_regress.hdf5
1323.9493	10	male_low	3	13239493	49	1	2	male_low/male_low_049_regress.hdf5
1334.0189	10	female_low	6	13340189	113	1	2	female_low/female_low_113_regress.hdf5
1344.0885	10	male_mid	4	13440885	84	1	2	male_mid/male_mid_084_regress.hdf5
1354.1581	10	male_high	5	13541581	101	1	2	male_high/male_high_101_regress.hdf5
1364.2277	10	female_mid	7	13642277	96	1	2	female_mid/female_mid_096_regress.hdf5
1374.3186	10	female_high	8	13743186	65	1	2	female_high/female_high_065_regress.hdf5
1384.3882	10	male_high	5	13843882	12	1	2	male_high/male_high_012_regress.hdf5
1394.4578	10	male_mid	4	13944578	54	1	2	male_mid/male_mid_054_regress.hdf5
1404.5274	10	female_low	6	14045274	105	1	2	female_low/female_low_105_regress.hdf5
1414.5969	10	male_low	3	14145969	3	1	2	male_low/male_low_003_regress.hdf5
1424.6665	10	female_mid	7	14246665	22	1	2	female_mid/female_mid_022_regress.hdf5
1434.7361	10	female_high	8	14347361	90	1	2	female_high/female_high_090_regress.hdf5
1444.8057	10	female_low	6	14448057	56	1	2	female_low/female_low_056_regress.hdf5
1454.8753	10	male_mid	4	14548753	113	1	2	male_mid/male_mid_113_regress.hdf5
1464.9449	10	male_low	3	14649449	79	1	2	male_low/male_low_079_regress.hdf5
1475.0145	10	female_mid	7	14750145	56	1	2	female_mid/female_mid_056_regress.hdf5
1485.0841	10	female_high	8	14850841	36	1	2	female_high/female_high_036_regress.hdf5
1495.1537	10	male_high	5	14951537	117	1	2	male_high/male_high_117_regress.hdf5
1505.2232	10	male_high	5	15052232	55	1	2	male_high/male_high_055_regress.hdf5
1515.2928	10	female_high	8	15152928	9	1	2	female_high/female_high_009_regress.hdf5
1525.3624	10	female_mid	7	15253624	101	1	2	female_mid/female_mid_101_regress.hdf5
1535.432	10	male_low	3	15354320	66	1	2	male_low/male_low_066_regress.hdf5
1545.5016	10	female_low	6	15455016	22	1	2	female_low/female_low_022_regress.hdf5
1555.5712	10	male_mid	4	15555712	5	1	2	male_mid/male_mid_005_regress.hdf5
1565.6408	10	female_mid	7	15656408	24	1	2	female_mid/female_mid_024_regress.hdf5
1575.7104	10	male_mid	4	15757104	110	1	2	male_mid/male_mid_110_regress.hdf5
1585.78	10	female_low	6	15857800	19	1	2	female_low/female_low_019_regress.hdf5
1595.8496	10	male_low	3	15958496	78	1	2	male_low/male_low_078_regress.hdf5
1605.9191	10	female_high	8	16059191	119	1	2	female_high/female_high_119_regress.hdf5
1615.9887	10	male_high	5	16159887	87	1	2	male_high/male_high_087_regress.hdf5
1626.0583	10	male_mid	4	16260583	47	1	2	male_mid/male_mid_047_regress.hdf5
1636.1492	10	male_low	3	16361492	23	1	2	male_low/male_low_023_regress.hdf5
1646.2188	10	male_high	5	16462188	18	1	2	male_high/male_high_018_regress.hdf5
1656.2884	10	female_mid	7	16562884	58	1	2	female_mid/female_mid_058_regress.hdf5
1666.358	10	female_high	8	16663580	69	1	2	female_high/female_high_069_regress.hdf5
1676.4276	10	female_low	6	16764276	8	1	2	female_low/female_low_008_regress.hdf5
1686.4972	10	female_mid	7	16864972	53	1	2	female_mid/female_mid_053_regress.hdf5
1696.5881	10	male_low	3	16965881	76	1	2	male_low/male_low_076_regress.hdf5
1706.6577	10	male_mid	4	17066577	51	1	2	male_mid/male_mid_051_regress.hdf5
1716.7273	10	female_high	8	17167273	19	1	2	female_high/female_high_019_regress.hdf5
1726.7969	10	male_high	5	17267969	43	1	2	male_high/male_high_043_regress.hdf5
1736.8665	10	female_low	6	17368665	104	1	2	female_low/female_low_104_regress.hdf5
1746.9361	10	female_low	6	17469361	51	1	2	female_low/female_low_051_regress.hdf5
1757.0056	10	male_low	3	17570056	103	1	2	male_low/male_low_103_regress.hdf5
1767.0752	10	male_high	5	17670752	75	1	2	male_high/male_high_075_regress.hdf5
1777.1448	10	female_high	8	17771448	54	1	2	female_high/female_high_054_regress.hdf5
1787.2144	10	female_mid	7	17872144	95	1	2	female_mid/female_mid_095_regress.hdf5
1797.284	10	male_mid	4	17972840	50	1	2	male_mid/male_mid_050_regress.hdf5
1807.3536	10	male_low	3	18073536	74	1	2	male_low/male_low_074_regress.hdf5
1817.4232	10	female_high	8	18174232	39	1	2	female_high/female_high_039_regress.hdf5
1827.4928	10	female_low	6	18274928	37	1	2	female_low/female_low_037_regress.hdf5
1837.5624	10	female_mid	7	18375624	37	1	2	female_mid/female_mid_037_regress.hdf5
1847.6319	10	male_mid	4	18476319	43	1	2	male_mid/male_mid_043_regress.hdf5
1857.7015	10	male_high	5	18577015	85	1	2	male_high/male_high_085_regress.hdf5
1867.7711	10	male_high	5	18677711	78	1	2	male_high/male_high_078_regress.hdf5
1877.8407	10	female_mid	7	18778407	38	1	2	female_mid/female_mid_038_regress.hdf5
1887.9103	10	male_mid	4	18879103	35	1	2	male_mid/male_mid_035_regress.hdf5
1898.0012	10	female_low	6	18980012	91	1	2	female_low/female_low_091_regress.hdf5
1908.0708	10	male_low	3	19080708	86	1	2	male_low/male_low_086_regress.hdf5
1918.1404	10	female_high	8	19181404	74	1	2	female_high/female_high_074_regress.hdf5
1928.2313	10	female_high	8	19282313	8	1	2	female_high/female_high_008_regress.hdf5
1938.3009	10	male_high	5	19383009	61	1	2	male_high/male_high_061_regress.hdf5
1948.3705	10	female_mid	7	19483705	20	1	2	female_mid/female_mid_020_regress.hdf5
1958.4401	10	female_low	6	19584401	81	1	2	female_low/female_low_081_regress.hdf5
1968.5097	10	male_low	3	19685097	42	1	2	male_low/male_low_042_regress.hdf5
1978.5793	10	male_mid	4	19785793	112	1	2	male_mid/male_mid_112_regress.hdf5
1988.6489	10	male_high	5	19886489	58	1	2	male_high/male_high_058_regress.hdf5
1998.7184	10	female_low	6	19987184	39	1	2	female_low/female_low_039_regress.hdf5
2008.788	10	male_low	3	20087880	19	1	2	male_low/male_low_019_regress.hdf5
2018.8576	10	female_high	8	20188576	95	1	2	female_high/female_high_095_regress.hdf5
2028.9272	10	male_mid	4	20289272	105	1	2	male_mid/male_mid_105_regress.hdf5
2038.9968	10	female_mid	7	20389968	113	1	2	female_mid/female_mid_113_regress.hdf5
2049.0664	10	female_mid	7	20490664	115	1	2	female_mid/female_mid_115_regress.hdf5
2059.136	10	female_low	6	20591360	59	1	2	female_low/female_low_059_regress.hdf5
2069.2269	10	male_mid	4	20692269	98	1	2	male_mid/male_mid_098_regress.hdf5
2079.2965	10	female_high	8	20792965	110	1	2	female_high/female_high_110_regress.hdf5
2089.3661	10	male_low	3	20893661	55	1	2	male_low/male_low_055_regress.hdf5
2099.4357	10	male_high	5	20994357	31	1	2	male_high/male_high_031_regress.hdf5
2109.5053	10	male_high	5	21095053	66	1	2	male_high/male_high_066_regress.hdf5
2119.5962	10	male_mid	4	21195962	88	1	2	male_mid/male_mid_088_regress.hdf5
2129.6658	10	male_low	3	21296658	12	1	2	male_low/male_low_012_regress.hdf5
2139.7354	10	female_low	6	21397354	77	1	2	female_low/female_low_077_regress.hdf5
2149.8049	10	female_high	8	21498049	111	1	2	female_high/female_high_111_regress.hdf5
2159.8745	10	female_mid	7	21598745	71	1	2	female_mid/female_mid_071_regress.hdf5
2169.9441	10	female_low	6	21699441	31	1	2	female_low/female_low_031_regress.hdf5
2180.0137	10	male_mid	4	21800137	30	1	2	male_mid/male_mid_030_regress.hdf5
2190.0833	10	female_high	8	21900833	75	1	2	female_high/female_high_075_regress.hdf5
2200.1529	10	male_low	3	22001529	71	1	2	male_low/male_low_071_regress.hdf5
2210.2225	10	female_mid	7	22102225	7	1	2	female_mid/female_mid_007_regress.hdf5
2220.2921	10	male_high	5	22202921	72	1	2	male_high/male_high_072_regress.hdf5
2230.3617	10	female_low	6	22303617	86	1	2	female_low/female_low_086_regress.hdf5
