onset	duration	identity	expression	caric_cond	button_pushed	stim_name
325.371	2.00999999999999	4	2	5	28	TARGET
327.933	1.89999999999998	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
330.369	1.90100000000001	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
332.813	1.904	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
335.245	1.892	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
337.666	2.00900000000001	4	2	5	28	TARGET
340.215	2.00999999999999	4	2	0	NaN	NULL
342.781	1.899	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
345.217	1.90199999999999	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
347.662	1.90300000000002	4	2	1	NaN	M002_disgust_anticars0001-0057_half.avi
350.101	1.89799999999997	4	2	4	NaN	M002_disgust_cars0001-0057_half.avi
352.52	2.00900000000001	4	2	0	NaN	NULL
355.079	1.89499999999998	4	2	3	NaN	M002_disgust_antimcars0001-0057_half.avi
357.499	2.01000000000005	4	2	5	28	TARGET
360.063	1.899	4	2	2	NaN	M002_disgust_antim_anticars0001-0057_half.avi
362.494	1.89499999999998	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
364.929	1.89999999999998	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
367.354	2.00900000000001	5	4	0	NaN	NULL
369.925	1.90500000000003	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
372.348	2.00899999999996	5	4	5	28	TARGET
374.91	1.89600000000002	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
377.344	1.89600000000002	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
379.788	1.90500000000003	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
382.221	1.89700000000005	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
384.645	2.00999999999999	5	4	5	28	TARGET
387.211	1.89999999999998	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
389.631	2.00900000000001	5	4	0	NaN	NULL
392.179	2.00999999999999	5	4	0	NaN	NULL
394.728	2.00999999999999	5	4	5	28	TARGET
397.29	1.89499999999998	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
399.723	1.89599999999996	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
402.156	1.89599999999996	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
404.593	1.899	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
407.033	1.90200000000004	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
409.467	1.89300000000003	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
411.905	1.899	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
414.326	2.00900000000001	5	4	0	NaN	NULL
416.891	1.90099999999995	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
419.319	2.00900000000001	5	4	5	28	TARGET
421.873	2.00999999999999	5	4	5	28	TARGET
424.44	1.89799999999991	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
426.862	2.00900000000001	5	4	0	NaN	NULL
429.423	1.8950000000001	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
431.862	1.90200000000004	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
434.305	1.89599999999996	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
436.743	1.89800000000002	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
439.181	1.90099999999995	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
441.626	1.89999999999998	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
444.05	2.00900000000001	5	4	5	28	TARGET
446.601	2.00900000000001	5	4	0	NaN	NULL
449.169	1.90200000000004	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
451.597	2.00900000000001	1	4	5	28	TARGET
454.164	1.89300000000003	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
456.588	2.00900000000001	1	4	0	NaN	NULL
459.155	1.899	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
461.591	1.89600000000007	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
464.029	1.90199999999993	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
466.47	1.899	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
468.918	1.90200000000004	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
471.344	2.00900000000001	1	4	5	28	TARGET
473.916	1.90100000000007	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
476.367	1.90099999999995	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
478.797	2.00900000000001	1	4	0	NaN	NULL
481.348	2.00900000000001	1	4	0	NaN	NULL
483.917	1.90200000000004	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
486.361	1.89700000000005	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
488.8	1.89999999999998	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
491.23	2.00900000000001	1	4	5	28	TARGET
493.799	1.89499999999998	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
496.24	1.89999999999998	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
498.672	2.00999999999999	1	4	5	28	TARGET
501.245	1.899	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
503.67	2.00900000000001	1	4	0	NaN	NULL
506.242	1.90199999999993	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
508.68	1.89400000000001	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
511.117	1.89499999999998	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
513.548	2.00900000000001	1	4	5	28	TARGET
516.107	2.00800000000004	1	4	0	NaN	NULL
518.676	1.899	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
521.118	1.90099999999995	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
523.562	1.89699999999993	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
526.007	1.89999999999998	1	4	2	NaN	F024_happy_antim_anticars0001-0057_half.avi
528.448	1.89600000000007	1	4	4	NaN	F024_happy_cars0001-0057_half.avi
530.889	1.899	1	4	1	NaN	F024_happy_anticars0001-0057_half.avi
533.334	1.89599999999996	1	4	3	NaN	F024_happy_antimcars0001-0057_half.avi
535.762	2.00900000000001	1	4	0	NaN	NULL
538.315	2.00900000000001	1	4	5	28	TARGET
