onset	duration	sample	type	value
697.225	n/a	836671	UPPT001	128
697.225	0	836671	rest	n/a
697.243333333333	0	836693	LIGHT	n/a
698.794166666667	n/a	838554	frontpanel trigger	32
698.794166666667	n/a	838554	UPPT001	32
698.794166666667	0	838554	ratemood	n/a
698.810833333333	0	838574	LIGHT	n/a
700	10	840001	trial	n/a
701.793333333333	n/a	842153	frontpanel trigger	64
701.793333333333	n/a	842153	UPPT001	64
701.793333333333	0	842153	slider	n/a
701.811666666667	0	842175	LIGHT	n/a
709.325833333333	n/a	851192	frontpanel trigger	1
709.325833333333	n/a	851192	UPPT001	1
709.325833333333	0	851192	Answer	n/a
709.348333333333	0	851219	LIGHT	n/a
710	10	852001	trial	n/a
711.178333333333	n/a	853415	frontpanel trigger	4
711.178333333333	n/a	853415	UPPT001	4
711.178333333333	0	853415	gamble	n/a
711.199166666667	0	853440	LIGHT	n/a
715.176666666667	n/a	858213	frontpanel trigger	8
715.176666666667	n/a	858213	UPPT001	8
715.176666666667	0	858213	win	n/a
715.200833333333	0	858242	LIGHT	n/a
717.166666666667	n/a	860601	frontpanel trigger	32
717.166666666667	n/a	860601	UPPT001	32
717.166666666667	0	860601	ratemood	n/a
717.185	0	860623	LIGHT	n/a
720	10	864001	trial	n/a
720.166666666667	n/a	864201	frontpanel trigger	64
720.166666666667	n/a	864201	UPPT001	64
720.166666666667	0	864201	slider	n/a
720.185833333333	0	864224	LIGHT	n/a
726.690833333333	n/a	872030	frontpanel trigger	1
726.690833333333	n/a	872030	UPPT001	1
726.690833333333	0	872030	Answer	n/a
726.705	0	872047	LIGHT	n/a
728.784166666667	n/a	874542	frontpanel trigger	2
728.784166666667	n/a	874542	UPPT001	2
728.784166666667	0	874542	certain	n/a
728.805833333333	0	874568	LIGHT	n/a
730	10	876001	trial	n/a
732.8075	0	879370	LIGHT	n/a
735.794166666667	n/a	882954	frontpanel trigger	1
735.794166666667	n/a	882954	UPPT001	1
735.794166666667	0	882954	Answer	n/a
735.809166666667	0	882972	LIGHT	n/a
738.621666666667	n/a	886347	frontpanel trigger	2
738.621666666667	n/a	886347	UPPT001	2
738.621666666667	0	886347	certain	n/a
738.643333333333	0	886373	LIGHT	n/a
740	10	888001	trial	n/a
742.645	0	891175	LIGHT	n/a
745.630833333333	n/a	894758	frontpanel trigger	1
745.630833333333	n/a	894758	UPPT001	1
745.630833333333	0	894758	Answer	n/a
745.645833333333	0	894776	LIGHT	n/a
747.058333333333	n/a	896471	frontpanel trigger	4
747.058333333333	n/a	896471	UPPT001	4
747.058333333333	0	896471	gamble	n/a
747.08	0	896497	LIGHT	n/a
750	10	900001	trial	n/a
751.058333333333	n/a	901271	frontpanel trigger	16
751.058333333333	n/a	901271	UPPT001	16
751.058333333333	0	901271	lose	n/a
751.081666666667	0	901299	LIGHT	n/a
753.0475	n/a	903658	frontpanel trigger	32
753.0475	n/a	903658	UPPT001	32
753.0475	0	903658	ratemood	n/a
753.065833333333	0	903680	LIGHT	n/a
756.0475	n/a	907258	frontpanel trigger	64
756.0475	n/a	907258	UPPT001	64
756.0475	0	907258	slider	n/a
756.066666666667	0	907281	LIGHT	n/a
756.383333333333	0	907661	LIGHT	n/a
760	10	912001	trial	n/a
762.57	n/a	915085	frontpanel trigger	1
762.57	n/a	915085	UPPT001	1
762.57	0	915085	Answer	n/a
762.585833333333	0	915104	LIGHT	n/a
763.730833333333	n/a	916478	frontpanel trigger	4
763.730833333333	n/a	916478	UPPT001	4
763.730833333333	0	916478	gamble	n/a
763.753333333333	0	916505	LIGHT	n/a
767.731666666667	n/a	921279	frontpanel trigger	8
767.731666666667	n/a	921279	UPPT001	8
767.731666666667	0	921279	win	n/a
767.755	0	921307	LIGHT	n/a
770	10	924001	trial	n/a
770.740833333333	n/a	924890	frontpanel trigger	1
770.740833333333	n/a	924890	UPPT001	1
770.740833333333	0	924890	Answer	n/a
770.755833333333	0	924908	LIGHT	n/a
772.618333333333	n/a	927143	frontpanel trigger	4
772.618333333333	n/a	927143	UPPT001	4
772.618333333333	0	927143	gamble	n/a
772.64	0	927169	LIGHT	n/a
776.618333333333	n/a	931943	frontpanel trigger	16
776.618333333333	n/a	931943	UPPT001	16
776.618333333333	0	931943	lose	n/a
776.641666666667	0	931971	LIGHT	n/a
778.6075	n/a	934330	frontpanel trigger	32
778.6075	n/a	934330	UPPT001	32
778.6075	0	934330	ratemood	n/a
778.625833333333	0	934352	LIGHT	n/a
780	10	936001	trial	n/a
781.6075	n/a	937930	frontpanel trigger	64
781.6075	n/a	937930	UPPT001	64
781.6075	0	937930	slider	n/a
781.626666666667	0	937953	LIGHT	n/a
788.148333333333	n/a	945779	frontpanel trigger	1
788.148333333333	n/a	945779	UPPT001	1
788.148333333333	0	945779	Answer	n/a
788.1625	0	945796	LIGHT	n/a
790	10	948001	trial	n/a
791.0925	n/a	949312	frontpanel trigger	2
791.0925	n/a	949312	UPPT001	2
791.0925	0	949312	certain	n/a
791.114166666667	0	949338	LIGHT	n/a
795.115	0	954139	LIGHT	n/a
798.101666666667	n/a	957723	frontpanel trigger	1
798.101666666667	n/a	957723	UPPT001	1
798.101666666667	0	957723	Answer	n/a
798.116666666667	0	957741	LIGHT	n/a
800	10	960001	trial	n/a
800.979166666667	n/a	961176	frontpanel trigger	4
800.979166666667	n/a	961176	UPPT001	4
800.979166666667	0	961176	gamble	n/a
801.000833333333	0	961202	LIGHT	n/a
804.979166666667	n/a	965976	frontpanel trigger	8
804.979166666667	n/a	965976	UPPT001	8
804.979166666667	0	965976	win	n/a
805.0025	0	966004	LIGHT	n/a
806.968333333333	n/a	968363	frontpanel trigger	32
806.968333333333	n/a	968363	UPPT001	32
806.968333333333	0	968363	ratemood	n/a
806.986666666667	0	968385	LIGHT	n/a
809.968333333333	n/a	971963	frontpanel trigger	64
809.968333333333	n/a	971963	UPPT001	64
809.968333333333	0	971963	slider	n/a
809.9875	0	971986	LIGHT	n/a
810	0	972001	slider	n/a
810	10	972001	trial	n/a
810.1875	0	972226	LIGHT	n/a
816.491666666667	n/a	979791	frontpanel trigger	1
816.491666666667	n/a	979791	UPPT001	1
816.491666666667	0	979791	Answer	n/a
816.5075	0	979810	LIGHT	n/a
817.351666666667	n/a	980823	frontpanel trigger	4
