onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
332.42	4.91	O+P+	1	0.528	dull	since	prince	2.0
337.33	4.91	O-P-	1	0.708	bleak	mice	dusk	n/a
342.24	4.91	O-P-	1	0.756	math	verb	spire	n/a
347.15	4.91	O+P+	1	0.732	knob	swan	blob	1.0
352.06	4.91	O-P-	1	0.85	pound	path	drop	n/a
356.97	4.91	O-P+	1	0.614	streak	sigh	meek	1.0
361.88	4.91	O-P+	1	0.744	wasp	rinse	mince	2.0
366.79	4.91	O-P+	1	0.524	want	caught	thought	2.0
375.7	4.91	control	1	0.385	/ \	\ /	\ /	2.0
380.61	4.91	control	1	0.486	\ \	\ /	/ \	n/a
385.52	4.91	control	1	0.377	\ /	/ /	/ /	2.0
390.43	4.91	control	1	0.471	\ \	/ /	\ /	n/a
395.34	4.91	control	1	0.503	/ \	\ /	/ \	1.0
400.25	4.91	control	1	0.375	\ \	/ \	/ \	2.0
405.16	4.91	control	1	0.548	\ /	/ /	\ /	1.0
410.07	4.91	control	1	0.555	\ \	/ \	\ \	1.0
414.98	4.91	control	1	0.537	/ \	/ /	\ /	n/a
419.89	4.91	control	0	0.721	/ /	\ \	\ /	n/a
428.8	4.91	O-P-	1	0.599	thrush	hauled	torch	n/a
433.71	4.91	O+P+	1	0.604	drowned	coyote	frowned	1.0
438.62	4.91	O+P+	1	0.743	stance	scorn	sworn	2.0
443.53	4.91	O-P+	1	0.639	dealt	close	felt	1.0
448.44	4.91	O-P-	1	0.594	glow	saint	string	n/a
453.35	4.91	O-P-	1	0.605	reared	slang	flex	n/a
458.26	4.91	O-P+	1	0.688	bowl	view	whole	1.0
463.17	4.91	O+P+	1	0.554	straw	wage	rage	2.0
468.08	4.91	O-P-	1	0.536	stark	hoot	bounce	n/a
472.99	4.91	O-P+	1	0.527	budge	lurk	jerk	2.0
481.9	4.91	control	1	0.549	/ /	/ \	/ /	1.0
486.81	4.91	control	1	0.536	\ \	\ /	\ \	1.0
491.72	4.91	control	1	0.402	\ \	/ \	/ \	2.0
496.63	4.91	control	1	0.528	/ /	\ /	\ \	n/a
501.54	4.91	control	1	0.359	/ \	/ /	/ /	2.0
506.45	4.91	control	1	0.47	\ \	/ \	\ /	n/a
511.36	4.91	control	1	0.524	\ /	/ /	\ \	n/a
516.27	4.91	control	1	0.536	/ \	\ \	/ \	1.0
521.18	4.91	control	1	0.381	\ /	\ \	\ \	2.0
526.09	4.91	control	1	0.502	/ \	\ \	/ /	n/a
