onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
375.7	4.91	control	1	0.489	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.506	\ \	/ \	\ \	1.0
385.52	4.91	control	1	0.399	/ \	\ /	\ /	2.0
390.43	4.91	control	1	0.562	\ /	/ /	\ /	1.0
395.34	4.91	control	1	0.383	\ /	/ /	/ /	2.0
400.25	4.91	control	1	0.509	/ \	/ /	\ /	n/a
405.16	4.91	control	1	0.472	\ \	/ /	\ /	n/a
410.07	4.91	control	1	0.412	\ \	/ \	/ \	2.0
414.98	4.91	control	1	0.482	/ \	\ /	/ \	1.0
419.89	4.91	control	1	0.521	/ /	\ \	\ /	n/a
428.8	4.91	Grammatical	1	0.555	pig	is	snorting	n/a
433.71	4.91	Grammatical	1	0.514	builders	are	strong	n/a
438.62	4.91	Ungrammatical	1	0.577	experts	are	test	n/a
443.53	4.91	Grammatical	1	0.47	riders	are	exercising	n/a
448.44	4.91	Grammatical	1	0.551	coach	can	win	n/a
453.35	4.91	Grammatical	1	0.508	gardeners	are	digging	n/a
458.26	4.91	Ungrammatical	1	0.585	uncle	had	learning	n/a
463.17	4.91	Grammatical	1	0.538	strangers	were	chosen	n/a
468.08	4.91	Ungrammatical	1	0.312	turtles	was	hide	n/a
472.99	4.91	Ungrammatical	0	0.601	boxer	has	punching	n/a
481.9	4.91	control	1	0.581	/ /	/ \	/ /	1.0
486.81	4.91	control	1	0.508	\ \	/ \	\ /	n/a
491.72	4.91	control	1	0.507	\ \	\ /	\ \	1.0
496.63	4.91	control	1	0.441	\ /	\ \	\ \	2.0
501.54	4.91	control	1	0.568	/ \	\ \	/ \	1.0
506.45	4.91	control	1	0.441	/ \	/ /	/ /	2.0
511.36	4.91	control	1	0.661	/ /	\ /	\ \	n/a
516.27	4.91	control	1	0.552	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.374	\ \	/ \	/ \	2.0
526.09	4.91	control	1	0.458	/ \	\ \	/ /	n/a
