onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
221.31	4.91	O-P+	1	0.65	skim	blur	gym	n/a
226.22	4.91	O+P+	1	0.854	sawed	puke	flawed	1.0
231.13	4.91	O-P-	1	0.567	slash	zoos	snag	n/a
236.04	4.91	O-P-	1	0.567	groove	dwarf	lint	n/a
240.95	4.91	O+P+	1	0.568	stamp	glaze	blaze	2.0
245.86	4.91	O-P-	1	0.593	trust	blame	wind	n/a
250.77	4.91	O+P+	1	0.627	harm	lift	swift	2.0
255.68	4.91	O-P+	1	0.636	planned	sludge	bland	n/a
260.59	4.91	O-P-	1	0.656	racks	skit	tripe	n/a
269.5	4.91	control	1	0.37	/ \	\ \	\ \	2.0
274.41	4.91	control	1	0.573	/ /	\ /	/ \	n/a
279.32	4.91	control	1	0.574	/ /	/ \	\ \	n/a
284.23	4.91	control	1	0.383	\ \	/ /	\ \	1.0
289.14	4.91	control	1	0.567	\ /	/ \	/ /	n/a
294.05	4.91	control	1	0.439	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.629	/ /	\ /	/ /	1.0
303.87	4.91	control	1	0.585	\ \	/ \	/ /	n/a
308.78	4.91	control	1	0.529	\ \	/ /	/ /	2.0
313.69	4.91	control	1	0.697	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	0.516	climb	spit	scar	n/a
327.51	4.91	O-P-	1	0.562	boost	woke	dutch	n/a
332.42	4.91	O+P+	1	0.657	gland	price	stand	1.0
337.33	4.91	O-P-	1	0.557	burnt	quack	barge	n/a
342.24	4.91	O+P+	1	0.66	dunk	spoof	flunk	1.0
347.15	4.91	O-P+	1	0.593	your	they	more	n/a
352.06	4.91	O-P+	1	0.644	gulp	groom	womb	n/a
356.97	4.91	O+P+	1	0.48	shell	blade	shade	2.0
361.88	4.91	O-P+	1	0.566	flick	fraud	thawed	n/a
366.79	4.91	O-P-	1	0.618	lies	gable	mall	n/a
375.7	4.91	control	1	0.469	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.521	/ /	\ \	\ /	n/a
385.52	4.91	control	1	0.518	/ \	\ /	\ /	2.0
390.43	4.91	control	1	0.385	\ \	/ \	/ \	2.0
395.34	4.91	control	1	0.507	\ \	/ /	\ /	n/a
400.25	4.91	control	1	0.455	/ \	\ /	/ \	1.0
405.16	4.91	control	1	0.568	\ \	/ \	\ \	1.0
410.07	4.91	control	1	0.392	\ /	/ /	/ /	2.0
414.98	4.91	control	1	0.593	/ \	/ /	\ /	n/a
419.89	4.91	control	1	0.494	\ /	/ /	\ /	1.0
428.8	4.91	O-P+	1	0.567	strewn	deem	swoon	n/a
433.71	4.91	O-P-	1	0.663	shore	maybe	heart	n/a
438.62	4.91	O+P+	1	0.58	pray	bloom	gloom	2.0
443.53	4.91	O-P+	1	0.53	plea	hatch	spree	n/a
448.44	4.91	O+P+	1	0.684	plump	twitch	stitch	2.0
453.35	4.91	O-P-	1	0.584	snows	pouch	clam	n/a
458.26	4.91	O-P-	1	0.708	knock	burn	grab	n/a
463.17	4.91	O+P+	1	0.812	snail	mask	frail	1.0
468.08	4.91	O-P+	1	0.656	male	mean	queen	n/a
472.99	4.91	O-P-	1	0.581	coach	tooth	rank	n/a
481.9	4.91	control	1	0.493	/ /	\ /	\ \	n/a
486.81	4.91	control	1	0.344	\ /	\ \	\ \	2.0
491.72	4.91	control	1	0.504	/ \	\ \	/ /	n/a
496.63	4.91	control	1	0.535	\ \	\ /	\ \	1.0
501.54	4.91	control	1	0.391	/ \	/ /	/ /	2.0
506.45	4.91	control	1	0.487	\ \	/ \	\ /	n/a
511.36	4.91	control	1	0.513	/ /	/ \	/ /	1.0
516.27	4.91	control	1	0.522	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.439	\ \	/ \	/ \	2.0
526.09	4.91	control	0	0.582	/ \	\ \	/ \	1.0
