onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
437.06	4.93	O-P-	1	0.585	jungle	drift	mess	n/a
441.99	4.93	O+P+	1	0.644	pulse	gloss	moss	2.0
446.92	4.93	O-P+	1	0.81	chart	farm	heart	1.0
451.85	4.93	O-P-	1	0.745	crib	spine	zest	n/a
456.78	4.93	O-P+	1	0.654	perch	wilt	birch	1.0
461.71	4.93	O-P-	1	0.701	stews	toot	hark	n/a
466.64	4.93	O+P+	1	0.55	test	choice	rest	1.0
471.57	4.93	O-P-	1	0.729	teach	fund	edge	n/a
480.5	4.85	control	1	0.632	700	500	700	1.0
485.35	4.85	control	1	0.725	300	500	300	1.0
490.2	4.85	control	1	0.692	300	700	700	2.0
495.05	4.85	control	1	0.596	300	500	700	n/a
499.9	4.85	control	1	0.569	500	700	700	2.0
504.75	4.85	control	1	0.595	700	300	500	n/a
509.6	4.85	control	1	1.236	500	300	700	n/a
514.45	4.85	control	1	0.645	700	300	700	1.0
519.3	4.85	control	1	0.75	500	300	300	2.0
524.15	4.85	control	1	0.703	500	700	300	n/a
