onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
408.65	4.85	control	1	0.694	500	300	500	1.0
413.5	4.85	control	1	0.737	700	300	300	2.0
418.35	4.85	control	1	0.72	700	300	500	n/a
427.2	4.93	Unrelated	1	0.935	sunset	creek	arrow	n/a
432.13	4.93	Related	1	0.756	cactus	veal	prickly	1.0
437.06	4.93	Related	1	1.028	spoon	canoe	fork	1.0
441.99	4.93	Unrelated	1	0.824	tackle	bacon	wipe	n/a
446.92	4.93	Related	1	0.744	founder	dig	shovel	2.0
451.85	4.93	Related	1	0.54	aim	supper	dinner	2.0
456.78	4.93	Related	1	0.636	gloom	purse	wallet	2.0
461.71	4.93	Unrelated	1	0.914	chest	handle	depth	n/a
466.64	4.93	Related	1	0.725	summer	trial	winter	1.0
471.57	4.93	Unrelated	1	0.907	joke	wealth	chart	n/a
480.5	4.85	control	1	0.555	500	700	700	2.0
485.35	4.85	control	1	0.7	700	300	500	n/a
490.2	4.85	control	1	0.57	300	700	700	2.0
495.05	4.85	control	1	0.873	700	500	700	1.0
499.9	4.85	control	1	0.576	500	300	300	2.0
504.75	4.85	control	1	0.791	500	300	700	n/a
509.6	4.85	control	1	0.75	500	700	300	n/a
514.45	4.85	control	1	0.901	700	300	700	1.0
519.3	4.85	control	1	0.605	300	500	300	1.0
524.15	4.85	control	1	0.655	300	500	700	n/a
