name	subjs	links	readme	events	title	tasks	modalities	contact	notes
ds003020	9		yes	no		AudioMotorLocalizer,AuditoryLocalizer,CategoryLocalizer1,CategoryLocalizer2,CategoryLocalizer3,MotorLocalizer,adollshouse,adventuresinsayingyes,afatherscover,againstthewind,alternateithicatom,avatar,backsideofthestorm,becomingindian,beneaththemushroomcloud,birthofanation,bluehope,breakingupintheageofgoogle,buck,catfishingstrangerstofindmyself,cautioneating,christmas1940,cocoonoflove,comingofageondeathrow,exorcism,eyespy,firetestforlove,food,forgettingfear,fromboyhoodtofatherhood,gangstersandcookies,goingthelibertyway,goldiethegoldfish,golfclubbing,gpsformylostidentity,hangtime,haveyoumethimyet,howtodraw,ifthishaircouldtalk,inamoment,itsabox,jugglingandjesus,kiksuya,leavingbaghdad,legacy,life,lifeanddeathontheoregontrail,lifereimagined,listo,mayorofthefreaks,metsmagic,mybackseatviewofagreatromance,myfathershands,myfirstdaywiththeyankees,naked,notontheusualtour,odetostepfather,onlyonewaytofindout,penpal,quietfire,reachingoutbetweenthebars,shoppinginchina,singlewomanseekingmanwich,sloth,souls,stagefright,stumblinginthedark,superheroesjustforeachother,sweetaspie,swimmingwithastronauts,thatthingonmyarm,theadvancedbeginner,theclosetthatateeverything,thecurse,thefreedomridersandme,theinterview,thepostmanalwayscalls,theshower,thetiniestbouquet,thetriangleshirtwaistconnection,threemonths,thumbsup,tildeath,treasureisland,undertheinfluence,vixenandtheussr,waitingtogo,whenmothersbullyback,wheretheressmoke,wildwomenanddancingqueens			
ds005455	77		yes	no		CognitiveControl,LanguageControl			
ds006269	24		yes	no					
ds006260	76		yes	yes		SmartickDataset			
ds006128	3		yes	no		pRF			
ds006142	27		yes	no					
ds006267	24		yes	no					
ds006039	31		yes	no					
ds005407	25		yes	yes		peakysnr			
ds004837	60		yes	no					
ds005841	48		yes	yes					
ds006018	127		yes	no					
ds006131	12		yes	yes		bao,rat,rest			
ds005555	128		yes	no					
ds005431	42		yes	no					
ds006159	61		yes	no					
ds005540	60		yes	no					
ds006234	119		yes	no					
ds006233	108		yes	no					
ds006187	0		no	no					
ds001787	24		yes	yes		meditation			
ds006248	50		yes	no					
ds004148	60		yes	no					
ds006169	80		yes	no					
ds006138	1		yes	no					
ds005520	23		yes	no					
ds005226	65		yes	yes		image			
ds006185	24		no	no					
ds006218	138		yes	no					
ds006192	24		no	no					
ds006190	12		no	no					
ds006184	11		no	no					
ds006188	22		no	no					
ds006189	24		no	no					
ds006143	66		no	no		bao,rat,rest			
ds006182	11		no	no					
ds006191	12		no	no					
ds006224	27		yes	no					
ds006036	88		yes	yes		photomark			
ds004173	148		yes	no					
ds006156	64		no	no					
ds005261	17		yes	no					
ds004158	20		yes	yes		rest			
ds003626	10		yes	no					
ds006033	3		yes	no					
ds006095	71		yes	yes		flat			
ds006211	25		yes	no					
ds006209	3		no	no					
ds005947	48		yes	no					
ds006207	1		no	no					
ds005385	608		yes	no					
ds006104	24		yes	no					
ds004141	20		yes	no		auditoryfeedback,faceexplocalizer,nofeedback,visualfeedback			
ds005811	19		yes	no					
ds005810	31		yes	no					
ds006193	1		no	no		bao,rat			
ds004572	52		yes	no					
ds005616	59		yes	no					
ds004539	10		yes	no					
ds004889	990		yes	no					
ds006181	1		yes	no					
ds004902	71		yes	no					
ds006179	40		yes	no		ebavwfa,effloc,eploc,foss,lang,speech,spwm			
ds006171	36		no	no					
ds006145	12		no	no					
ds005574	9		yes	no					
ds003653	87		yes	no					
ds002687	24		yes	yes		SLD,SLI,SSD,SSI,VLD,VLI,VSD,VSI			
ds000030	272		yes	no		bart,bht,pamenc,pamret,rest,scap,stopsignal,taskswitch			
ds004466	127		yes	no		rest			
ds005545	106		yes	no					
ds005978	1		yes	no					
ds005345	26		yes	no					
ds005413	45		yes	yes		expectpercept,visuallocalizer			
ds006126	5		yes	no					
ds006123	1		yes	no					
ds005460	160		yes	yes		cet,stories			
ds005028	11		yes	no					
ds005648	1		yes	no					
ds005481	60		yes	no					
ds005747	90		yes	no					
ds001378	25		yes	no					
ds005450	51		yes	no					
ds005737	1		no	no					
ds003927	7		yes	no					
ds003900	1		yes	no					
ds003892	34		yes	no					
ds003877	79		yes	no					
ds003358	35		yes	no					
ds005047	5		yes	yes		face			
ds005980	24		no	no					
ds005087	20		yes	yes		rsvp			
ds004996	50		yes	yes		conversation			
ds004873	75		yes	no					
ds004851	66		yes	yes		HID			
ds005048	35		yes	yes		40HzAuditoryEntrainment			
ds005360	22		yes	no					
ds004635	48		yes	yes		resting			
ds004630	49		yes	yes					
ds004261	57		yes	no		memoryTest,originalEvent,postEvent			
ds004192	3		yes	yes		things			
ds005341	49		yes	no					
ds004091	8		yes	yes		AttendFixGazeCenter,AttendFixGazeCenterFS,AttendFixGazeLeft,AttendFixGazeRight,AttendStimGazeCenter,AttendStimGazeCenterFS,AttendStimGazeLeft,AttendStimGazeRight			
ds005899	0		yes	no		csst			
ds004495	40		yes	no					
ds003612	51		yes	no		execution,imagery			
ds006107	166		no	no					
ds003846	19		yes	yes		PredictionError			
ds003484	20		yes	no					
ds003508	57		yes	no					
ds006105	75		yes	no					
ds003404	20		yes	no					
ds003052	25		yes	no					
ds003039	19		yes	no					
ds002425	5		yes	no					
ds002385	149		yes	no					
ds002345	345		yes	no					
ds005894	25		no	no		Encode,Item,Loci,Retrieve,test			
ds002232	6		yes	no					
ds001907	46		yes	no		ANT,rest			
ds005381	50		yes	yes		DET			
ds005623	68		yes	no					
ds005059	72		yes	no					
ds004789	280		yes	no					
ds004787	5		yes	no					
ds004044	62		yes	no		motor			
ds004230	16		yes	no					
ds004024	13		yes	no					
ds004011	22		yes	no					
ds003947	61		yes	no					
ds003944	82		yes	no					
ds003367	0		no	no					
ds005920	31		yes	no					
ds000114	10		no	no		covertverbgeneration,fingerfootlips,linebisection,overtverbgeneration,overtwordrepetition			
ds000258	89		yes	no		rest			
ds000208	76		yes	no		rest			
ds000109	36		no	no		theoryofmindwithmanualresponse			
ds006092	60		yes	no					
ds004698	12		yes	no					
ds004514	12		yes	no					
ds004517	7		yes	no					
ds005892	55		yes	no					
ds005857	33		yes	no					
ds006065	7		yes	no					
ds004194	14		yes	yes		prf,sixcatlocdiffisi,sixcatlocisidiff,sixcatloctemporal,soc,spatialpattern,temporalpattern			
ds005166	103		yes	yes		AXCPT,SST,flanker			
ds003642	3		yes	no					
ds006071	1		yes	no					
ds006040	28		yes	no					
ds005896	262		yes	no					
ds005901	120		yes	no					
ds006035	5		yes	no					
ds005256	117		yes	yes		alignvideo,faces,fractional,narratives,shortvideo,social			
ds005875	43		yes	no					
ds004392	58		yes	no					
ds004663	34		yes	no		commpost,commpre,tv			
ds001105	28		no	no		mentalstates			
ds003643	112		yes	no					
ds005873	125		yes	yes					
ds005917	58		yes	no		rest			
ds003645	19		yes	yes		FacePerception,FaceRecognition			
ds005664	9		yes	no					
ds006012	21		yes	no					
ds006010	42		yes	no					
ds005863	127		yes	no					
ds004507	10		yes	no					
ds006005	12		yes	yes		0p05,0p10,0p20			
ds005960	41		yes	no					
ds006001	7		yes	no					
ds005516	430		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,surroundSupp,symbolSearch			
ds005515	533		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,surroundSupp,symbolSearch			
ds005511	381		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005514	295		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005512	257		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005510	135		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005509	330		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005508	324		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005507	184		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005506	150		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds004869	27		yes	no					
ds005590	7		yes	no					
ds005619	7		yes	no					
ds004712	20		yes	no					
ds004458	2		yes	no		tapping			
ds005505	136		yes	yes		DespicableMe,DiaryOfAWimpyKid,FunwithFractals,RestingState,ThePresent,contrastChangeDetection,seqLearning6target,seqLearning8target,surroundSupp,symbolSearch			
ds005931	8		yes	no					
ds002312	19		no	no					
ds005964	17		yes	no					
ds005963	10		yes	no					
ds005356	85		yes	no					
ds004265	5		yes	no					
ds005498	152		no	no		stim			
ds005106	42		yes	yes		fix			
ds004840	9		yes	no					
ds005178	10		yes	yes		sleep			
ds005953	2		yes	no					
ds005017	39		yes	no					
ds005486	159		no	no					
ds005343	43		yes	yes		resting			
ds005946	39		yes	no					
ds003676	22		yes	no					
ds004784	1		yes	yes		phantom			
ds005366	156		yes	no					
ds005429	15		yes	no					
ds005003	42		yes	no					
ds005752	251		yes	no					
ds002336	10		yes	no		MIpost,MIpre,eegNF,eegfmriNF,fmriNF,motorloc			
ds004892	30		no	no					
ds005935	21		no	no					
ds004774	14		no	no					
ds004718	52		yes	no					
ds005237	241		yes	no					
ds005927	2		yes	no					
ds005926	1		no	no					
ds005521	2		yes	yes		meridianmapper			
ds005880	20		yes	no					
ds005907	53		yes	yes		ThreeArmedBandit			
ds000001	16		yes	no		balloonanalogrisktask			
ds004350	24		yes	yes					
ds005405	101		yes	no					
ds005874	59		yes	no					
ds005903	6		no	no					
ds005203	20		no	no					
ds005754	220		yes	yes		StopSignal,antisaccade,axcpt,flanker,rest			
ds005895	25		yes	no					
ds005851	138		no	no					
ds005882	23		yes	no					
ds005717	3		yes	no		bao,float,laluna,lifted,partlycloudy,piper,presto,sintel,theblueumbrella,toystory2,up,walle,wind			
ds005891	21		yes	no		releasesuppression			
ds005185	20		yes	yes		ASSR,comfort,electrodeTestLab,sleep			
ds005143	397		yes	no		rest			
ds005839	25		yes	no		rest			
ds005849	14		yes	no					
ds000113	37		yes	no		auditoryperception,coverage,movie,movielocalizer,objectcategories,orientation,retmapccw,retmapclw,retmapcon,retmapexp			
ds005876	29		yes	yes		songfamiliarity			
ds005262	12		yes	no					
ds005868	48		yes	yes		flankersFAR			
ds005866	60		yes	yes		FlankerNEAR			
ds004348	9		yes	no					
ds005850	68		yes	no					
ds002837	86		yes	no		12yearsaslave,500daysofsummer,backtothefuture,citizenfour,littlemisssunshine,pulpfiction,split,theprestige,theshawshankredemption,theusualsuspects			
ds005733	33		yes	no					
ds004868	10		yes	no					
ds005787	19		yes	no					
ds004798	15		yes	no					
ds000117	17		yes	yes		facerecognition			
ds005577	70		yes	yes		read,rhyme,wgen			
ds005783	16		yes	no		EXP,LOC			
ds005779	19		yes	no					
ds005731	114		no	no					
ds005416	23		yes	no					
ds005713	217		yes	no					
ds005304	35		yes	no					
ds005170	5		yes	no					
ds005250	8		yes	yes		fracback,rest			
ds005699	4		yes	no					
ds005687	38		yes	no		rest			
ds005684	35		yes	no					
ds005697	51		yes	yes		PerceiveImagine			
ds005704	25		yes	no		pathvideo,recall,roomobjectvideo,roomvideo			
ds005234	75		yes	no					
ds005625	1		yes	no					
ds004332	22		yes	no					
ds005040	50		yes	no		clip,pm			
ds005692	30		yes	no					
ds005672	3		yes	yes		PerceiveImagine			
ds005688	20		yes	no					
ds005691	8		yes	no					
ds002848	5		yes	no					
ds004515	54		yes	no					
ds005397	26		yes	yes		tectonic			
ds004279	56		yes	no					
ds005670	2		yes	no					
ds004935	0		no	no					
ds004215	0		no	no					
ds005639	49		yes	no		bar1,bar2,bar3,wedgering1,wedgering2,wedgering3			
ds005468	24		yes	no					
ds002799	26		yes	no					
ds005340	15		yes	yes		peakypitch			
ds005635	18		yes	no					
ds005636	78		yes	no					
ds002778	31		yes	no		rest			
ds005630	51		yes	no					
ds004134	36		yes	no		ExpSamp			
ds000221	318		yes	no					
ds005128	40		yes	yes		deception			
ds005628	102		yes	yes		Edzna			
ds005594	16		yes	no					
ds005598	45		yes	no		RLbaseline,RLlearning,leftbaseline,lefttransfer,rest,rightbaseline,rightlearning			
ds005581	24		yes	no					
ds005571	29		no	yes		gnga,gngb,msit			
ds005624	24		yes	no					
ds005596	31		yes	no					
ds005620	21		yes	no					
ds005605	18		yes	no					
ds003974	52		yes	no		read,rest			
ds004457	5		yes	yes		ccep			
ds005531	6		yes	no					
ds005025	21		no	no					
ds005586	23		yes	yes		PassiveViewing			
ds005604	49		no	no		bar1,bar2,bar3,wedgering1,wedgering2,wedgering3			
ds004381	18		yes	no					
ds005603	8		no	no					
ds005090	7		no	no					
ds005600	59		yes	no		ThalHi			
ds005595	200		yes	no					
ds005415	13		yes	no					
ds005597	4		yes	no					
ds004395	364		yes	no					
ds005127	16		yes	no					
ds005165	10		yes	yes		localizer,test,train			
ds005588	40		yes	no					
ds005576	25		yes	no					
ds005472	58		yes	no					
ds005115	1		yes	no		rest			
ds005295	17		yes	no		catLoc,langLoc,vwfate			
ds005518	50		yes	yes		narrative			
ds005565	24		yes	yes		SemanticCategorization			
ds004884	230		yes	no		naming40,rest			
ds003848	6		yes	no					
ds001386	42		no	no					
ds005573	16		yes	no		rest			
ds004022	7		yes	no					
ds005559	42		yes	no					
ds005557	18		yes	no					
ds005558	9		yes	no					
ds005523	22		yes	no					
ds005386	52		yes	no					
ds005534	191		yes	no					
ds005494	20		yes	no					
ds005469	43		yes	no					
ds005529	186		yes	no					
ds005522	58		yes	no					
ds005464	29		yes	no					
ds005504	68		no	no					
ds004323	32		yes	no		gameplay			
ds005497	19		yes	no					
ds005496	6		yes	no					
ds004771	61		yes	yes		PY			
ds005489	38		yes	no					
ds005449	122		yes	no					
ds005492	35		no	no					
ds005491	19		yes	no					
ds003826	136		yes	no					
ds004469	66		yes	no					
ds004604	50		yes	no		gas			
ds004998	20		yes	no					
ds005186	16		yes	no					
ds005467	24		yes	no					
ds004661	17		yes	yes		nback			
ds004645	15		yes	no		breathhold,checker,rest			
ds005443	0		no	no					
ds005454	5		yes	yes		mixed,rest			
ds005126	35		yes	no					
ds005420	37		yes	no					
ds004616	26		yes	no					
ds004569	58		yes	no					
ds005238	11		yes	no					
ds005410	81		yes	yes		conditioning			
ds005427	20		yes	yes		ksdp			
ds005422	1		yes	no					
ds005418	35		yes	no		gas			
ds005264	21		yes	no					
ds005307	7		yes	no					
ds004388	40		yes	no					
ds004389	26		yes	no					
ds005412	1		yes	no					
ds005398	185		yes	no					
ds005411	48		yes	no					
ds004470	32		yes	no					
ds005012	60		yes	yes		mid			
ds005027	81		yes	yes		reward			
ds005236	59		yes	no					
ds004100	57		yes	no					
ds005406	29		yes	no					
ds005123	114		yes	no		doors,sharedreward,socialdoors,trust,ugr			
ds004054	42		yes	no					
ds004627	130		yes	no		rest			
ds005403	32		yes	no					
ds005075	31		yes	no					
ds005402	34		yes	no		rest			
ds005258	2		no	no					
ds003775	111		yes	no					
ds005383	30		yes	no					
ds005131	58		yes	no					
ds005374	43		yes	no		1,loc			
ds005363	43		yes	no					
ds002761	25		yes	yes		loc,mem			
ds005375	58		yes	no					
ds005365	1		yes	no		rest			
ds005364	100		no	yes		rl			
ds004305	32		yes	no					
ds004957	18		yes	no		naming			
ds004848	73		yes	no					
ds004306	12		yes	no					
ds004640	3		yes	no					
ds005357	45		no	no					
ds005355	12		yes	no					
ds005134	1		yes	no		rest			
ds005342	32		yes	yes		sitstand			
ds004693	29		yes	no		localizer,main			
ds005274	22		no	no					
ds005216	78		yes	no					
ds005305	165		yes	yes		restingstate			
ds005279	30		yes	no					
ds004980	17		no	yes		DefaultTask			
ds005239	4		yes	no					
ds005079	1		yes	yes		biofieldtherapy			
ds005299	1		yes	no					
ds005296	62		yes	yes		sentencesemanticandsyntacticviolations			
ds004587	103		yes	no					
ds004737	20		yes	no					
ds004489	15		yes	no					
ds005273	33		no	no					
ds005270	158		yes	yes					
ds005230	44		yes	no		RLbaseline,RLlearning,rest			
ds005267	21		yes	no					
ds005266	68		yes	no					
ds005265	78		yes	no					
ds005263	68		yes	no					
ds005189	30		yes	no					
ds003814	10		yes	yes		dyloc,famepisodic,famsemantic,famvisual,langloc,tomloc2			
ds003816	48		yes	no					
ds005241	24		yes	no					
ds004855	1		yes	yes		nback			
ds005016	147		no	no					
ds004346	1		yes	no					
ds004582	73		yes	no					
ds005233	13		yes	no					
ds004666	1		yes	no					
ds004928	10		yes	yes		tones			
ds005207	20		yes	yes		sleep			
ds005194	8		yes	no					
ds005056	25		yes	no					
ds005191	6		yes	no					
ds004362	109		yes	yes		motion			
ds004917	53		yes	yes		pdm			
ds005169	20		yes	no					
ds003745	98		yes	no		sharedreward,trust,ultimatum			
ds005138	5		yes	no					
ds004636	111		yes	yes		ANT,CCTHot,DPX,WATT3,discountFix,motorSelectiveStop,rest,stopSignal,stroop,surveyMedley,twoByTwo			
ds005148	16		no	no					
ds005077	14		yes	no					
ds005139	27		yes	no		djyg,djyy,lsbg,lsby,mlg,mly			
ds004977	4		yes	yes		ccep			
ds005093	11		yes	no					
ds005088	27		yes	no					
ds004865	49		yes	no					
ds004809	258		yes	no					
ds000246	2		yes	no					
ds000247	6		yes	no					
ds004611	73		yes	no					
ds003425	13		yes	no					
ds005114	91		yes	no					
ds002278	5		yes	yes		EIRT,PST,SORPF,arithmetic,localizerDetection,localizerEstimation,rest,strangerthings			
ds005118	1		yes	no		rest			
ds005121	34		yes	no					
ds005125	34		no	no		int,loc,pred			
ds004125	15		yes	no					
ds005095	48		yes	no					
ds000102	26		yes	no		flanker			
ds005089	36		no	no					
ds002718	18		yes	yes		FaceRecognition			
ds005009	15		yes	no		lefthand,rightfoot,righthand			
ds004797	10		no	no					
ds005073	31		yes	no					
ds004182	50		yes	no					
ds005085	10		yes	no		sharedreward			
ds005083	60		yes	no					
ds005065	21		yes	no					
ds005072	1		yes	no					
ds005069	1		yes	no					
ds004765	71		yes	no		rest			
ds005038	58		yes	no					
ds005034	25		yes	yes		thetatACSWorkingMemory			
ds005050	40		yes	no		videos			
ds004581	30		yes	no					
ds005026	82		no	no					
ds005021	36		yes	yes		tiltillusion			
ds005007	40		no	no					
ds004965	133		yes	no					
ds004605	132		yes	no					
ds004370	7		yes	no					
ds003838	86		yes	no					
ds004995	20		yes	no					
ds004872	44		no	no					
ds004993	3		yes	no					
ds004942	62		yes	yes		SpatialMemory			
ds004958	34		yes	no					
ds004962	28		yes	no					
ds004951	11		yes	no					
ds004956	15		yes	no		letters,localizer			
ds004959	10		yes	no					
ds004460	20		yes	yes		Rotation			
ds004894	49		yes	yes					
ds004945	1		yes	no					
ds004795	148		yes	no					
ds004946	103		no	no					
ds004625	32		yes	yes		UnevenTerrain			
ds004944	22		yes	no					
ds004943	5		yes	no		stimulation			
ds004147	12		yes	no					
ds004937	22		yes	no		cesd,demographics			
ds001420	2		yes	no					
ds003382	10		yes	no		fullchecker,halfchecker,rest			
ds003715	20		yes	no		viewing			
ds003766	31		yes	no					
ds003096	31		no	no		pinf			
ds003043	1		yes	no					
ds003851	44		yes	yes		train			
ds003871	62		yes	no					
ds003928	10		yes	no					
ds003620	44		yes	no					
ds003470	20		yes	no					
ds002144	36		no	no		pair,random			
ds001226	36		yes	no					
ds003770	8		yes	no		emnfb			
ds003684	22		yes	yes		dsp			
ds003835	24		yes	yes					
ds003171	17		yes	no					
ds003872	56		yes	no		read,rest			
ds001751	20		no	no					
ds002620	82		yes	yes		emoregRun1,emoregRun2,emoregRun3,emoregRun4			
ds002236	91		yes	yes		AudRhyme,AudSem,AudSpell,VisRhyme,VisSem,VisSpell			
ds002080	29		yes	no					
ds003834	14		yes	yes		fam1back,localizer,str1back			
ds003465	55		yes	yes		Axcpt,Cuedts,Stern,Stroop			
ds000224	10		yes	no		glasslexical,memoryfaces,memoryscenes,memorywords,motor,rest			
ds002013	4		yes	yes		CircCon,CircRun			
ds002878	35		yes	no		soccer			
ds003763	62		yes	no					
ds003673	27		yes	no					
ds003764	60		yes	yes		categorization			
ds001306	17		yes	no		vissearch			
ds004356	22		yes	yes		MusicvsSpeech			
ds004934	44		yes	no		DOTS,Motion,VOE,spWM			
ds004929	12		no	no					
ds004906	5		yes	no					
ds004926	40		yes	no		heat			
ds003844	6		yes	no					
ds004752	15		yes	no					
ds004910	20		yes	no					
ds004920	59		yes	no		doors,mid,sharedreward,socialdoors,ugdg			
ds004499	50		yes	no		FCNI1,FCNI2,FCNI3,FCNI4,FCNI5,FCNI6,FCNI7			
ds004913	9		yes	no					
ds004909	29		yes	no		RDMcolor,RDMlocalizer,RDMmotion			
ds004733	18		yes	no					
ds004654	28		yes	no					
ds004731	35		yes	no					
ds004730	10		yes	no					
ds004012	30		yes	yes		auditorystimuli			
ds004883	172		yes	yes		FFERN			
ds004697	84		yes	no					
ds004866	5		yes	no					
ds004860	31		yes	yes		HarmN400			
ds003516	25		yes	no					
ds004859	7		no	no					
ds004854	1		yes	yes		nback			
ds004853	1		yes	yes		nback			
ds004852	1		yes	yes		nback			
ds004850	1		yes	yes		nback			
ds004849	1		yes	yes		nback			
ds004844	17		yes	yes		Drive			
ds004843	14		yes	yes		VisualSituationalAwareness			
ds004842	14		yes	yes		DriveOnMission			
ds004841	20		yes	yes		DriveOnMission			
ds004715	11		yes	no					
ds004620	8		yes	no					
ds003138	53		yes	no					
ds004274	33		yes	no		PSAP			
ds004229	2		yes	no					
ds001246	5		yes	no		imagery,perception			
ds004829	30		yes	no					
ds004835	6		yes	no					
ds004477	9		yes	no					
ds000201	86		yes	no		PVT,arrows,faces,hands,rest,sleepiness,workingmemorytest			
ds004783	26		yes	no		movie			
ds004814	6		yes	no					
ds004817	20		yes	yes		rsvp			
ds004816	20		yes	yes		rsvp			
ds004819	1		yes	no					
ds004791	68		yes	no					
ds004542	4		no	no					
ds004802	38		yes	yes		roddball			
ds004808	24		yes	no					
ds004078	12		yes	no					
ds004786	40		yes	no					
ds004785	17		yes	yes		unnamed			
ds004776	1		yes	no					
ds004746	395		yes	yes		paingen			
ds004710	2		yes	no		visual			
ds004775	28		yes	no					
ds004455	94		yes	no					
ds004770	10		yes	no					
ds004073	51		yes	yes		PD,SC,SD,SG,WC,WG			
ds004594	20		yes	no		matchjudgment			
ds003507	21		yes	no					
ds004767	55		yes	no					
ds000002	17		yes	no		deterministicclassification,mixedeventrelatedprobe,probabilisticclassification			
ds004467	18		yes	no		langloc,litlong,litshort,tom			
ds004019	62		yes	no					
ds004151	57		yes	no					
ds004324	26		yes	no					
ds004443	9		no	no					
ds004562	23		yes	yes		adaptation			
ds004745	6		yes	yes		unnamed			
ds004725	87		yes	no		rest			
ds004743	19		yes	no					
ds004744	17		yes	no					
ds004742	1		no	no					
ds004738	4		yes	no					
ds002001	11		yes	no					
ds002034	14		yes	no					
ds002094	20		no	no					
ds002680	14		yes	yes					
ds004720	2		yes	no					
ds004602	182		yes	yes		ERNPsychometrics			
ds004717	42		yes	no					
ds004706	34		yes	no					
ds004711	187		yes	no		bart,delaydiscounting			
ds004703	10		yes	no					
ds004589	99		yes	no					
ds002691	20		yes	yes					
ds002721	31		yes	no					
ds003004	34		yes	no					
ds004696	8		yes	no					
ds002723	8		yes	no					
ds004692	30		yes	yes		study,test			
ds003717	60		yes	no					
ds004533	45		no	no		ironiavev,rest			
ds004626	52		yes	yes		DotProbe			
ds004327	47		yes	no		odor			
ds004662	8		yes	no					
ds004660	21		yes	yes		P300			
ds004657	24		yes	yes		Drive			
ds004656	15		yes	no					
ds004341	28		yes	yes		semenc			
ds004475	30		yes	yes		task			
ds004648	88		yes	no		rest			
ds004650	1		yes	no					
ds004642	10		yes	no					
