old_id	new_id	key	reason
cit_000922	cit_000921	url:https://www.sciencedirect.com/science/article/pii/S1053811923003038?via%3Dihub=	normalised url variant
cit_000927	cit_000925	doi:10.1126/sciadv.adi7632	normalised doi variant
cit_000934	cit_000933	url:https://www.wjx.cn	normalised url variant
cit_000937	cit_000935	url:https://www.qimrberghofer.edu.au/people/sarah-medland	normalised url variant
cit_000946	cit_000944	doi:10.1101/2022.08.12.503778v3.abstract	normalised doi variant
cit_000949	cit_000948	doi:10.1101/2022.07.05.498906v4.abstract	normalised doi variant
cit_000951	cit_000948	doi:10.1101/2022.07.05.498906v4.abstract	normalised doi variant
cit_000952	cit_000948	doi:10.1101/2022.07.05.498906v4.abstract	normalised doi variant
cit_000956	cit_000955	doi:10.1101/2022.06.20.496863v1	normalised doi variant
cit_000958	cit_000957	doi:10.1101/2022.06.20.496863	normalised doi variant
cit_000965	cit_000963	doi:10.1016/j.neuroimage.2020.117498	normalised doi variant
cit_001250	cit_000963	doi:10.1016/j.neuroimage.2020.117498	normalised doi variant
cit_000966	cit_000964	doi:10.1002/mrm.29495	normalised doi variant
cit_000970	cit_000969	doi:10.1101/2021.09.28.462068v3	normalised doi variant
cit_000973	cit_000972	url:https://www.ncbi.nlm.nih.gov/pubmed/26116964	normalised url variant
cit_000975	cit_000974	doi:10.1101/2021.06.04.446837v1	normalised doi variant
cit_000979	cit_000976	doi:10.1101/2022.08.12.503484v1	normalised doi variant
cit_000983	cit_000982	doi:10.1371/journal.pcbi.1006633	normalised doi variant
cit_000986	cit_000984	url:https://www.biorxiv.org/content/early/2017/12/30/240317	normalised url variant
cit_000988	cit_000987	url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6673364	normalised url variant
cit_000990	cit_000989	doi:10.1371/journal.pone.0276975	normalised doi variant
cit_000997	cit_000996	doi:10.1038/s41398-021-01562-w	normalised doi variant
cit_001002	cit_001000	doi:10.1038/ncomms9885	normalised doi variant
cit_001005	cit_001003	url:https://www.nitrc.org/projects/mri_reface	normalised url variant
cit_001008	cit_001004	doi:10.1002/hbm.26128	normalised doi variant
cit_001014	cit_001013	doi:10.1101/2021.09.20.460996v3	normalised doi variant
cit_001021	cit_001018	doi:10.1038/s41593-021-00901-w	normalised doi variant
cit_001023	cit_001018	doi:10.1038/s41593-021-00901-w	normalised doi variant
cit_001022	cit_001019	doi:10.1101/2021.10.15.464594v1	normalised doi variant
cit_001027	cit_001026	doi:10.1101/2020.06.16.155317v1	normalised doi variant
