onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
222.2052	21.0123	39	2	200	2	90	2	0	1.1309	0	2	0	0	0	0	2	0	0	0	222.2052	223.3559	223.3711	239.2463	232.2251	239.2463	243.2175	4	100	100	0.6702	0.0349	2.1846	2.5991
243.2232	23.0122	40	2	150	2	30	2	0	2.2469	0	1	0	0	0	0	2	0	0	0	243.2232	245.4907	245.4962	260.2519	253.2346	260.2519	266.2354	6	0	150	0.3698	0.7722	2.1939	2.7057
266.241	25.0122	41	2	200	1	75	2	0	0	2	0	0	0	0	0.8597	0	2	0	0	266.241	269.2478	269.2478	283.2701	274.1191	283.2701	291.2532	8	0	0	0.4082	0.9245	3.5844	2.5591
291.2593	21.0122	42	2	150	1	85	2	0	0	2	0	0	0	0	1.6528	0	1	0	0	291.2593	294.2657	294.2657	308.3009	299.9295	308.3009	312.2715	4	150	0	0.8866	0.589	2.4511	2.5324
312.2773	22.0123	43	2	200	2	10	2	0	0.9191	0	1	0	0	0	0	1	0	0	0	312.2773	313.2175	313.2313	329.3198	322.2966	329.3198	334.2896	5	100	100	0.9762	0.7818	2.5598	2.5191
334.2951	23.0123	44	2	150	2	85	2	0	0.8063	0	2	0	0	0	0	2	0	0	0	334.2951	335.1238	335.1299	351.3251	344.3067	351.3251	357.3074	6	0	150	0.5893	0.9133	2.6882	3.0522
357.3135	23.0123	45	2	200	1	15	2	0	0	1	0	0	0	0	0.495	0	1	0	0	357.3135	360.3201	360.3201	374.3566	364.8275	374.3566	380.3258	6	100	100	0.9111	0.6735	2.5191	2.3458
380.3317	25.0123	46	2	150	1	65	2	0	0	1	0	0	0	0	0.4484	0	1	0	0	380.3317	383.3382	383.3382	397.3615	387.7991	397.3615	405.344	8	150	0	0.9006	0.0478	3.5054	2.3991
405.3495	19.0122	47	2	200	2	25	2	0	0.7242	0	1	0	0	0	0	1	0	0	0	405.3495	406.0951	406.1038	422.379	415.3635	422.379	424.3617	2	100	100	0.7737	0.0193	2.5119	2.3058
424.3676	23.0122	48	2	150	2	90	2	0	1.8826	0	1	0	0	0	0	2	0	0	0	424.3676	426.2602	426.2697	441.3987	434.3824	441.3987	447.3798	6	150	0	0.3181	0.3737	2.2995	2.4258
447.3852	21.0123	49	2	200	1	65	2	0	0	2	0	0	0	0	1.1011	0	2	0	0	447.3852	450.3916	450.3916	464.4169	455.5073	464.4169	468.3975	4	100	100	0.9731	0.1189	3.1741	2.5724
468.403	24.0122	50	2	150	1	15	2	0	0	1	0	0	0	0	0.5209	0	2	0	0	468.403	471.4096	471.4096	485.4358	475.9461	485.4358	492.4152	7	150	0	0.2242	0.0271	2.8286	2.3858
492.4212	24.0122	51	2	200	2	60	2	0	2.3703	0	2	0	0	0	0	2	0	0	0	492.4212	494.8162	494.8312	509.467	502.4412	509.467	516.4334	7	0	0	0.9226	0.816	3.5085	2.839
516.4389	24.0122	52	2	150	2	30	2	0	0.6663	0	1	0	0	0	0	2	0	0	0	516.4389	517.1163	517.1297	533.4715	526.4569	533.4715	540.4511	7	0	150	0.1716	0.8357	3.3508	2.3591
540.4571	23.0122	53	2	200	1	75	2	0	0	2	0	0	0	0	0.6712	0	2	0	0	540.4571	543.4637	543.4637	557.4893	548.1498	557.4893	563.4693	6	100	100	0.7601	0.1865	3.641	2.6124
563.4748	23.0123000000001	54	2	150	1	80	2	0	0	1	0	0	0	0	0.4457	0	1	0	0	563.4748	566.4808	566.4808	580.5075	570.9424	580.5075	586.4871	6	150	0	0.618	0.6101	2.7491	3.4387
586.4927	20.0122	55	2	200	2	20	2	0	0.9936	0	1	0	0	0	0	1	0	0	0	586.4927	587.5111	587.5171	603.5257	596.5046	603.5257	606.5049	3	100	100	0.6894	0.5208	3.2241	2.4258
606.5111	24.0123	56	2	150	2	35	2	0	0.5633	0	2	0	0	0	0	2	0	0	0	606.5111	607.0868	607.0966	623.545	616.5259	623.545	630.5234	7	0	150	0.0853	0.8021	3.2886	2.4258
