onset	duration	Trials	Runs	Cond_1_200_2_150_HasBeenChangedTo200_150	order_1_first_2_lastForThisIdPerson_	ProbR	ID_1_PlayerA_2_playerB_	AnsTimePAS1_rtStage1_playerA___3Seconds	AnsTimePBS1	PAChoS1_1Left_2Right_	PBChoS1	MissingPAS1_0None_	MissingPBS1	AnsTimePAS2	AnsTimePBS2	PAChoS2	PBChoS2	MissingPAS2	MissingPBS2	TriOn	DecEndS1	IsiOnS1	FbOnS1	DecEndS2	FbOffS2	TriEnd	Jitter	rwPA_rewardToPa_	rwPB	randa	randb	Unknown1	Unknown2
229.2054	21.0122	67	3	200	2	90	2	0	0.7364	0	2	0	0	0	0	2	0	0	0	229.2054	229.9589	229.9688	246.2438	239.2211	246.2438	250.2176	4	100	100	0.7846	0.7926	1.8663	1.8527
250.2237	24.0122	68	3	150	2	85	2	0	1.4273	0	1	0	0	0	0	2	0	0	0	250.2237	251.6686	251.6807	267.2627	260.2417	267.2627	274.2359	7	0	150	0.5947	0.8741	1.5712	1.826
274.2415	24.0122	69	3	200	1	15	2	0	0	1	0	0	0	0	0.6996	0	1	0	0	274.2415	277.2479	277.2479	291.2673	281.9565	291.2673	298.2537	7	100	100	0.2241	0.1368	1.9021	1.7327
298.2591	21.0123	70	3	150	1	60	2	0	0	2	0	0	0	0	1.0243	0	2	0	0	298.2591	301.265	301.265	315.2984	306.2988	315.2984	319.2714	4	0	150	0.8541	0.2953	1.756	1.5328
319.2775	24.0122	71	3	200	2	75	2	0	1.0216	0	2	0	0	0	0	2	0	0	0	319.2775	320.3176	320.3221	336.304	329.2873	336.304	343.2897	7	100	100	0.1024	0.5099	1.5936	1.7594
343.2956	22.0123	72	3	150	2	20	2	0	2.0913	0	1	0	0	0	0	1	0	0	0	343.2956	345.4051	345.4195	360.3352	353.3155	360.3352	365.3079	5	0	150	0.125	0.952	1.6098	1.4661
365.3133	22.0122	73	3	200	1	75	2	0	0	2	0	0	0	0	0.6689	0	2	0	0	365.3133	368.3188	368.3188	382.3538	372.9987	382.3538	387.3255	5	0	0	0.5358	0.8588	1.7443	1.5328
387.3319	24.0122	74	3	150	1	25	2	0	0	2	0	0	0	0	0.7442	0	2	0	0	387.3319	390.3385	390.3385	404.3723	395.0929	404.3723	411.3441	7	150	0	0.9712	0.3404	1.8898	1.5061
411.3499	21.0123	75	3	200	2	30	2	0	0.9123	0	1	0	0	0	0	1	0	0	0	411.3499	412.2814	412.2883	428.3768	421.3611	428.3768	432.3622	4	100	100	0.8086	0.5485	1.5526	1.5728
432.3676	22.0122	76	3	150	2	10	2	0	1.3791	0	2	0	0	0	0	2	0	0	0	432.3676	433.7671	433.7737	449.3958	442.3787	449.3958	454.3798	5	0	150	0.2085	0.8378	1.5672	1.826
454.386	20.0122	77	3	200	1	70	2	0	0	2	0	0	0	0	0.7056	0	2	0	0	454.386	457.3916	457.3916	471.4277	462.1096	471.4277	474.3982	3	100	100	0.0407	0.5209	1.6922	1.6394
474.4041	25.0122	78	3	150	1	60	2	0	0	1	0	0	0	0	1.4209	0	2	0	0	474.4041	477.4101	477.4101	491.4337	482.8438	491.4337	499.4163	8	0	150	0.6493	0.1996	1.6662	1.6394
499.4219	20.0122	79	3	200	2	20	2	0	0.9716	0	1	0	0	0	0	1	0	0	0	499.4219	500.415	500.4292	516.4645	509.441	516.4645	519.4341	3	100	100	0.7964	0.7426	1.587	1.6127
519.4402	23.0122	80	3	150	2	35	2	0	1.5093	0	2	0	0	0	0	2	0	0	0	519.4402	520.9584	520.9683	536.4704	529.4556	536.4704	542.4524	6	0	150	0.4816	0.7059	1.9783	1.6394
542.4585	23.0122	81	3	200	1	30	2	0	0	1	0	0	0	0	0.6019	0	1	0	0	542.4585	545.4641	545.4641	559.4887	550.0798	559.4887	565.4707	6	100	100	0.9518	0.5107	1.9873	1.746
565.4762	19.0122	82	3	150	1	80	2	0	0	1	0	0	0	0	0.8185	0	2	0	0	565.4762	568.482	568.482	582.5069	573.3145	582.5069	584.4884	2	0	150	0.2248	0.2741	1.7476	1.786
584.4945	23.0123	83	3	200	2	15	2	0	0.8586	0	1	0	0	0	0	1	0	0	0	584.4945	585.3636	585.3713	601.5265	594.5066	601.5265	607.5068	6	100	100	0.9208	0.276	1.73	1.6661
607.5128	23.0122	84	3	150	2	85	2	0	1.3454	0	1	0	0	0	0	2	0	0	0	607.5128	608.882	608.896	624.5581	617.532	624.5581	630.525	6	150	0	0.2903	0.1677	1.6829	2.0259
