onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
301.3733000000001	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.5657800000000001	9.0	n/a	n/a	7	n/a	1.0	0.0	6.0	1.0	57.0	302.0	10.0	10.0009	9.967738
303.37320000000005	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.51823	9.0	n/a	n/a	7	n/a	1.0	0.0	7.0	1.0	57.0	304.0	12.0	12.0008	11.96872
305.3735000000001	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.56865	9.0	n/a	n/a	7	n/a	1.0	0.0	8.0	1.0	57.0	306.0	14.0	14.0011	13.968
307.3736	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.57582	9.0	n/a	n/a	7	n/a	1.0	0.0	9.0	1.0	57.0	308.0	16.0	16.0012	15.96685
309.3725	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.50503	9.0	n/a	n/a	7	n/a	1.0	0.0	10.0	1.0	57.0	310.0	18.0	18.0001	17.96763
311.3725	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.70381	9.0	n/a	n/a	7	n/a	1.0	0.0	11.0	1.0	57.0	312.0	20.0	20.0001	19.96796
313.3738	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.5858399999999999	9.0	n/a	n/a	7	n/a	1.0	0.0	12.0	1.0	57.0	314.0	22.0	22.0014	21.96753
315.3727	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.58943	9.0	n/a	n/a	7	n/a	1.0	0.0	13.0	1.0	57.0	316.0	24.0	24.0003	23.96755
317.3741	2.0	IntervalTiming	intervalTiming	2.0	1.6	0.47876	9.0	n/a	n/a	7	n/a	1.0	0.0	14.0	1.0	57.0	318.0	26.0	26.0017	25.96804
319.3734	2.0	IntervalTiming	intervalTiming	1.0	1.6	0.67499	9.0	n/a	n/a	7	n/a	1.0	0.0	15.0	1.0	57.0	320.0	28.0	28.001	27.96748
321.20402184	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
326.20402184	15.0	VideoActions	actionObservation	1.0	14.0	n/a	10.0	n/a	n/a	7	knotActionChamois.mov  	n/a	n/a	1.0	n/a	57.0	327.0	0.0	0.00022184	-0.0803898
341.2374	15.0	VideoKnots	actionObservation	2.0	14.0	n/a	10.0	n/a	n/a	7	knotControlChamois.mov 	n/a	n/a	2.0	n/a	57.0	338.0	15.0	15.0336	12.91943
356.40161035700004	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
