onset	duration	subject	task	trialHit	rt	acc
220.940821736	0	1	house	noHit	None	1
222.906785317	0	1	house	noHit	None	1
224.876901898	0	1	house	noHit	None	1
226.857008546	0	1	house	noHit	None	1
228.823143126	0	1	house	noHit	None	1
230.790243826	0	1	house	noHit	None	1
232.75631308	0	1	house	noHit	None	1
234.723431072	0	1	house	noHit	None	1
236.689567254	0	1	house	noHit	None	1
238.656564841	0	1	house	noHit	None	1
240.622701023	0	1	house	noHit	None	1
242.590014352	0	1	house	noHit	None	1
244.555915168	0	1	house	noHit	None	1
246.522993773	0	1	house	noHit	None	1
248.489105617	0	1	face	noHit	None	1
250.456232256	0	1	face	noHit	None	1
252.422319443	0	1	face	noHit	None	1
254.389348092	0	1	face	noHit	None	1
256.355783364	0	1	face	noHit	None	1
258.322591698	0	1	face	noHit	None	1
260.288679846	0	1	face	noHit	None	1
262.25581449	0	1	face	noHit	None	1
264.222924156	0	1	face	Hit	1.49002850645	1
266.18899245	0	1	face	noHit	None	1
268.156249099	0	1	face	noHit	None	1
270.12219923	0	1	face	noHit	None	1
272.089262784	0	1	face	noHit	None	1
274.055402808	0	1	face	Hit	1.49005316379	1
276.022517918	0	1	face	noHit	None	1
277.988561875	0	1	face	noHit	None	1
279.954968967	0	1	face	noHit	None	1
281.921807402	0	1	face	noHit	None	1
283.887949348	0	1	house	noHit	None	1
285.855241863	0	1	house	noHit	None	1
287.822134737	0	1	house	noHit	None	1
289.788347132	0	1	house	noHit	None	1
291.755338315	0	1	house	noHit	None	1
293.721380991	0	1	house	Hit	1.49005668627	1
295.688460876	0	1	house	noHit	None	1
297.654637086	0	1	house	noHit	None	1
299.621703842	0	1	house	Hit	1.49004643906	1
301.587805439	0	1	house	noHit	None	1
303.554863869	0	1	house	noHit	None	1
305.521001011	0	1	house	noHit	None	1
307.488218593	0	1	house	noHit	None	1
309.454140865	0	1	house	noHit	None	1
311.421287036	0	1	house	noHit	None	1
313.387368459	0	1	house	noHit	None	1
315.364457625	0	1	house	noHit	None	1
317.337539812	0	1	house	noHit	None	1
319.304659405	0	1	face	noHit	None	1
321.2707578	0	1	face	noHit	None	1
323.237899809	0	1	face	noHit	None	1
325.204018378	0	1	face	noHit	None	1
327.171075848	0	1	face	noHit	None	1
