onset	duration	sample	type	value
85.02734375	0	21768	trigger	201
87.02734375	0	22280	trigger	202
89.02734375	0	22792	trigger	203
90.02734375	0	23048	trigger	106
90.18359375	0	23088	trigger	3
90.33984375	0	23128	trigger	2
90.49609375	0	23168	trigger	5
90.65234375	0	23208	trigger	4
90.77734375	0	23240	trigger	6
90.93359375	0	23280	trigger	2
91.08984375	0	23320	trigger	3
91.24609375	0	23360	trigger	6
91.40234375	0	23400	trigger	5
91.52734375	0	23432	trigger	1
91.71484375	0	23480	trigger	4
91.83984375	0	23512	trigger	1
91.99609375	0	23552	trigger	4
92.15234375	0	23592	trigger	2
92.30859375	0	23632	trigger	5
92.46484375	0	23672	trigger	3
92.58984375	0	23704	trigger	6
92.74609375	0	23744	trigger	4
92.90234375	0	23784	trigger	1
93.05859375	0	23824	trigger	2
93.21484375	0	23864	trigger	6
93.33984375	0	23896	trigger	3
93.52734375	0	23944	trigger	5
93.65234375	0	23976	trigger	1
93.80859375	0	24016	trigger	6
93.96484375	0	24056	trigger	3
94.12109375	0	24096	trigger	5
94.27734375	0	24136	trigger	2
94.43359375	0	24176	trigger	4
94.55859375	0	24208	trigger	6
94.71484375	0	24248	trigger	3
94.87109375	0	24288	trigger	5
95.02734375	0	24328	trigger	4
95.15234375	0	24360	trigger	2
95.33984375	0	24408	trigger	1
95.46484375	0	24440	trigger	3
95.62109375	0	24480	trigger	1
95.77734375	0	24520	trigger	2
95.93359375	0	24560	trigger	4
96.08984375	0	24600	trigger	5
96.21484375	0	24632	trigger	6
96.37109375	0	24672	trigger	4
96.52734375	0	24712	trigger	2
96.68359375	0	24752	trigger	1
96.83984375	0	24792	trigger	3
96.99609375	0	24832	trigger	5
97.15234375	0	24872	trigger	6
97.27734375	0	24904	trigger	2
97.43359375	0	24944	trigger	6
97.58984375	0	24984	trigger	3
97.74609375	0	25024	trigger	4
97.87109375	0	25056	trigger	5
98.05859375	0	25104	trigger	1
98.18359375	0	25136	trigger	4
98.33984375	0	25176	trigger	1
98.49609375	0	25216	trigger	5
98.65234375	0	25256	trigger	2
98.80859375	0	25296	trigger	6
98.96484375	0	25336	trigger	3
99.08984375	0	25368	trigger	5
99.24609375	0	25408	trigger	6
99.40234375	0	25448	trigger	2
99.55859375	0	25488	trigger	3
99.71484375	0	25528	trigger	4
99.83984375	0	25560	trigger	1
99.99609375	0	25600	trigger	3
100.15234375	0	25640	trigger	4
100.30859375	0	25680	trigger	1
100.46484375	0	25720	trigger	5
100.62109375	0	25760	trigger	2
100.77734375	0	25800	trigger	6
100.90234375	0	25832	trigger	5
101.05859375	0	25872	trigger	1
101.21484375	0	25912	trigger	2
101.37109375	0	25952	trigger	4
101.52734375	0	25992	trigger	6
101.68359375	0	26032	trigger	3
101.83984375	0	26072	trigger	4
101.96484375	0	26104	trigger	1
102.12109375	0	26144	trigger	2
102.27734375	0	26184	trigger	6
102.43359375	0	26224	trigger	5
102.58984375	0	26264	trigger	3
102.74609375	0	26304	trigger	4
102.87109375	0	26336	trigger	3
103.02734375	0	26376	trigger	6
103.18359375	0	26416	trigger	5
103.33984375	0	26456	trigger	2
103.49609375	0	26496	trigger	1
103.62109375	0	26528	trigger	2
103.77734375	0	26568	trigger	1
103.93359375	0	26608	trigger	3
