onset	duration	value	response	rt	good	Acu	estim	trial
366.9246	1	11	2	400.1	1	1	0 2 0	2
370.3169	1	11	3	403.8	1	1	0 0 3	3
372.9609	1	11	2	440.8	1	1	0 2 0	4
376.7856	1	11	1	392.8	1	1	1 0 0	5
380.3442	1	11	2	383.4	1	1	0 2 0	6
384.0192	1	12	2	772.5	1	1	2 3 3	1
387.4947	1	12	3	531.7	1	0	2 3 3	2
390.6875	1	12	2	606.9	1	1	2 1 1	3
393.7472	1	12	2	522.8	1	1	2 3 3	4
396.1252	1	11	2	441.6	1	1	0 2 0	1
398.8523	1	11	1	334.7	1	1	1 0 0	2
400.8811	1	11	1	472.6	1	1	1 0 0	3
404.0406	1	12	2	639.2	1	1	3 3 2	1
407.1336	1	12	2	596.9	1	1	2 3 3	2
409.2455	1	12	2	527.2	1	1	2 1 1	3
411.1578	1	12	1	578.5	1	1	3 3 1	4
413.6688	1	12	2	795	1	0	1 3 1	5
416.845	1	11	3	656.3	1	1	0 0 3	1
419.1232	1	11	3	393.9	1	1	0 0 3	2
421.9501	1	11	1	478.3	1	1	1 0 0	3
425.6584	1	11	1	354.1	1	1	1 0 0	4
428.5186	1	12	1	939.3	1	1	2 1 2	1
431.0462	1	12	2	870	1	0	2 3 2	2
433.9729	1	12	3	546	1	1	3 2 2	3
436.3675	1	12	2	522.4	1	0	2 1 2	4
440.0592	1	12	1	485.1	1	0	2 3 3	5
443.069	1	12	1	449.8	1	1	2 1 2	6
446.3616	1	11	3	414.5	1	1	0 0 3	1
449.0056	1	11	3	397.4	1	1	0 0 3	2
452.1651	1	11	1	312.8	1	1	1 0 0	3
455.7071	1	11	1	365.2	1	1	1 0 0	4
458.534	1	11	2	335.4	1	1	0 2 0	5
460.9951	1	11	3	338.4	1	1	0 0 3	6
464.4207	1	11	1	323	1	1	1 0 0	7
468.1456	1	11	3	380.7	1	1	0 0 3	8
471.7874	1	12	3	915.1	1	1	3 1 1	1
475.4292	1	12	2	527.2	1	0	2 3 2	2
477.7073	1	12	3	434.6	1	1	3 2 2	3
481.2659	1	12	3	817	1	1	3 1 1	4
483.5774	1	12	1	527.9	1	1	2 2 1	5
487.2358	1	12	1	438.8	1	1	3 1 3	6
489.5805	1	12	2	593.2	1	1	3 3 2	7
492.5404	1	11	2	499.8	1	1	0 2 0	1
495.6002	1	11	3	393.6	1	1	0 0 3	2
499.0424	1	11	2	443.6	1	1	0 2 0	3
501.1543	1	11	3	469.2	1	1	0 0 3	4
503.8482	1	11	3	385.4	1	1	0 0 3	5
505.9601	1	11	1	438.1	1	1	1 0 0	6
509.0531	1	11	1	352.9	1	0	0 2 0	7
511.3479	1	12	2	863.4	1	1	3 3 2	1
514.4575	1	12	2	405.2	1	0	3 1 3	2
516.6858	1	12	2	688.9	1	1	2 3 3	3
