onset	duration	trial_type	slow
739.625	0.7520000000004075	first_stage	0
744.3789999999998	1.0900000000001455	second_stage	0
748.4710000000005	1.5	feedback	n/a
758.4200000000002	0.6509999999998399	first_stage	0
763.0730000000003	1.0969999999997526	second_stage	0
767.1710000000003	1.5	feedback	n/a
775.0219999999998	0.8550000000004729	first_stage	0
779.8789999999998	1.0799999999999272	second_stage	0
783.9589999999997	1.5	feedback	n/a
790.5889999999998	0.5969999999997526	first_stage	0
795.1880000000001	0.806999999999789	second_stage	0
798.9960000000002	1.5	feedback	n/a
806.3230000000003	0.6369999999997162	first_stage	0
810.9620000000003	0.8279999999995198	second_stage	0
814.7910000000003	1.5	feedback	n/a
