participant_id	animal_ID	species	strainRRID	strain	cage	cohort	sex	fur.colour	genotype	dad_ID_cage	litter_size	DOB	injection_date	injection	PFF.batch
sub-MCHxSYNx17	001_020	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_6	1	M	agouti	hemi	ST_1B	21	2019-09-25	2019-12-16	PBS	n/a
sub-MCHxSYNx18	001_021	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_6	1	M	black	hemi	ST_1B	21	2019-09-25	2019-12-16	PBS	n/a
sub-MCHxSYNx19	001_022	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_7	1	F	agouti	hemi	ST_1B	21	2019-09-25	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx20	001_023	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_7	1	F	agouti	hemi	ST_1B	21	2019-09-25	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx21	001_024	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_7	1	F	agouti	hemi	ST_1B	21	2019-09-25	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx22	001_025	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_7	1	F	agouti	hemi	ST_1B	21	2019-09-25	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx23	001_026	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_8	1	F	agouti	WT	ST_1B	21	2019-09-25	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx24	001_027	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_8	1	F	agouti	WT	ST_1B	21	2019-09-25	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx25	001_029	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_9	1	F	agouti	hemi	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx26	001_032	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_9	1	F	black	WT	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx27	001_035	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_10	1	F	agouti	hemi	ST_4B	14	2019-09-27	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx28	001_037	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_10	1	F	agouti	WT	ST_4B	14	2019-09-27	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx29	001_038	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_11	1	F	agouti	WT	ST_4B	14	2019-09-27	2019-12-17	PBS	n/a
sub-MCHxSYNx30	001_039	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_11	1	F	agouti	WT	ST_4B	14	2019-09-27	2019-12-17	PBS	n/a
sub-MCHxSYNx31	001_041	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_12	1	M	agouti	WT	ST_4B	14	2019-09-27	2019-12-17	PBS	n/a
sub-MCHxSYNx32	001_043	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_12	1	M	agouti	hemi	ST_4B	14	2019-09-27	2019-12-17	PBS	n/a
sub-MCHxSYNx33	001_044	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_12	1	M	agouti	WT	ST_4B	14	2019-09-27	2019-12-17	PBS	n/a
sub-MCHxSYNx34	001_045	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_13	1	M	agouti	WT	ST_4B	14	2019-09-27	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx35	001_047	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_13	1	M	agouti	hemi	ST_4B	14	2019-09-27	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx36	001_048	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_13	1	M	agouti	WT	ST_4B	14	2019-09-27	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx37	001_050	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_14	1	M	agouti	WT	ST_3B	8	2019-09-28	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx38	001_053	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_15	1	F	agouti	hemi	ST_3B	8	2019-09-28	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx39	001_054	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_15	1	F	agouti	hemi	ST_3B	8	2019-09-28	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx40	001_055	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_15	1	F	agouti	WT	ST_3B	8	2019-09-28	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx41	001_056	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_15	1	F	agouti	hemi	ST_3B	8	2019-09-28	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx42	001_058	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_18	1	M	agouti	WT	ST_3B	4	2019-10-04	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx43	001_059	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_18	1	M	agouti	WT	ST_3B	4	2019-10-04	2019-12-18	Hu-PFF	19L03s
sub-MCHxSYNx44	001_061	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_19	1	F	agouti	hemi	ST_2B	15	2019-09-26	2019-12-17	PBS	n/a
sub-MCHxSYNx45	001_062	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_19	1	F	agouti	hemi	ST_2B	15	2019-09-26	2019-12-17	PBS	n/a
sub-MCHxSYNx46	002_001	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_20	2	M	agouti	WT	ST_3B	5	2019-10-21	2020-01-06	PBS	n/a
sub-MCHxSYNx47	002_002	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_21	2	F	agouti	hemi	ST_3B	5	2019-10-21	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx48	002_003	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_21	2	F	agouti	WT	ST_3B	5	2019-10-21	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx49	002_004	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_21	2	F	agouti	hemi	ST_3B	5	2019-10-21	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx50	002_005	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_21	2	F	agouti	hemi	ST_3B	5	2019-10-21	2020-01-06	PBS	n/a
sub-MCHxSYNx51	002_008	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_23	2	M	agouti	hemi	ST_4B	10	2019-10-18	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx52	002_009	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_23	2	M	agouti	hemi	ST_4B	10	2019-10-18	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx53	002_011	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_23	2	M	agouti	WT	ST_4B	10	2019-10-18	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx54	002_012	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_24	2	F	agouti	WT	ST_4B	10	2019-10-18	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx55	002_013	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_24	2	F	agouti	WT	ST_4B	10	2019-10-18	2020-01-06	PBS	n/a
sub-MCHxSYNx56	002_014	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_24	2	F	agouti	hemi	ST_4B	10	2019-10-18	2020-01-06	PBS	n/a
sub-MCHxSYNx57	002_017	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_25	2	F	black	hemi	ST_1B	9	2019-10-19	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx58	002_018	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_25	2	F	black	hemi	ST_1B	9	2019-10-19	2020-01-06	Ms-PFF	m19L03s
sub-MCHxSYNx59	002_019	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_26	2	M	agouti	hemi	ST_1B	9	2019-10-19	n/a	n/a	n/a
sub-MCHxSYNx60	002_021	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_26	2	M	agouti	hemi	ST_1B	9	2019-10-19	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx61	002_022	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_26	2	M	agouti	hemi	ST_1B	9	2019-10-19	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx62	002_023	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_27	2	M	agouti	WT	ST_1B	9	2019-10-19	2020-01-06	Hu-PFF	19L03s
sub-MCHxSYNx63	003_002	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_28	3	M	agouti	WT	ST_1B	15	2019-11-08	2020-01-29	PBS	n/a
sub-MCHxSYNx64	003_004	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_30	3	F	agouti	hemi	ST_1B	15	2019-11-08	2020-01-29	PBS	n/a
sub-MCHxSYNx65	003_006	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_30	3	F	agouti	WT	ST_1B	15	2019-11-08	2020-01-29	PBS	n/a
sub-MCHxSYNx66	003_007	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_30	3	F	agouti	hemi	ST_1B	15	2019-11-08	2020-01-29	PBS	n/a
sub-MCHxSYNx67	003_008	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_31	3	M	agouti	hemi	ST_1B	15	2019-11-08	2020-01-29	Ms-PFF	m19L03s
sub-MCHxSYNx68	003_009	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_31B	3	M	agouti	WT	ST_1B	15	2019-11-08	2020-01-29	Ms-PFF	m19L03s
sub-MCHxSYNx69	003_012	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_32	3	M	agouti	hemi	ST_1B	15	2019-11-08	2020-01-30	PBS	n/a
sub-MCHxSYNx70	003_013	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_32	3	M	agouti	hemi	ST_1B	15	2019-11-08	2020-01-30	PBS	n/a
sub-MCHxSYNx71	003_014	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_32	3	M	agouti	hemi	ST_1B	15	2019-11-08	2020-01-30	PBS	n/a
sub-MCHxSYNx72	003_015	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_32	3	M	agouti	hemi	ST_1B	15	2019-11-08	2020-01-30	PBS	n/a
sub-MCHxSYNx73	003_018	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_33	3	M	agouti	hemi	ST_4B	17	2019-11-07	2020-01-29	Ms-PFF	m19L03s
sub-MCHxSYNx74	003_020	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_35	3	F	agouti	hemi	ST_4B	17	2019-11-07	2020-01-30	Hu-PFF	19L03s
sub-MCHxSYNx75	003_021	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_35	3	F	agouti	hemi	ST_4B	17	2019-11-07	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx76	003_022	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_35	3	F	agouti	hemi	ST_4B	17	2019-11-07	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx77	003_023	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_34	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx78	003_024	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_34	3	F	agouti	hemi	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx79	003_025	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_36	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-30	PBS	n/a
sub-MCHxSYNx80	003_028	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_36	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-30	PBS	n/a
sub-MCHxSYNx81	003_029	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_37	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx82	003_030	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_37	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx83	003_031	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_37	3	F	agouti	hemi	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx84	003_032	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_37	3	F	agouti	WT	ST_4B	17	2019-11-07	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx85	003_033	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_38	3	M	agouti	hemi	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx86	003_034	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_38	3	M	agouti	hemi	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx87	003_036	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_39	3	M	agouti	hemi	ST_2B	10	2019-11-05	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx88	003_037	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_39	3	M	agouti	hemi	ST_2B	10	2019-11-05	2020-01-29	Hu-PFF	19L03s
sub-MCHxSYNx89	003_038	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_40	3	F	agouti	WT	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx90	003_039	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_40	3	F	agouti	hemi	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx91	003_040	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_40	3	F	agouti	hemi	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx92	003_041	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_40	3	F	agouti	WT	ST_2B	10	2019-11-05	2020-01-30	Ms-PFF	m19L03s
sub-MCHxSYNx93	003_043	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_42	3	M	agouti	hemi	ST_3B	4	2019-11-12	2020-01-30	Hu-PFF	19L03s
sub-MCHxSYNx94	003_044	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_43	3	F	agouti	hemi	ST_3B	4	2019-11-12	2020-01-29	PBS	n/a
sub-MCHxSYNx95	003_047	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_42	3	M	agouti	hemi	ST_3B	4	2019-11-12	2020-01-30	Hu-PFF	19L03s
sub-MCHxSYNx96	005_001	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_46	5	M	agouti	hemi	ST_1B	19	2019-12-01	2020-02-15	PBS	n/a
sub-MCHxSYNx97	005_002	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_46	5	M	agouti	hemi	ST_1B	19	2019-12-01	2020-02-15	PBS	n/a
sub-MCHxSYNx98	005_003	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_46	5	M	black	hemi	ST_1B	19	2019-12-01	2020-02-15	PBS	n/a
sub-MCHxSYNx99	005_005	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_47	5	F	agouti	WT	ST_1B	19	2019-12-01	2020-02-15	Ms-PFF	m19L03s
sub-MCHxSYNx100	005_006	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_47	5	F	agouti	WT	ST_1B	19	2019-12-01	2020-02-15	Hu-PFF	19L03s
sub-MCHxSYNx101	005_007	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_47	5	F	agouti	hemi	ST_1B	19	2019-12-01	2020-02-15	Hu-PFF	19L03s
sub-MCHxSYNx102	005_008	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_48	5	F	agouti	hemi	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx103	005_009	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_48	5	F	black	hemi	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx104	005_010	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_48	5	F	agouti	hemi	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx105	005_012	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_49	5	M	agouti	WT	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx106	005_013	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_49	5	M	agouti	hemi	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx107	005_015	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_49	5	M	black	WT	ST_1B	19	2019-12-01	2020-02-16	PBS	n/a
sub-MCHxSYNx108	005_016	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_50	5	M	agouti	hemi	ST_1B	19	2019-12-01	2020-02-15	Hu-PFF	19L03s
sub-MCHxSYNx380	005_017	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_50	5	M	agouti	WT	ST_1B	19	2019-12-01	2020-02-15	Hu-PFF	19L03s
sub-MCHxSYNx109	005_018	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_50	5	M	agouti	hemi	ST_1B	19	2019-12-01	n/a	n/a	n/a
sub-MCHxSYNx110	005_020	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_51	5	F	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Hu-PFF	19L03s
sub-MCHxSYNx381	005_021	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_51	5	F	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Hu-PFF	19L03s
sub-MCHxSYNx111	005_022	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_51	5	F	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Hu-PFF	19L03s
sub-MCHxSYNx112	005_023	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_51	5	F	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Hu-PFF	19L03s
sub-MCHxSYNx113	005_024	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_52	5	M	agouti	WT	ST_4B	8	2019-11-29	2020-02-16	Ms-PFF	m19L03s
sub-MCHxSYNx114	005_025	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_52	5	M	agouti	hemi	ST_4B	8	2019-11-29	n/a	n/a	n/a
sub-MCHxSYNx115	005_026	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_52	5	M	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Ms-PFF	m19L03s
sub-MCHxSYNx116	005_027	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_52	5	M	agouti	hemi	ST_4B	8	2019-11-29	2020-02-16	Hu-PFF	19L03s
sub-MCHxSYNx117	005_028	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_53	5	F	agouti	hemi	ST_3B	8	2019-12-01	2020-02-15	PBS	n/a
sub-MCHxSYNx118	005_029	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_53	5	F	agouti	WT	ST_3B	8	2019-12-01	2020-02-15	PBS	n/a
sub-MCHxSYNx119	005_032	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_54	5	F	agouti	hemi	ST_3B	8	2019-12-01	2020-02-15	Ms-PFF	m19L03s
sub-MCHxSYNx120	005_033	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_54	5	F	agouti	hemi	ST_3B	8	2019-12-01	2020-02-15	Ms-PFF	m19L03s
sub-MCHxSYNx121	005_034	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_54	5	F	agouti	hemi	ST_3B	8	2019-12-01	2020-02-15	Ms-PFF	m19L03s
sub-MCHxSYNx122	005_035	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_55	5	M	agouti	WT	ST_3B	8	2019-12-01	2020-02-16	Ms-PFF	m19L03s
sub-MCHxSYNx123	005_036	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_56C	5	M	agouti	hemi	ST_2B	8	2019-12-08	n/a	n/a	n/a
sub-MCHxSYNx124	005_037	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_56B	5	M	agouti	WT	ST_2B	8	2019-12-08	n/a	n/a	n/a
sub-MCHxSYNx125	005_038	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_56	5	M	agouti	hemi	ST_2B	8	2019-12-08	n/a	n/a	n/a
sub-MCHxSYNx126	005_041	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_57	5	F	agouti	hemi	ST_2B	8	2019-12-08	2020-02-15	Ms-PFF	m19L03s
sub-MCHxSYNx127	006_001	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_59	6	M	agouti	hemi	ST_2B	8	2019-12-16	2020-03-07	PBS	n/a
sub-MCHxSYNx128	006_002	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_59	6	M	agouti	WT	ST_2B	8	2019-12-16	2020-03-07	Hu-PFF	19L03s
sub-MCHxSYNx129	006_003	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_59	6	M	agouti	hemi	ST_2B	8	2019-12-16	2020-03-07	PBS	n/a
sub-MCHxSYNx130	006_004	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_60A	6	F	agouti	hemi	ST_2B	8	2019-12-16	2020-03-07	PBS	n/a
sub-MCHxSYNx131	006_005	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_60A	6	F	agouti	hemi	ST_2B	8	2019-12-16	2020-03-07	PBS	n/a
sub-MCHxSYNx132	006_006	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_60A	6	F	agouti	hemi	ST_2B	8	2019-12-16	2020-03-07	PBS	n/a
sub-MCHxSYNx389	006_009	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_61	6	F	agouti	hemi	ST_4B	15	2019-12-17	2020-03-07	Ms-PFF	m19L03s
sub-MCHxSYNx390	006_010	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_61	6	F	agouti	hemi	ST_4B	15	2019-12-17	2020-03-07	Ms-PFF	m19L03s
sub-MCHxSYNx391	006_011	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_61	6	F	agouti	WT	ST_4B	15	2019-12-17	2020-03-07	Ms-PFF	m19L03s
sub-MCHxSYNx392	006_012	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_62	6	F	agouti	hemi	ST_4B	15	2019-12-17	2020-03-07	Ms-PFF	m19L03s
