onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
159.26000710561948	1.2416327107212055	27STIM036neutral	neutral	36.0	21.0	male	east_asian/white	0.2578127161441838	0.0	n/a	n/a	0.5450000000000002	-2.1125	1.0075
164.26820392342506	1.2332952294245842	28STIM005smiling	smiling	5.0	28.0	male	east_asian	-1.728862938720525	0.0	n/a	n/a	-3.0	-3.0525	-0.3324999999999999
169.26805843028615	1.2333257165764735	29STIM066smiling	smiling	66.0	22.0	female	west_asian	0.5833040639753622	0.0	n/a	n/a	2.125	2.1400000000000006	2.13
174.2679210871784	1.23331273689746	30STIM030neutral	neutral	30.0	24.0	female	east_asian	1.1851176546594768	1.0	n/a	n/a	1.1224999999999998	0.6675	0.44500000000000006
177.50119518689368	1.9999459683158418	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
178.3846059807338	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
183.25933276605159	1.2416565571065803	31STIM043neutral	neutral	43.0	20.0	male	black	-0.6532379727915241	0.0	n/a	n/a	0.5775000000000001	-1.1400000000000001	0.5625
188.25930590113603	1.2415481918851583	32STIM044smiling	smiling	44.0	22.0	male	black	-0.4919145457141485	0.0	n/a	n/a	3.465	-1.145	-1.29
193.25911965784417	1.2416133921296932	33STIM042neutral	neutral	42.0	27.0	male	black	0.3094199585593654	0.0	n/a	n/a	2.4825	-0.7925000000000001	1.3449999999999998
198.2672826681155	1.2333015683370832	34STIM082neutral	neutral	82.0	20.0	male	black	-0.14529267342950994	0.0	n/a	n/a	1.0475	-0.46499999999999997	0.6725
203.26712932679857	1.2333172646931416	35STIM100smiling	smiling	100.0	19.0	female	white	1.0717442638418748	0.0	n/a	n/a	-0.45499999999999996	-1.54	2.6975
208.2669965114856	1.2333293388119273	36STIM038smiling	smiling	38.0	40.0	female	west_asian	-1.706919701788086	1.0	n/a	n/a	-0.9400000000000001	0.29249999999999987	-0.265
211.50027423343727	1.9999429497856909	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
212.64510691783653	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
217.26676589580532	1.2332955312776903	37STIM137neutral	neutral	137.0	21.0	male	black	-0.2854855760534262	0.0	n/a	n/a	1.21	-0.08250000000000002	0.7825000000000001
222.26661436560607	1.2333190758108683	38STIM027neutral	neutral	27.0	26.0	female	white	1.6394239304088636	0.0	n/a	n/a	0.13249999999999987	0.6524999999999999	1.1575
227.25816489685258	1.241631201456585	39STIM100neutral	neutral	100.0	19.0	female	white	1.0717442638418748	0.0	n/a	n/a	-0.45499999999999996	-1.54	2.6975
