onset	duration	category
4181879	n/a	MRI_trigger
4192379	n/a	MRI_trigger
4202879	n/a	MRI_trigger
4213379	n/a	MRI_trigger
4223879	n/a	MRI_trigger
4234379	n/a	MRI_trigger
4244879	n/a	MRI_trigger
4255379	n/a	MRI_trigger
4265879	n/a	MRI_trigger
4276379	n/a	MRI_trigger
4286879	n/a	MRI_trigger
4297379	n/a	MRI_trigger
4307879	n/a	MRI_trigger
4318379	n/a	MRI_trigger
4328879	n/a	MRI_trigger
4339379	n/a	MRI_trigger
4349879	n/a	MRI_trigger
4360379	n/a	MRI_trigger
4370879	n/a	MRI_trigger
4381379	n/a	MRI_trigger
4391879	n/a	MRI_trigger
4402379	n/a	MRI_trigger
4412879	n/a	MRI_trigger
4423379	n/a	MRI_trigger
4433879	n/a	MRI_trigger
4444379	n/a	MRI_trigger
4454879	n/a	MRI_trigger
4465379	n/a	MRI_trigger
4475879	n/a	MRI_trigger
4486379	n/a	MRI_trigger
4496879	n/a	MRI_trigger
4507379	n/a	MRI_trigger
4517879	n/a	MRI_trigger
4528379	n/a	MRI_trigger
4538879	n/a	MRI_trigger
4549379	n/a	MRI_trigger
4559879	n/a	MRI_trigger
4570379	n/a	MRI_trigger
4580879	n/a	MRI_trigger
4591379	n/a	MRI_trigger
4601879	n/a	MRI_trigger
4612379	n/a	MRI_trigger
4622879	n/a	MRI_trigger
4633379	n/a	MRI_trigger
4643879	n/a	MRI_trigger
4654379	n/a	MRI_trigger
4664879	n/a	MRI_trigger
4675379	n/a	MRI_trigger
4685879	n/a	MRI_trigger
4696379	n/a	MRI_trigger
4706879	n/a	MRI_trigger
4717379	n/a	MRI_trigger
4727879	n/a	MRI_trigger
4738379	n/a	MRI_trigger
4748879	n/a	MRI_trigger
4759379	n/a	MRI_trigger
4769879	n/a	MRI_trigger
4780379	n/a	MRI_trigger
4790879	n/a	MRI_trigger
4801379	n/a	MRI_trigger
4811879	n/a	MRI_trigger
4822379	n/a	MRI_trigger
4832879	n/a	MRI_trigger
4843379	n/a	MRI_trigger
4853879	n/a	MRI_trigger
4864379	n/a	MRI_trigger
4874879	n/a	MRI_trigger
4885379	n/a	MRI_trigger
4895879	n/a	MRI_trigger
4906379	n/a	MRI_trigger
4916879	n/a	MRI_trigger
4927379	n/a	MRI_trigger
4937879	n/a	MRI_trigger
4948379	n/a	MRI_trigger
4958879	n/a	MRI_trigger
4969379	n/a	MRI_trigger
4979879	n/a	MRI_trigger
4990379	n/a	MRI_trigger
5000879	n/a	MRI_trigger
5011379	n/a	MRI_trigger
5021879	n/a	MRI_trigger
5032379	n/a	MRI_trigger
5042879	n/a	MRI_trigger
5053379	n/a	MRI_trigger
5063879	n/a	MRI_trigger
5074379	n/a	MRI_trigger
5084879	n/a	MRI_trigger
5095379	n/a	MRI_trigger
5105879	n/a	MRI_trigger
5116379	n/a	MRI_trigger
5126879	n/a	MRI_trigger
5137379	n/a	MRI_trigger
5147879	n/a	MRI_trigger
5158379	n/a	MRI_trigger
5168879	n/a	MRI_trigger
5179379	n/a	MRI_trigger
5189879	n/a	MRI_trigger
5200379	n/a	MRI_trigger
5210879	n/a	MRI_trigger
5221379	n/a	MRI_trigger
5231879	n/a	MRI_trigger
5242379	n/a	MRI_trigger
5252879	n/a	MRI_trigger
5263379	n/a	MRI_trigger
5273879	n/a	MRI_trigger
5284379	n/a	MRI_trigger
5294879	n/a	MRI_trigger
5305379	n/a	MRI_trigger
5315879	n/a	MRI_trigger
5326379	n/a	MRI_trigger
5336879	n/a	MRI_trigger
5347379	n/a	MRI_trigger
5357879	n/a	MRI_trigger
5368379	n/a	MRI_trigger
5378879	n/a	MRI_trigger
5389379	n/a	MRI_trigger
5399879	n/a	MRI_trigger
5410379	n/a	MRI_trigger
5420879	n/a	MRI_trigger
5431379	n/a	MRI_trigger
5441879	n/a	MRI_trigger
5452379	n/a	MRI_trigger
5462879	n/a	MRI_trigger
5473379	n/a	MRI_trigger
5483879	n/a	MRI_trigger
5494379	n/a	MRI_trigger
5504879	n/a	MRI_trigger
5515379	n/a	MRI_trigger
5525879	n/a	MRI_trigger
5536379	n/a	MRI_trigger
5546879	n/a	MRI_trigger
5557379	n/a	MRI_trigger
5567879	n/a	MRI_trigger
5578379	n/a	MRI_trigger
5588879	n/a	MRI_trigger
5599379	n/a	MRI_trigger
5609879	n/a	MRI_trigger
5620379	n/a	MRI_trigger
5630879	n/a	MRI_trigger
5641379	n/a	MRI_trigger
5651879	n/a	MRI_trigger
5662379	n/a	MRI_trigger
5672879	n/a	MRI_trigger
5683379	n/a	MRI_trigger
5693879	n/a	MRI_trigger
5704379	n/a	MRI_trigger
5714879	n/a	MRI_trigger
5725379	n/a	MRI_trigger
5735879	n/a	MRI_trigger
5746379	n/a	MRI_trigger
5756879	n/a	MRI_trigger
5767379	n/a	MRI_trigger
5777879	n/a	MRI_trigger
5788379	n/a	MRI_trigger
5798879	n/a	MRI_trigger
5809379	n/a	MRI_trigger
5819879	n/a	MRI_trigger
5830379	n/a	MRI_trigger
5840879	n/a	MRI_trigger
5851379	n/a	MRI_trigger
5861879	n/a	MRI_trigger
5872379	n/a	MRI_trigger
5882879	n/a	MRI_trigger
5893379	n/a	MRI_trigger
5903879	n/a	MRI_trigger
5914379	n/a	MRI_trigger
5924879	n/a	MRI_trigger
5935379	n/a	MRI_trigger
5945879	n/a	MRI_trigger
5956379	n/a	MRI_trigger
5966879	n/a	MRI_trigger
5977379	n/a	MRI_trigger
5987879	n/a	MRI_trigger
5998379	n/a	MRI_trigger
6008879	n/a	MRI_trigger
6019379	n/a	MRI_trigger
6029879	n/a	MRI_trigger
6040379	n/a	MRI_trigger
6050879	n/a	MRI_trigger
6061379	n/a	MRI_trigger
6071879	n/a	MRI_trigger
6082379	n/a	MRI_trigger
6092879	n/a	MRI_trigger
6103379	n/a	MRI_trigger
6113879	n/a	MRI_trigger
6124379	n/a	MRI_trigger
6134879	n/a	MRI_trigger
6145379	n/a	MRI_trigger
6155879	n/a	MRI_trigger
6166379	n/a	MRI_trigger
6176879	n/a	MRI_trigger
6187379	n/a	MRI_trigger
6197879	n/a	MRI_trigger
6208379	n/a	MRI_trigger
6218879	n/a	MRI_trigger
6229379	n/a	MRI_trigger
6239879	n/a	MRI_trigger
6250379	n/a	MRI_trigger
6260879	n/a	MRI_trigger
6271379	n/a	MRI_trigger
6281879	n/a	MRI_trigger
6292379	n/a	MRI_trigger
6302879	n/a	MRI_trigger
6313379	n/a	MRI_trigger
6323879	n/a	MRI_trigger
6334379	n/a	MRI_trigger
6344879	n/a	MRI_trigger
6355379	n/a	MRI_trigger
6365879	n/a	MRI_trigger
6376379	n/a	MRI_trigger
6386879	n/a	MRI_trigger
6397379	n/a	MRI_trigger
6407879	n/a	MRI_trigger
6418379	n/a	MRI_trigger
6428879	n/a	MRI_trigger
6439379	n/a	MRI_trigger
6449879	n/a	MRI_trigger
6460379	n/a	MRI_trigger
6470879	n/a	MRI_trigger
6481379	n/a	MRI_trigger
6491879	n/a	MRI_trigger
6502379	n/a	MRI_trigger
6512879	n/a	MRI_trigger
6523379	n/a	MRI_trigger
6533879	n/a	MRI_trigger
6544379	n/a	MRI_trigger
6554879	n/a	MRI_trigger
6565379	n/a	MRI_trigger
6575879	n/a	MRI_trigger
6586379	n/a	MRI_trigger
6596879	n/a	MRI_trigger
6607379	n/a	MRI_trigger
6617879	n/a	MRI_trigger
6628379	n/a	MRI_trigger
6638879	n/a	MRI_trigger
6649379	n/a	MRI_trigger
6659879	n/a	MRI_trigger
6670379	n/a	MRI_trigger
6680879	n/a	MRI_trigger
6691379	n/a	MRI_trigger
6701879	n/a	MRI_trigger
6712379	n/a	MRI_trigger
6722879	n/a	MRI_trigger
6733379	n/a	MRI_trigger
6743879	n/a	MRI_trigger
6754379	n/a	MRI_trigger
6764879	n/a	MRI_trigger
6775379	n/a	MRI_trigger
6785879	n/a	MRI_trigger
6796379	n/a	MRI_trigger
6806879	n/a	MRI_trigger
6817379	n/a	MRI_trigger
6827879	n/a	MRI_trigger
6838379	n/a	MRI_trigger
6848879	n/a	MRI_trigger
6859379	n/a	MRI_trigger
6869879	n/a	MRI_trigger
6880379	n/a	MRI_trigger
6890879	n/a	MRI_trigger
6901379	n/a	MRI_trigger
6911879	n/a	MRI_trigger
6922379	n/a	MRI_trigger
6932879	n/a	MRI_trigger
6943379	n/a	MRI_trigger
6953879	n/a	MRI_trigger
6964379	n/a	MRI_trigger
6974879	n/a	MRI_trigger
6985379	n/a	MRI_trigger
6995879	n/a	MRI_trigger
7006379	n/a	MRI_trigger
7016879	n/a	MRI_trigger
7027379	n/a	MRI_trigger
7037879	n/a	MRI_trigger
7048379	n/a	MRI_trigger
7058879	n/a	MRI_trigger
7069379	n/a	MRI_trigger
7079879	n/a	MRI_trigger
7090379	n/a	MRI_trigger
7100879	n/a	MRI_trigger
7111379	n/a	MRI_trigger
7121879	n/a	MRI_trigger
7132379	n/a	MRI_trigger
7142879	n/a	MRI_trigger
7153379	n/a	MRI_trigger
7163879	n/a	MRI_trigger
7174379	n/a	MRI_trigger
7184879	n/a	MRI_trigger
7195379	n/a	MRI_trigger
7205879	n/a	MRI_trigger
7216379	n/a	MRI_trigger
7226879	n/a	MRI_trigger
7237379	n/a	MRI_trigger
7247879	n/a	MRI_trigger
7258379	n/a	MRI_trigger
7268879	n/a	MRI_trigger
7279379	n/a	MRI_trigger
7289879	n/a	MRI_trigger
7300379	n/a	MRI_trigger
7310879	n/a	MRI_trigger
7321379	n/a	MRI_trigger
7331879	n/a	MRI_trigger
7342379	n/a	MRI_trigger
7352879	n/a	MRI_trigger
7363379	n/a	MRI_trigger
7373879	n/a	MRI_trigger
7384379	n/a	MRI_trigger
7394879	n/a	MRI_trigger
7405379	n/a	MRI_trigger
7415879	n/a	MRI_trigger
7426379	n/a	MRI_trigger
7436879	n/a	MRI_trigger
7447379	n/a	MRI_trigger
7457879	n/a	MRI_trigger
7468379	n/a	MRI_trigger
7478879	n/a	MRI_trigger
7489379	n/a	MRI_trigger
7499879	n/a	MRI_trigger
7510379	n/a	MRI_trigger
7520879	n/a	MRI_trigger
7531379	n/a	MRI_trigger
7541879	n/a	MRI_trigger
7552379	n/a	MRI_trigger
7562879	n/a	MRI_trigger
7573379	n/a	MRI_trigger
7583879	n/a	MRI_trigger
7594379	n/a	MRI_trigger
7604879	n/a	MRI_trigger
7615379	n/a	MRI_trigger
7625879	n/a	MRI_trigger
7636379	n/a	MRI_trigger
7646879	n/a	MRI_trigger
7657379	n/a	MRI_trigger
7667879	n/a	MRI_trigger
7678379	n/a	MRI_trigger
7688879	n/a	MRI_trigger
7699379	n/a	MRI_trigger
7709879	n/a	MRI_trigger
7720379	n/a	MRI_trigger
7730879	n/a	MRI_trigger
7741379	n/a	MRI_trigger
7751879	n/a	MRI_trigger
7762379	n/a	MRI_trigger
7772879	n/a	MRI_trigger
7783379	n/a	MRI_trigger
7793879	n/a	MRI_trigger
7804379	n/a	MRI_trigger
7814879	n/a	MRI_trigger
7825379	n/a	MRI_trigger
7835879	n/a	MRI_trigger
7846379	n/a	MRI_trigger
7856879	n/a	MRI_trigger
7867379	n/a	MRI_trigger
7877879	n/a	MRI_trigger
7888379	n/a	MRI_trigger
7898879	n/a	MRI_trigger
7909379	n/a	MRI_trigger
7919879	n/a	MRI_trigger
7930379	n/a	MRI_trigger
7940879	n/a	MRI_trigger
7951379	n/a	MRI_trigger
7961879	n/a	MRI_trigger
7972379	n/a	MRI_trigger
7982879	n/a	MRI_trigger
7993379	n/a	MRI_trigger
8003879	n/a	MRI_trigger
8014379	n/a	MRI_trigger
8024879	n/a	MRI_trigger
8035379	n/a	MRI_trigger
8045879	n/a	MRI_trigger
8056379	n/a	MRI_trigger
8066879	n/a	MRI_trigger
8077379	n/a	MRI_trigger
8087879	n/a	MRI_trigger
8098379	n/a	MRI_trigger
8108879	n/a	MRI_trigger
8119379	n/a	MRI_trigger
8129879	n/a	MRI_trigger
8140379	n/a	MRI_trigger
8150879	n/a	MRI_trigger
8161379	n/a	MRI_trigger
8171879	n/a	MRI_trigger
8182379	n/a	MRI_trigger
8192879	n/a	MRI_trigger
8203379	n/a	MRI_trigger
8213879	n/a	MRI_trigger
8224379	n/a	MRI_trigger
8234879	n/a	MRI_trigger
8245379	n/a	MRI_trigger
8255879	n/a	MRI_trigger
8266379	n/a	MRI_trigger
8276879	n/a	MRI_trigger
8287379	n/a	MRI_trigger
8297879	n/a	MRI_trigger
8308379	n/a	MRI_trigger
8318879	n/a	MRI_trigger
8329379	n/a	MRI_trigger
8339879	n/a	MRI_trigger
8350379	n/a	MRI_trigger
8360879	n/a	MRI_trigger
8371379	n/a	MRI_trigger
8381879	n/a	MRI_trigger
8392379	n/a	MRI_trigger
8402879	n/a	MRI_trigger
8413379	n/a	MRI_trigger
8423879	n/a	MRI_trigger
8434379	n/a	MRI_trigger
8444879	n/a	MRI_trigger
8455379	n/a	MRI_trigger
8465879	n/a	MRI_trigger
8476379	n/a	MRI_trigger
8486879	n/a	MRI_trigger
8497379	n/a	MRI_trigger
8507879	n/a	MRI_trigger
8518379	n/a	MRI_trigger
8528879	n/a	MRI_trigger
8539379	n/a	MRI_trigger
8549879	n/a	MRI_trigger
8560379	n/a	MRI_trigger
8570879	n/a	MRI_trigger
8581379	n/a	MRI_trigger
8591879	n/a	MRI_trigger
8602379	n/a	MRI_trigger
8612879	n/a	MRI_trigger
8623379	n/a	MRI_trigger
8633879	n/a	MRI_trigger
8644379	n/a	MRI_trigger
8654879	n/a	MRI_trigger
8665379	n/a	MRI_trigger
8675879	n/a	MRI_trigger
8686379	n/a	MRI_trigger
8696879	n/a	MRI_trigger
8707379	n/a	MRI_trigger
8717879	n/a	MRI_trigger
8728379	n/a	MRI_trigger
8738879	n/a	MRI_trigger
8749379	n/a	MRI_trigger
8759879	n/a	MRI_trigger
8770379	n/a	MRI_trigger
8780879	n/a	MRI_trigger
8791379	n/a	MRI_trigger
8801879	n/a	MRI_trigger
8812379	n/a	MRI_trigger
8822879	n/a	MRI_trigger
8833379	n/a	MRI_trigger
8843879	n/a	MRI_trigger
8854379	n/a	MRI_trigger
8864879	n/a	MRI_trigger
8875379	n/a	MRI_trigger
8885879	n/a	MRI_trigger
8896379	n/a	MRI_trigger
8906879	n/a	MRI_trigger
8917379	n/a	MRI_trigger
8927879	n/a	MRI_trigger
8938379	n/a	MRI_trigger
8948879	n/a	MRI_trigger
8959379	n/a	MRI_trigger
8969879	n/a	MRI_trigger
8980379	n/a	MRI_trigger
8990879	n/a	MRI_trigger
9001379	n/a	MRI_trigger
9011879	n/a	MRI_trigger
9022379	n/a	MRI_trigger
9032879	n/a	MRI_trigger
9043379	n/a	MRI_trigger
9053879	n/a	MRI_trigger
9064379	n/a	MRI_trigger
9074879	n/a	MRI_trigger
9085379	n/a	MRI_trigger
9095879	n/a	MRI_trigger
9106379	n/a	MRI_trigger
9116879	n/a	MRI_trigger
9127379	n/a	MRI_trigger
9137879	n/a	MRI_trigger
9148379	n/a	MRI_trigger
9158879	n/a	MRI_trigger
9169379	n/a	MRI_trigger
9179879	n/a	MRI_trigger
9190379	n/a	MRI_trigger
9200879	n/a	MRI_trigger
9211379	n/a	MRI_trigger
9221879	n/a	MRI_trigger
9232379	n/a	MRI_trigger
9242879	n/a	MRI_trigger
9253379	n/a	MRI_trigger
9263879	n/a	MRI_trigger
9274379	n/a	MRI_trigger
9284879	n/a	MRI_trigger
9295379	n/a	MRI_trigger
9305879	n/a	MRI_trigger
9316379	n/a	MRI_trigger
9326879	n/a	MRI_trigger
9337379	n/a	MRI_trigger
9347879	n/a	MRI_trigger
9358379	n/a	MRI_trigger
9368879	n/a	MRI_trigger
9379379	n/a	MRI_trigger
9389879	n/a	MRI_trigger
9400379	n/a	MRI_trigger
9410879	n/a	MRI_trigger
9421379	n/a	MRI_trigger
9431879	n/a	MRI_trigger
