onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
150.016	2.000	scene	1.402	localizer	strong unrelated	26	1	5	152	208	150.0	n/a
154.015	2.000	scene	1.074	localizer	strong unrelated	27	1	5	153	209	154.0	n/a
158.015	2.000	scene	0.938	localizer	strong unrelated	28	1	5	154	210	158.0	n/a
162.015	2.000	scene	1.602	localizer	strong unrelated	29	1	5	155	211	162.0	n/a
166.015	2.000	scene	1.587	localizer	strong unrelated	30	1	5	156	212	166.0	n/a
170.053	1.720	correct	1.720	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
172.282	0.868	correct	0.868	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
173.665	0.828	correct	0.828	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
175.015	0.734	correct	0.734	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
176.265	0.940	correct	0.940	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
177.714	0.016	correct	0.016	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
178.266	0.699	correct	0.699	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
179.481	0.900	correct	0.900	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
180.897	0.100	incorrect	0.100	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
182.013	2.000	face	2.644	localizer	weak unrelated	31	1	6	7	7	182.0	n/a
186.013	2.000	face	2.941	localizer	weak unrelated	32	1	6	8	8	186.0	n/a
190.012	2.000	face	2.596	localizer	strong unrelated	33	1	6	9	9	190.0	n/a
194.012	2.000	face	1.852	localizer	strong unrelated	34	1	6	10	10	194.0	n/a
198.012	2.000	face	1.948	localizer	strong unrelated	35	1	6	11	11	198.0	n/a
202.011	2.000	face	1.734	localizer	strong unrelated	36	1	6	12	12	202.0	n/a
206.051	1.193	correct	1.193	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
207.762	0.842	correct	0.842	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
209.112	0.652	correct	0.652	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
210.278	0.598	correct	0.598	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
211.395	0.713	correct	0.713	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
212.628	1.064	correct	1.064	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
214.211	0.841	correct	0.841	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
215.561	0.947	correct	0.947	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
217.027	0.100	incorrect	0.100	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
218.010	2.000	scene	3.118	localizer	weak unrelated	37	1	7	157	213	218.0	n/a
222.009	2.000	scene	1.590	localizer	strong unrelated	38	1	7	158	214	222.0	n/a
226.009	2.000	scene	2.366	localizer	strong unrelated	39	1	7	159	215	226.0	n/a
230.009	2.000	scene	2.751	localizer	strong unrelated	40	1	7	160	216	230.0	n/a
234.008	2.000	scene	3.151	localizer	strong unrelated	41	1	7	161	217	234.0	n/a
238.008	2.000	scene	2.063	localizer	strong unrelated	42	1	7	162	218	238.0	n/a
242.047	1.315	correct	1.315	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
243.876	2.855	correct	2.855	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
247.241	0.946	correct	0.946	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
248.708	0.799	correct	0.799	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
250.025	0.562	correct	0.562	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
251.108	0.704	correct	0.704	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
252.324	0.217	incorrect	0.217	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
254.023	2.000	face	2.751	localizer	weak unrelated	43	1	8	13	13	254.0	n/a
258.023	2.000	face	1.640	localizer	strong unrelated	44	1	8	14	14	258.0	n/a
262.023	2.000	face	1.624	localizer	strong unrelated	45	1	8	15	15	262.0	n/a
266.022	2.000	face	1.216	localizer	strong unrelated	46	1	8	16	16	266.0	n/a
270.022	2.000	face	1.424	localizer	strong unrelated	47	1	8	17	17	270.0	n/a
274.022	2.000	face	1.200	localizer	strong unrelated	48	1	8	18	18	274.0	n/a
278.061	1.165	correct	1.165	grate	n/a	48	1	n/a	n/a	n/a	n/a	right
279.739	0.790	correct	0.790	grate	n/a	48	1	n/a	n/a	n/a	n/a	left
281.039	5.219	correct	5.219	grate	n/a	48	1	n/a	n/a	n/a	n/a	left
286.771	1.166	correct	1.166	grate	n/a	48	1	n/a	n/a	n/a	n/a	left
288.455	0.100	incorrect	0.100	grate	n/a	48	1	n/a	n/a	n/a	n/a	left
290.020	2.000	object	1.522	localizer	strong unrelated	49	1	9	85	113	290.0	n/a
294.020	2.000	object	2.353	localizer	weak unrelated	50	1	9	86	114	294.0	n/a
298.019	2.000	object	2.498	localizer	strong unrelated	51	1	9	87	115	298.0	n/a
302.019	2.000	object	1.571	localizer	strong unrelated	52	1	9	88	116	302.0	n/a
306.019	2.000	object	1.698	localizer	strong unrelated	53	1	9	89	117	306.0	n/a
310.018	2.000	object	1.626	localizer	strong unrelated	54	1	9	90	118	310.0	n/a
314.057	1.304	correct	1.304	grate	n/a	54	1	n/a	n/a	n/a	n/a	right
315.869	0.684	correct	0.684	grate	n/a	54	1	n/a	n/a	n/a	n/a	left
317.069	0.676	correct	0.676	grate	n/a	54	1	n/a	n/a	n/a	n/a	left
318.268	0.540	correct	0.540	grate	n/a	54	1	n/a	n/a	n/a	n/a	left
319.318	5.233	incorrect	5.233	grate	n/a	54	1	n/a	n/a	n/a	n/a	right
