onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
926.865	1.752	fixations	n/a	n/a	n/a	n/a	n/a
928.825	3	intro&rest	n/a	n/a	n/a	n/a	n/a
931.863	5	intro&rest	n/a	n/a	n/a	n/a	n/a
936.715	17.902	accuracyrating	954.714	3	1	R	3
957.747	1.619	fixations	n/a	n/a	n/a	n/a	n/a
959.464	17.902	accuracyrating	977.464	3	31	F	4
980.497	2.32	fixations	n/a	n/a	n/a	n/a	n/a
982.93	17.887	accuracyrating	1000.913	3	4	R	5
1003.946	2.657	fixations	n/a	n/a	n/a	n/a	n/a
1006.696	17.907	accuracyrating	1024.695	3	38	F	4
1027.729	1.997	fixations	n/a	n/a	n/a	n/a	n/a
1029.812	17.914	accuracyrating	1047.828	3	96	R	5
1050.861	1.295	fixations	n/a	n/a	n/a	n/a	n/a
1052.261	17.895	accuracyrating	1070.261	3	95	R	5
1073.294	1.374	fixations	n/a	n/a	n/a	n/a	n/a
1074.777	17.891	accuracyrating	1092.777	3	25	R	5
1095.81	2.333	fixations	n/a	n/a	n/a	n/a	n/a
1098.243	17.9	accuracyrating	1116.243	3	15	R	4
1119.276	2.409	fixations	n/a	n/a	n/a	n/a	n/a
1121.793	17.892	accuracyrating	1139.792	3	32	F	2
1142.825	1.758	fixations	n/a	n/a	n/a	n/a	n/a
1144.675	17.908	accuracyrating	1162.675	3	47	F	2
1165.708	2.499	fixations	n/a	n/a	n/a	n/a	n/a
1168.325	17.882	accuracyrating	1186.308	3	106	R	4
1189.341	2.118	fixations	n/a	n/a	n/a	n/a	n/a
1191.557	17.902	accuracyrating	1209.557	3	86	F	4
1212.59	1.788	fixations	n/a	n/a	n/a	n/a	n/a
1214.473	17.905	accuracyrating	1232.473	3	12	R	6
1235.506	1.653	fixations	n/a	n/a	n/a	n/a	n/a
1237.256	17.903	accuracyrating	1255.255	3	79	F	4
1258.289	2.248	fixations	n/a	n/a	n/a	n/a	n/a
1260.639	17.898	accuracyrating	1278.638	3	81	F	2
1281.671	1.427	fixations	n/a	n/a	n/a	n/a	n/a
1283.188	17.91	accuracyrating	1301.187	3	26	R	3
1304.121	2.199	fixations	n/a	n/a	n/a	n/a	n/a
1306.421	17.899	accuracyrating	1324.42	3	64	F	4
1327.453	1.525	fixations	n/a	n/a	n/a	n/a	n/a
1329.087	17.891	accuracyrating	1347.086	3	55	F	4
1350.119	1.764	fixations	n/a	n/a	n/a	n/a	n/a
1351.986	17.897	accuracyrating	1369.985	3	70	F	1
1373.019	2.391	fixations	n/a	n/a	n/a	n/a	n/a
1375.519	17.891	accuracyrating	1393.518	3	9	R	4
1396.551	1.954	fixations	n/a	n/a	n/a	n/a	n/a
1398.566	3	intro&rest	n/a	n/a	n/a	n/a	n/a
1401.566	4.97	intro&rest	n/a	n/a	n/a	n/a	n/a
1406.601	17.904	sharingrating2	1424.601	3	3	R	4
1427.634	1.894	fixations	n/a	n/a	n/a	n/a	n/a
1429.634	17.894	sharingrating2	1447.633	3	5	R	4
1450.666	2.285	fixations	n/a	n/a	n/a	n/a	n/a
1453.034	17.917	sharingrating2	1471.049	3	6	R	2
1474.082	1.524	fixations	n/a	n/a	n/a	n/a	n/a
1475.699	17.907	sharingrating2	1493.699	3	10	R	1
1496.732	2.371	fixations	n/a	n/a	n/a	n/a	n/a
1499.198	17.905	sharingrating2	1517.198	3	14	R	2
1520.231	1.804	fixations	n/a	n/a	n/a	n/a	n/a
1522.131	17.904	sharingrating2	1540.147	3	16	R	3
1543.18	2.315	fixations	n/a	n/a	n/a	n/a	n/a
1545.597	17.898	sharingrating2	1563.596	3	20	R	2
1566.63	1.855	fixations	n/a	n/a	n/a	n/a	n/a
1568.596	17.889	sharingrating2	1586.579	3	30	R	5
1589.612	2.627	fixations	n/a	n/a	n/a	n/a	n/a
1592.346	17.893	sharingrating2	1610.345	3	99	R	2
1613.378	2.397	fixations	n/a	n/a	n/a	n/a	n/a
1615.878	17.897	sharingrating2	1633.878	3	101	R	4
1636.911	1.356	fixations	n/a	n/a	n/a	n/a	n/a
1638.378	17.889	sharingrating2	1656.36	3	34	F	2
1659.394	1.969	fixations	n/a	n/a	n/a	n/a	n/a
1661.477	17.886	sharingrating2	1679.46	3	39	F	4
1682.493	1.253	fixations	n/a	n/a	n/a	n/a	n/a
1683.843	17.903	sharingrating2	1701.842	3	41	F	3
1704.876	2.222	fixations	n/a	n/a	n/a	n/a	n/a
1707.192	17.906	sharingrating2	1725.192	3	44	F	3
1728.225	1.616	fixations	n/a	n/a	n/a	n/a	n/a
1729.942	17.899	sharingrating2	1747.941	3	45	F	3
1750.974	2.799	fixations	n/a	n/a	n/a	n/a	n/a
1753.874	17.899	sharingrating2	1771.857	3	66	F	2
1774.89	2.336	fixations	n/a	n/a	n/a	n/a	n/a
1777.324	17.902	sharingrating2	1795.323	3	65	F	1
1798.356	2.043	fixations	n/a	n/a	n/a	n/a	n/a
1800.506	17.893	sharingrating2	1818.506	3	88	F	2
1821.539	1.266	fixations	n/a	n/a	n/a	n/a	n/a
1822.906	17.899	sharingrating2	1840.905	3	69	F	2
1843.938	1.396	fixations	n/a	n/a	n/a	n/a	n/a
1845.455	17.879	sharingrating2	1863.438	3	73	F	3
1866.471	1.989	fixations	n/a	n/a	n/a	n/a	n/a
