onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
110.2055	1.0175	AB	A	Correct	1.003	111.5232	0.5171	1	0.11	0.89	0.2895	12	6.7351	0.1155	0.1035
114.2254	1.9015	FE	E	Correct	1.889	116.4272	0.3169	-1	-0.4155	0.4155	0.3229	56	6.7351	0.1155	0.1035
118.2453	1.4845	BA	A	Correct	1.479	120.0301	0.5171	1	0.0973	0.9027	0.2895	12	6.7351	0.1155	0.1035
121.2644	1.1009	CD	D	Incorrect	1.087	122.6655	0.5171	-1	-0.3127	0.3127	0.5131	34	6.7351	0.1155	0.1035
125.2843	1.5679	CD	C	Correct	1.55	127.1525	0.5171	1	0.4869	0.5131	0.2803	34	6.7351	0.1155	0.1035
129.3042	1.6513	BA	A	Correct	1.637	131.2558	0.5171	1	0.0861	0.9139	0.2895	12	6.7351	0.1155	0.1035
133.8245	1.2344	AB	A	Correct	1.231	135.3591	0.5171	-1	-0.9239	0.9239	0.2895	12	6.7351	0.1155	0.1035
138.3448	1.0342	AB	A	Correct	1.019	139.6792	0.5171	1	0.1718	0.8282	0.2895	12	6.7351	0.1155	0.1035
141.3639	1.4178	EF	E	Correct	1.406	143.082	0.5171	1	0.6275	0.3725	0.3229	56	6.7351	0.1155	0.1035
145.3838	1.151	BA	A	Correct	1.146	146.835	0.5171	1	0.152	0.848	0.2895	12	6.7351	0.1155	0.1035
150.4046	1.1175	DC	C	Correct	1.106	151.8224	0.517	1	0.4307	0.5693	0.2803	34	6.7351	0.1155	0.1035
152.9399	1.3845	DC	C	Correct	1.366	154.6246	0.5171	-1	-0.6191	0.6191	0.2803	34	6.7351	0.1155	0.1035
156.9932	0.6839	EF	E	Correct	0.67	157.9773	0.5171	-1	-0.4449	0.4449	0.3229	56	6.7351	0.1155	0.1035
161.5135	0.8507	FE	F	Incorrect	0.833	162.6644	0.5171	-1	-0.3229	0.3229	0.3989	56	6.7351	0.1155	0.1035
166.0338	2.0183	DC	C	Correct	2.003	168.3524	0.517	1	0.445	0.555	0.2803	34	6.7351	0.1155	0.1035
169.5533	1.1343	BA	A	Correct	1.117	170.9878	0.5171	1	0.1344	0.8656	0.2895	12	6.7351	0.1155	0.1035
174.0736	0.9008	AB	A	Correct	0.892	175.2746	0.5171	-1	-0.8811	0.8811	0.2895	12	6.7351	0.1155	0.1035
177.1094	1.4011	DC	C	Correct	1.387	178.8108	0.5171	1	0.3936	0.6064	0.2803	34	6.7351	0.1155	0.1035
181.146	1.1343	FE	E	Correct	1.125	182.5805	0.5171	1	0.6011	0.3989	0.2894	56	6.7351	0.1155	0.1035
186.6671	1.3511	CD	C	Correct	1.337	188.3185	0.517	1	0.3482	0.6518	0.2803	34	6.7351	0.1155	0.1035
189.2025	1.0175	CD	C	Correct	1.003	190.5202	0.5171	1	0.308	0.692	0.2803	34	6.7351	0.1155	0.1035
194.7236	0.8507	EF	E	Correct	0.833	195.8746	0.517	1	0.5317	0.4683	0.2894	56	6.7351	0.1155	0.1035
197.2757	0.6839	EF	E	Correct	0.675	198.2598	0.5171	-1	-0.5297	0.5297	0.2894	56	6.7351	0.1155	0.1035
201.796	1.9182	AB	A	Correct	1.908	204.0144	0.5171	-1	-0.7899	0.7899	0.2895	12	6.7351	0.1155	0.1035
205.3322	1.2343	DC	C	Correct	1.229	206.8667	0.5171	-1	-0.7276	0.7276	0.2803	34	6.7351	0.1155	0.1035
210.8533	1.5179	DC	C	Correct	1.502	212.6714	0.5171	1	0.3478	0.6522	0.2803	34	6.7351	0.1155	0.1035
214.3728	0.8507	DC	D	Incorrect	0.841	215.5237	0.5171	1	0.7197	0.2803	0.6924	34	6.7351	0.1155	0.1035
217.8923	1.4512	FE	F	Incorrect	1.441	219.6437	0.5171	1	0.7106	0.2894	0.4748	56	6.7351	0.1155	0.1035
221.4285	1.1009	BA	A	Correct	1.085	222.8296	0.5171	1	0.2919	0.7081	0.2895	12	6.7351	0.1155	0.1035
229.952	1.4345	DC	D	Incorrect	1.429	231.6868	0.517	-1	-0.3634	0.3634	0.6924	34	6.7351	0.1155	0.1035
234.9727	1.0509	DC	D	Incorrect	1.035	236.3238	0.5171	-1	-0.3258	0.3258	0.6924	34	6.7351	0.1155	0.1035
238.4922	1.6681	AB	A	Correct	1.659	240.4605	0.5171	1	0.2582	0.7418	0.2895	12	6.7351	0.1155	0.1035
243.0126	1.4845	CD	C	Correct	1.48	244.7973	0.5171	1	0.3076	0.6924	0.2921	34	6.7351	0.1155	0.1035
249.5512	1.9682	FE	E	Correct	1.96	251.8197	0.517	-1	-0.4748	0.4748	0.3715	56	6.7351	0.1155	0.1035
254.0715	1.5012	DC	D	Incorrect	1.485	255.8729	0.5171	-1	-0.2921	0.2921	0.7279	34	6.7351	0.1155	0.1035
263.0954	1.2677	AB	A	Correct	1.255	264.6633	0.5171	-1	-0.7716	0.7716	0.2895	12	6.7351	0.1155	0.1035
267.1153	1.201	DC	C	Correct	1.192	268.6165	0.5171	1	0.2721	0.7279	0.2618	34	6.7351	0.1155	0.1035
270.1344	1.2677	AB	A	Correct	1.253	271.7024	0.517	1	0.3083	0.6917	0.2895	12	6.7351	0.1155	0.1035
279.1584	0.9674	CD	C	Correct	0.955	280.4261	0.517	-1	-0.7593	0.7593	0.2618	34	6.7351	0.1155	0.1035
282.1775	1.0008	BA	A	Correct	0.987	283.4785	0.5171	1	0.2727	0.7273	0.2895	12	6.7351	0.1155	0.1035
287.1982	0.7839	BA	A	Correct	0.773	288.2824	0.5171	-1	-0.7588	0.7588	0.2895	12	6.7351	0.1155	0.1035
290.7177	1.8848	CD	C	Correct	1.87	292.9028	0.5171	-1	-0.6807	0.6807	0.2618	34	6.7351	0.1155	0.1035
294.2372	1.1509	BA	A	Correct	1.139	295.6884	0.517	1	0.3198	0.6802	0.2895	12	6.7351	0.1155	0.1035
298.7575	1.0842	BA	A	Correct	1.078	300.142	0.517	-1	-0.7172	0.7172	0.2895	12	6.7351	0.1155	0.1035
306.7973	1.4345	FE	E	Correct	1.43	308.532	0.5171	-1	-0.4257	0.4257	0.3715	56	6.7351	0.1155	0.1035
311.3176	1.2677	CD	C	Correct	1.26	312.8856	0.517	-1	-0.6102	0.6102	0.2618	34	6.7351	0.1155	0.1035
315.3375	1.1176	BA	A	Correct	1.1	316.7553	0.5171	1	0.3571	0.6429	0.2895	12	6.7351	0.1155	0.1035
317.8896	1.1843	AB	A	Correct	1.175	319.3741	0.5171	1	0.3159	0.6841	0.2895	12	6.7351	0.1155	0.1035
322.9103	1.0842	FE	E	Correct	1.066	324.2948	0.517	1	0.6184	0.3816	0.3715	56	6.7351	0.1155	0.1035
326.4465	1.4178	DC	C	Correct	1.414	328.1645	0.5171	-1	-0.547	0.547	0.2618	34	6.7351	0.1155	0.1035
330.4664	0.9341	CD	D	Incorrect	0.927	331.7007	0.5171	-1	-0.2618	0.2618	0.4904	34	6.7351	0.1155	0.1035
334.4863	1.1509	BA	A	Correct	1.135	335.9375	0.5171	1	0.2794	0.7206	0.2895	12	6.7351	0.1155	0.1035
338.5062	1.3344	AB	A	Correct	1.328	340.1409	0.517	1	0.2471	0.7529	0.2895	12	6.7351	0.1155	0.1035
343.5269	1.1343	EF	E	Correct	1.129	344.9614	0.5171	1	0.547	0.453	0.3715	56	6.7351	0.1155	0.1035
347.5468	0.9508	DC	C	Correct	0.933	348.7978	0.5171	1	0.5096	0.4904	0.2347	34	6.7351	0.1155	0.1035
351.5667	1.6013	CD	C	Correct	1.597	353.4683	0.5171	1	0.4508	0.5492	0.2347	34	6.7351	0.1155	0.1035
355.0863	1.4344	FE	E	Correct	1.425	356.821	0.5171	1	0.4838	0.5162	0.3715	56	6.7351	0.1155	0.1035
358.122	1.0175	AB	A	Correct	1.008	359.4398	0.517	1	0.2186	0.7814	0.2895	12	6.7351	0.1155	0.1035
362.6423	0.9675	EF	E	Correct	0.962	363.91	0.5171	1	0.428	0.572	0.3715	56	6.7351	0.1155	0.1035
371.1659	0.9841	FE	E	Correct	0.967	372.4502	0.5171	-1	-0.6215	0.6215	0.3715	56	6.7351	0.1155	0.1035
375.6862	0.9841	FE	E	Correct	0.978	376.9706	0.517	-1	-0.5571	0.5571	0.3715	56	6.7351	0.1155	0.1035
378.2216	0.834	EF	F	Incorrect	0.829	379.3558	0.5171	-1	-0.3715	0.3715	0.4994	56	6.7351	0.1155	0.1035
382.2582	0.6838	EF	F	Incorrect	0.67	383.2423	0.5171	-1	-0.333	0.333	0.4994	56	6.7351	0.1155	0.1035
387.2789	1.0175	AB	A	Correct	1.013	388.5966	0.5171	1	0.1934	0.8066	0.2895	12	6.7351	0.1155	0.1035
390.3147	0.6838	EF	E	Correct	0.675	391.2988	0.5171	-1	-0.4994	0.4994	0.2985	56	6.7351	0.1155	0.1035
395.8358	0.9841	FE	E	Correct	0.976	397.1201	0.5171	1	0.5523	0.4477	0.2985	56	6.7351	0.1155	0.1035
398.3712	0.7672	FE	E	Correct	0.765	399.4387	0.5171	1	0.4885	0.5115	0.2985	56	6.7351	0.1155	0.1035
402.8915	2.6021	AB	A	Correct	2.585	405.7938	0.5171	1	0.171	0.829	0.2895	12	6.7351	0.1155	0.1035
407.4118	1.1509	AB	A	Correct	1.14	408.8629	0.5171	1	0.1513	0.8487	0.2895	12	6.7351	0.1155	0.1035
410.4475	1.6013	CD	C	Correct	1.592	412.3491	0.5171	1	0.3987	0.6013	0.2347	34	6.7351	0.1155	0.1035
414.4841	1.251	BA	A	Correct	1.241	416.0354	0.5171	1	0.1338	0.8662	0.2895	12	6.7351	0.1155	0.1035
418.5207	1.3678	BA	A	Correct	1.364	420.1887	0.5171	1	0.1184	0.8816	0.2895	12	6.7351	0.1155	0.1035
428.0451	1.718	CD	C	Correct	1.7	430.0634	0.5171	1	0.3527	0.6473	0.2347	34	6.7351	0.1155	0.1035
430.5971	1.4178	FE	E	Correct	1.41	432.3152	0.5171	-1	-0.5679	0.5679	0.2985	56	6.7351	0.1155	0.1035
434.6337	1.4679	BA	A	Correct	1.455	436.4018	0.5171	1	0.1047	0.8953	0.2895	12	6.7351	0.1155	0.1035
443.1573	1.6513	FE	E	Correct	1.648	445.1088	0.5171	1	0.4909	0.5091	0.2985	56	6.7351	0.1155	0.1035
451.6808	1.5012	FE	E	Correct	1.486	453.4822	0.5171	1	0.4342	0.5658	0.2985	56	6.7351	0.1155	0.1035
455.7007	1.1843	DC	C	Correct	1.182	457.1852	0.5171	-1	-0.6881	0.6881	0.2347	34	6.7351	0.1155	0.1035
458.7365	0.8006	FE	E	Correct	0.788	459.8374	0.5171	1	0.3841	0.6159	0.2985	56	6.7351	0.1155	0.1035
464.2576	0.9007	FE	E	Correct	0.898	465.4586	0.5171	1	0.3397	0.6603	0.2985	56	6.7351	0.1155	0.1035
467.2767	0.9007	CD	C	Correct	0.894	468.4777	0.5171	-1	-0.6168	0.6168	0.2347	34	6.7351	0.1155	0.1035
474.8328	0.834	BA	A	Correct	0.823	475.967	0.5171	-1	-0.9074	0.9074	0.2895	12	6.7351	0.1155	0.1035
479.3531	0.9841	EF	E	Correct	0.971	480.6375	0.5171	-1	-0.6995	0.6995	0.2985	56	6.7351	0.1155	0.1035
483.373	0.7506	FE	E	Correct	0.738	484.4239	0.517	1	0.3729	0.6271	0.2985	56	6.7351	0.1155	0.1035
488.3937	1.0342	AB	A	Correct	1.031	489.7281	0.5171	-1	-0.8134	0.8134	0.2895	12	6.7351	0.1155	0.1035
491.4128	0.7506	AB	A	Correct	0.739	492.4637	0.5171	1	0.2708	0.7292	0.2895	12	6.7351	0.1155	0.1035
495.9331	1.1009	EF	E	Correct	1.098	497.3343	0.5171	-1	-0.6701	0.6701	0.2985	56	6.7351	0.1155	0.1035
498.9689	0.6339	EF	E	Correct	0.619	499.903	0.5171	1	0.3993	0.6007	0.2985	56	6.7351	0.1155	0.1035
503.0055	1.1843	BA	A	Correct	1.172	504.49	0.5171	-1	-0.7605	0.7605	0.2895	12	6.7351	0.1155	0.1035
507.0421	2.2852	CD	C	Correct	2.271	509.6275	0.5171	1	0.4471	0.5529	0.2347	34	6.7351	0.1155	0.1035
511.5624	1.2844	FE	E	Correct	1.276	513.147	0.5171	1	0.3532	0.6468	0.2985	56	6.7351	0.1155	0.1035
523.6054	1.2844	EF	E	Correct	1.282	525.1901	0.517	1	0.3124	0.6876	0.2985	56	6.7351	0.1155	0.1035
528.6095	1.6847	CD	C	Correct	1.667	530.5944	0.5171	-1	-0.6046	0.6046	0.2347	34	6.7351	0.1155	0.1035
531.1615	0.8841	FE	E	Correct	0.869	532.3458	0.5171	1	0.2763	0.7237	0.2985	56	6.7351	0.1155	0.1035
536.6827	1.351	DC	C	Correct	1.333	538.334	0.5171	1	0.458	0.542	0.2347	34	6.7351	0.1155	0.1035
540.2022	1.8181	FE	E	Correct	1.81	542.3205	0.5171	-1	-0.7556	0.7556	0.2985	56	6.7351	0.1155	0.1035
543.2379	1.1343	DC	C	Correct	1.119	544.6724	0.5171	1	0.4051	0.5949	0.2347	34	6.7351	0.1155	0.1035
547.7583	0.9841	EF	E	Correct	0.97	549.0426	0.5171	1	0.3226	0.6774	0.2985	56	6.7351	0.1155	0.1035
552.779	1.9015	CD	C	Correct	1.888	554.9807	0.317	-1	-0.6416	0.6416	0.2347	34	6.7351	0.1155	0.1035
555.7981	2.3519	DC	C	Correct	2.344	558.4502	0.5171	1	0.4248	0.5752	0.2347	34	6.7351	0.1155	0.1035
560.8188	1.718	AB	A	Correct	1.702	562.8371	0.5004	1	0.3183	0.6817	0.2895	12	6.7351	0.1155	0.1035
564.8387	1.8848	DC	C	Correct	1.875	567.0238	0.3336	1	0.3757	0.6243	0.2347	34	6.7351	0.1155	0.1035
567.8578	1.301	CD	C	Correct	1.284	569.4591	0.5171	1	0.3324	0.6676	0.2347	34	6.7351	0.1155	0.1035
572.8785	1.0675	FE	E	Correct	1.054	574.2463	0.5171	1	0.2854	0.7146	0.2985	56	6.7351	0.1155	0.1035
575.4139	1.5012	EF	E	Correct	1.486	577.2153	0.5171	-1	-0.7476	0.7476	0.2985	56	6.7351	0.1155	0.1035
580.4346	1.9349	EF	E	Correct	1.93	582.6697	0.5171	1	0.3298	0.6702	0.2985	56	6.7351	0.1155	0.1035
584.9549	0.8674	EF	E	Correct	0.858	586.1225	0.5171	1	0.2917	0.7083	0.2985	56	6.7351	0.1155	0.1035
588.9748	1.0175	EF	E	Correct	1.015	590.2925	0.5171	1	0.2581	0.7419	0.2985	56	6.7351	0.1155	0.1035
592.4943	1.0175	EF	E	Correct	1.006	593.8121	0.517	-1	-0.7717	0.7717	0.2985	56	6.7351	0.1155	0.1035
596.0138	1.2844	CD	C	Correct	1.274	597.5984	0.5171	-1	-0.706	0.706	0.2347	34	6.7351	0.1155	0.1035
599.55	2.0183	AB	A	Correct	2.006	601.8685	0.5171	1	0.2815	0.7185	0.2895	12	6.7351	0.1155	0.1035
609.0744	1.768	CD	C	Correct	1.765	611.1427	0.4504	1	0.3671	0.6329	0.2347	34	6.7351	0.1155	0.1035
616.5971	1.0842	EF	E	Correct	1.067	617.9815	0.5171	1	0.3082	0.6918	0.2985	56	6.7351	0.1155	0.1035
621.1174	0.8507	AB	A	Correct	0.836	622.2683	0.5171	1	0.249	0.751	0.2895	12	6.7351	0.1155	0.1035
625.1373	1.4512	DC	C	Correct	1.445	626.8887	0.5171	1	0.3247	0.6753	0.2347	34	6.7351	0.1155	0.1035
631.6926	1.8014	DC	D	Incorrect	1.797	633.7943	0.5171	-1	-0.2347	0.2347	0.7128	34	6.7351	0.1155	0.1035
639.7491	1.4345	FE	E	Correct	1.431	641.4838	0.5171	1	0.2726	0.7274	0.2985	56	6.7351	0.1155	0.1035
644.2694	0.7006	EF	E	Correct	0.69	645.2702	0.5171	1	0.2411	0.7589	0.2985	56	6.7351	0.1155	0.1035
