onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
137.7607	1.3678	Ac	Correct	1.359	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
141.2797	1.301	cA	Correct	1.296	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
145.8007	1.3844	fE	Correct	1.367	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
149.3197	2.2185	bC	inCorrect	2.212	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
152.8557	2.869	Ae	Correct	2.853	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
156.8927	1.5345	fA	Correct	1.522	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
161.4127	1.5012	Ce	inCorrect	1.483	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
165.4327	1.6513	Ce	inCorrect	1.644	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
169.9537	1.8348	Cf	inCorrect	1.816	wl.u	0.2985	0.7128	-0.4143	30	6.7351	0.1155	0.1035
173.4897	2.1851	bD	inCorrect	2.179	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
177.0257	2.1183	Cd	Correct	2.114	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
182.0467	1.8682	Cb	inCorrect	1.865	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
186.0667	0.8674	Ed	Correct	0.86	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
193.5887	2.502	dF	inCorrect	2.485	ll	0.2104	0.2985	-0.0881	10	6.7351	0.1155	0.1035
201.1287	1.1843	Ab	Correct	1.174	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
205.1647	0.8174	eA	inCorrect	0.803	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
209.6857	1.1843	Ef	Correct	1.17	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
213.2217	1.0675	Ad	Correct	1.064	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
218.2417	1.9683	Cf	Correct	1.963	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
221.2777	0.9341	Ef	Correct	0.928	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
225.3147	1.5513	eA	Correct	1.54	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
229.3507	1.8014	fC	Correct	1.783	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
233.3877	2.9023	Fb	Correct	2.894	ll	0.2985	0.2895	0.009	20	6.7351	0.1155	0.1035
238.4087	1.0508	Eb	Correct	1.038	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
242.4287	0.8507	eA	inCorrect	0.844	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
245.4637	1.4678	Cb	inCorrect	1.457	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
249.9847	1.7848	bF	inCorrect	1.773	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
254.5047	1.2677	fA	Correct	1.254	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
258.0247	1.1343	fA	Correct	1.116	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
262.0437	1.0675	Ac	Correct	1.065	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
266.0637	1.8182	bD	inCorrect	1.801	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
270.0837	0.9174	Ab	Correct	0.909	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
274.6047	1.3178	Fd	Correct	1.301	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
277.6397	1.9016	dF	Correct	1.888	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
282.6607	1.0008	Ed	Correct	0.984	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
286.1807	1.3678	Fb	inCorrect	1.362	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
290.1997	0.8674	Ce	inCorrect	0.853	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
293.7367	0.8007	Ed	Correct	0.789	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
301.7767	1.7013	Fd	Correct	1.687	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
306.7967	0.9174	dA	Correct	0.912	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
310.3167	1.301	bF	inCorrect	1.283	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
317.8557	2.0183	bC	Correct	2.001	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
322.8767	1.2677	Af	Correct	1.265	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
326.3957	1.0342	dA	Correct	1.03	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
330.9167	1.0008	Ac	Correct	0.987	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
334.4357	1.7514	Cf	Correct	1.747	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
338.4557	1.0509	dE	Correct	1.036	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
342.4757	1.6347	dA	Correct	1.626	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
346.0117	1.5679	bF	inCorrect	1.561	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
350.0487	1.201	Eb	Correct	1.191	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
354.5687	1.2177	Eb	Correct	1.208	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
358.1047	1.8348	Db	Correct	1.82	ll	0.2104	0.2895	-0.0791	10	6.7351	0.1155	0.1035
366.6287	1.5513	fC	Correct	1.548	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
370.1647	1.1176	Cb	Correct	1.099	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
374.2177	1.0008	Ab	Correct	0.994	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
378.2547	0.8673	cA	Correct	0.85	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
382.7747	0.9841	Af	Correct	0.969	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
386.7947	1.2844	dF	inCorrect	1.274	ll	0.2104	0.2985	-0.0881	10	6.7351	0.1155	0.1035
390.8147	1.5346	cA	Correct	1.525	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
395.3347	1.0008	dE	Correct	0.989	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
402.8577	0.8674	bE	Correct	0.863	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
406.3937	1.251	Ae	Correct	1.237	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
410.9137	1.0342	Eb	Correct	1.025	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
415.4347	1.1842	dE	Correct	1.167	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
418.4707	1.4512	Ed	Correct	1.443	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
422.5067	1.1843	Ef	Correct	1.171	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
427.0267	1.151	bE	Correct	1.137	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
431.5477	1.2177	Cf	Correct	1.207	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
435.0667	2.2185	Cd	Correct	2.216	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
438.6027	0.9508	Fd	Correct	0.946	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
442.6397	1.151	bD	inCorrect	1.135	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
446.6767	2.085	bF	inCorrect	2.079	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
451.6967	0.7173	Ed	Correct	0.71	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
459.7207	1.4344	Cf	inCorrect	1.42	wl.u	0.2985	0.7128	-0.4143	30	6.7351	0.1155	0.1035
463.2397	0.9007	Ad	Correct	0.886	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
466.7757	1.1677	bA	Correct	1.151	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
471.7967	1.4511	bD	inCorrect	1.442	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
479.3197	1.6847	eC	inCorrect	1.682	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
483.8397	1.4178	Af	Correct	1.413	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
487.3587	1.1509	Ac	Correct	1.138	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
490.8957	0.884	dE	Correct	0.872	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
495.4157	0.834	Cb	Correct	0.824	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
499.9357	0.9841	dE	Correct	0.98	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
503.9557	1.4012	dE	Correct	1.385	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
506.9917	1.2343	fA	Correct	1.224	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
512.0127	1.7348	Fd	Correct	1.731	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
515.5317	2.085	fC	Correct	2.069	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
520.0517	0.8674	fE	Correct	0.849	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
527.5917	1.4846	Cd	Correct	1.472	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
